"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_april_BC01.cladeReads"	"kraken2_classification_april_BC02.cladeReads"	"kraken2_classification_april_BC03.cladeReads"	"kraken2_classification_april_BC04.cladeReads"	"kraken2_classification_april_BC05.cladeReads"	"kraken2_classification_april_BC06.cladeReads"	"kraken2_classification_april_BC07.cladeReads"	"kraken2_classification_april_BC08.cladeReads"	"kraken2_classification_april_BC09.cladeReads"	"kraken2_classification_april_BC10.cladeReads"	"kraken2_classification_april_BC11.cladeReads"	"kraken2_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_classification_april_BC01.cladeReads.."	"kraken2_classification_april_BC02.cladeReads.."	"kraken2_classification_april_BC03.cladeReads.."	"kraken2_classification_april_BC04.cladeReads.."	"kraken2_classification_april_BC05.cladeReads.."	"kraken2_classification_april_BC06.cladeReads.."	"kraken2_classification_april_BC07.cladeReads.."	"kraken2_classification_april_BC08.cladeReads.."	"kraken2_classification_april_BC09.cladeReads.."	"kraken2_classification_april_BC10.cladeReads.."	"kraken2_classification_april_BC11.cladeReads.."	"kraken2_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	2917	76	145	1576	2917	61	2568	1900	553	2120	2168	2167	61	12.18	0.5235	0.8247	0.6516	0.8284	3.009	1.131	0.7452	0.1374	0.865	0.6531	0.9474	12.18	"unclassified"
"root"	"-"	1	402630	15893	19000	263960	386271	2313	244889	276246	402633	265654	362577	246005	501	114.1	109.5	108.1	109.1	109.7	114.1	107.9	108.3	100.1	108.4	109.2	107.6	100	"root"
"cellular organisms"	"-"	131567	402630	15893	19000	263960	386271	2313	244889	276246	402633	265654	362577	246005	501	114.1	109.5	108.1	109.1	109.7	114.1	107.9	108.3	100.1	108.4	109.2	107.6	100	"root"
"Bacteria"	"D"	2	402630	15892	18999	263945	386220	2312	244855	276215	402632	265619	362553	245978	501	114.1	109.5	108.1	109.1	109.7	114.1	107.9	108.3	100	108.4	109.2	107.5	100	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	289530	10918	15780	188861	285288	1438	115955	166051	248093	117850	289526	129636	314	89.75	75.21	89.75	78.09	81.02	70.94	51.08	65.13	61.65	48.09	87.22	56.68	62.67	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	217030	7648	13275	102282	78969	710	67687	117477	1285	69697	217027	88056	156	75.5	52.68	75.5	42.29	22.43	35.03	29.82	46.08	0.3193	28.44	65.38	38.5	31.14	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	207370	6879	12867	82464	60891	639	63753	112724	1189	66781	207366	82513	145	73.18	47.39	73.18	34.1	17.29	31.52	28.09	44.21	0.2955	27.25	62.47	36.07	28.94	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	169310	5391	11665	58076	43046	511	50704	97740	948	55166	169312	64326	119	66.35	37.14	66.35	24.01	12.22	25.21	22.34	38.34	0.2356	22.51	51.01	28.12	23.75	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Limnohabitans"	"G"	665874	47107	1447	3358	14485	13255	126	15782	32080	304	18157	47107	20139	46	19.1	9.968	19.1	5.989	3.764	6.216	6.953	12.58	0.07554	7.409	14.19	8.805	9.182	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	33502	921	2110	9034	7799	75	9560	20114	193	11269	33502	12778	25	12	6.344	12	3.735	2.215	3.7	4.212	7.889	0.04796	4.598	10.09	5.586	4.99	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. 103DPR2"	"S"	1678129	13501	522	1237	5399	5420	50	6195	11897	109	6853	13501	7317	20	7.036	3.596	7.036	2.232	1.539	2.467	2.729	4.666	0.02709	2.796	4.067	3.199	3.992	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Acidovorax"	"G"	12916	36473	1099	2349	11257	7988	103	9220	17439	169	10200	36473	12127	9	13.36	7.57	13.36	4.655	2.269	5.081	4.062	6.84	0.04199	4.162	10.99	5.302	1.796	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Acidovorax avenae"	"S"	80867	8858	247	504	3290	2139	26	2482	4822	35	2523	8858	3184	8	2.867	1.701	2.867	1.36	0.6075	1.283	1.093	1.891	0.008697	1.029	2.669	1.392	1.597	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax carolinensis"	"S"	553814	27136	826	1797	7776	5815	75	6721	12370	134	7635	27136	8820	1	10.22	5.69	10.22	3.215	1.651	3.7	2.961	4.852	0.0333	3.115	8.175	3.856	0.1996	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. KKS102"	"S"	358220	409	25	42	173	1	NA	NA	217	NA	24	409	91	NA	0.2389	0.1722	0.2389	0.07153	0.000284	NA	NA	0.08511	NA	0.009793	0.1232	0.03978	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Rhodoferax"	"G"	28065	10846	418	1000	3892	2881	33	3638	7568	67	3384	10846	4752	7	5.688	2.879	5.688	1.609	0.8182	1.628	1.603	2.968	0.01665	1.381	3.267	2.078	1.397	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rhodoferax antarcticus"	"S"	81479	2578	89	201	931	620	5	726	1332	14	774	2578	1095	NA	1.143	0.6131	1.143	0.3849	0.1761	0.2467	0.3198	0.5224	0.003479	0.3158	0.7766	0.4787	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens"	"S"	192843	2805	84	209	771	685	6	871	1893	16	831	2805	1218	3	1.189	0.5786	1.189	0.3188	0.1945	0.296	0.3837	0.7425	0.003976	0.3391	0.845	0.5325	0.5988	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax saidenbachensis"	"S"	1484693	167	5	4	95	51	2	44	76	NA	36	167	45	NA	0.09867	0.03444	0.02275	0.03928	0.01448	0.09867	0.01938	0.02981	NA	0.01469	0.05031	0.01967	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	293	13	42	100	100	NA	94	220	1	115	293	134	NA	0.2389	0.08955	0.2389	0.04135	0.0284	NA	0.04141	0.08629	0.0002485	0.04692	0.08827	0.05858	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Polaromonas"	"G"	52972	14652	410	1084	4033	4814	44	4531	10132	77	5412	14652	6024	16	6.165	2.824	6.165	1.668	1.367	2.171	1.996	3.974	0.01913	2.208	4.414	2.634	3.194	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Polaromonas naphthalenivorans"	"S"	216465	6311	187	515	1542	1622	19	1807	4342	38	1790	6311	2520	5	2.929	1.288	2.929	0.6376	0.4606	0.9373	0.796	1.703	0.009443	0.7304	1.901	1.102	0.998	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
