"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_april_BC01.cladeReads"	"kraken2_16s_k21_classification_april_BC02.cladeReads"	"kraken2_16s_k21_classification_april_BC03.cladeReads"	"kraken2_16s_k21_classification_april_BC04.cladeReads"	"kraken2_16s_k21_classification_april_BC05.cladeReads"	"kraken2_16s_k21_classification_april_BC06.cladeReads"	"kraken2_16s_k21_classification_april_BC07.cladeReads"	"kraken2_16s_k21_classification_april_BC08.cladeReads"	"kraken2_16s_k21_classification_april_BC09.cladeReads"	"kraken2_16s_k21_classification_april_BC10.cladeReads"	"kraken2_16s_k21_classification_april_BC11.cladeReads"	"kraken2_16s_k21_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_april_BC01.cladeReads.."	"kraken2_16s_k21_classification_april_BC02.cladeReads.."	"kraken2_16s_k21_classification_april_BC03.cladeReads.."	"kraken2_16s_k21_classification_april_BC04.cladeReads.."	"kraken2_16s_k21_classification_april_BC05.cladeReads.."	"kraken2_16s_k21_classification_april_BC06.cladeReads.."	"kraken2_16s_k21_classification_april_BC07.cladeReads.."	"kraken2_16s_k21_classification_april_BC08.cladeReads.."	"kraken2_16s_k21_classification_april_BC09.cladeReads.."	"kraken2_16s_k21_classification_april_BC10.cladeReads.."	"kraken2_16s_k21_classification_april_BC11.cladeReads.."	"kraken2_16s_k21_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	382	20	79	164	382	77	267	195	84	209	260	311	71	13.4	0.139	0.4731	0.06895	0.1096	3.547	0.1157	0.07746	0.02125	0.0841	0.08124	0.1366	13.4	"unclassified"
"root"	"-"	1	403100	15950	19067	265373	388806	2297	247190	277952	403102	267565	364485	247862	492	114.2	110.8	114.2	111.6	111.6	105.8	107.1	110.4	102	107.7	113.9	108.9	92.83	"root"
"Bacteria"	"D"	3	403100	15950	19067	265369	388792	2297	247182	277945	403100	267560	364478	247856	491	114.2	110.8	114.2	111.6	111.6	105.8	107.1	110.4	102	107.7	113.9	108.9	92.64	"root"
"Proteobacteria"	"P"	2375	280350	9718	14537	152407	270029	1205	78725	142664	248593	78876	280353	100949	256	87.6	67.53	87.05	64.08	77.51	55.5	34.11	56.67	62.88	31.74	87.6	44.34	48.3	"Bacteria"
"Gammaproteobacteria"	"C"	3303	248300	8960	14177	117491	131745	987	70355	124484	248304	71662	236989	94186	211	84.89	62.27	84.89	49.4	37.81	45.46	30.49	49.45	62.8	28.84	74.05	41.37	39.81	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	219870	7733	13446	103865	80215	725	65490	117013	1433	67517	219866	87248	149	80.51	53.74	80.51	43.67	23.02	33.39	28.38	46.48	0.3624	27.17	68.7	38.32	28.11	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	210540	7093	13232	86740	65208	672	62554	113538	1340	65706	210545	83800	133	79.23	49.29	79.23	36.47	18.72	30.95	27.11	45.1	0.3389	26.44	65.79	36.81	25.09	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Rhodoferax"	"G"	26446	24388	845	1806	7932	6253	79	7615	15383	153	7675	24388	9708	15	10.81	5.872	10.81	3.335	1.795	3.639	3.3	6.11	0.0387	3.088	7.62	4.264	2.83	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnohabitans"	"G"	26410	19871	650	1476	6446	5379	62	6182	12436	141	6965	19871	8257	14	8.838	4.517	8.838	2.71	1.544	2.856	2.679	4.94	0.03566	2.803	6.209	3.627	2.642	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	17680	599	1310	6568	4865	63	5241	10348	108	5688	17680	6738	5	7.844	4.163	7.844	2.761	1.396	2.902	2.271	4.11	0.02732	2.289	5.524	2.96	0.9434	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	20648	573	1061	7159	4194	46	4655	8647	101	5041	20648	6344	9	6.452	3.982	6.353	3.01	1.204	2.119	2.017	3.435	0.02555	2.028	6.452	2.787	1.698	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	8827	368	469	6395	4617	38	2813	4850	68	2822	8827	4002	5	2.808	2.557	2.808	2.689	1.325	1.75	1.219	1.927	0.0172	1.136	2.758	1.758	0.9434	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Massilia"	"G"	26414	9592	337	413	3945	3833	37	3212	4938	57	3366	9592	4763	6	2.997	2.342	2.473	1.659	1.1	1.704	1.392	1.961	0.01442	1.354	2.997	2.092	1.132	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	10656	291	371	4144	2811	27	2716	3374	57	2614	10656	3531	7	3.33	2.022	2.222	1.742	0.8068	1.244	1.177	1.34	0.01442	1.052	3.33	1.551	1.321	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	5819	221	432	2330	1738	10	1952	3560	48	1811	5819	2318	5	2.587	1.536	2.587	0.9796	0.4989	0.4606	0.8458	1.414	0.01214	0.7287	1.818	1.018	0.9434	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	6656	196	416	2029	2172	18	2004	4049	46	2308	6656	2542	8	2.491	1.362	2.491	0.8531	0.6234	0.8291	0.8684	1.608	0.01163	0.9287	2.08	1.117	1.509	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	5320	182	359	2073	1596	15	1584	3074	38	1782	5320	2000	4	2.15	1.265	2.15	0.8716	0.4581	0.6909	0.6864	1.221	0.009611	0.7171	1.662	0.8785	0.7547	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	5431	176	323	2580	1803	27	1687	2823	29	1672	5431	2019	3	1.934	1.223	1.934	1.085	0.5175	1.244	0.731	1.121	0.007335	0.6728	1.697	0.8868	0.566	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	4393	161	269	1793	1279	22	1135	2230	31	1231	4393	1448	4	1.611	1.119	1.611	0.7538	0.3671	1.013	0.4918	0.8858	0.007841	0.4953	1.373	0.636	0.7547	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	4143	145	267	1524	1083	16	1151	2355	21	1248	4143	1546	3	1.599	1.008	1.599	0.6407	0.3109	0.737	0.4988	0.9355	0.005312	0.5022	1.295	0.6791	0.566	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	5385	142	247	1516	1317	13	1240	2076	25	1371	5385	1691	4	1.683	0.9868	1.479	0.6374	0.378	0.5988	0.5373	0.8246	0.006323	0.5517	1.683	0.7428	0.7547	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	2032	129	125	1035	1173	10	1030	1486	15	935	1570	2032	3	0.8965	0.8965	0.7485	0.4352	0.3367	0.4606	0.4463	0.5903	0.003794	0.3762	0.4906	0.8926	0.566	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	3747	116	231	1346	1032	10	1073	2036	14	1202	3747	1385	4	1.383	0.8061	1.383	0.5659	0.2962	0.4606	0.465	0.8087	0.003541	0.4837	1.171	0.6084	0.7547	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	3311	105	177	1846	1382	12	1038	1375	21	1014	3311	1511	2	1.06	0.7297	1.06	0.7761	0.3967	0.5527	0.4498	0.5462	0.005312	0.408	1.035	0.6637	0.3774	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ralstonia"	"G"	26443	1092	71	62	936	690	1	428	647	10	361	1092	641	NA	0.4934	0.4934	0.3713	0.3935	0.198	0.04606	0.1855	0.257	0.002529	0.1453	0.3412	0.2816	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	1801	53	128	664	508	6	562	1026	11	653	1801	717	3	0.7665	0.3683	0.7665	0.2792	0.1458	0.2764	0.2435	0.4075	0.002782	0.2628	0.5628	0.3149	0.566	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	1504	51	100	670	425	3	430	907	8	546	1504	561	NA	0.5988	0.3544	0.5988	0.2817	0.122	0.1382	0.1863	0.3603	0.002023	0.2197	0.47	0.2464	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	1401	46	113	475	356	6	446	802	7	442	1401	556	1	0.6766	0.3197	0.6766	0.1997	0.1022	0.2764	0.1933	0.3186	0.001771	0.1779	0.4378	0.2442	0.1887	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
