"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_april_BC01.cladeReads"	"centrifuge_classification_april_BC02.cladeReads"	"centrifuge_classification_april_BC03.cladeReads"	"centrifuge_classification_april_BC04.cladeReads"	"centrifuge_classification_april_BC05.cladeReads"	"centrifuge_classification_april_BC06.cladeReads"	"centrifuge_classification_april_BC07.cladeReads"	"centrifuge_classification_april_BC08.cladeReads"	"centrifuge_classification_april_BC09.cladeReads"	"centrifuge_classification_april_BC10.cladeReads"	"centrifuge_classification_april_BC11.cladeReads"	"centrifuge_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_classification_april_BC01.cladeReads.."	"centrifuge_classification_april_BC02.cladeReads.."	"centrifuge_classification_april_BC03.cladeReads.."	"centrifuge_classification_april_BC04.cladeReads.."	"centrifuge_classification_april_BC05.cladeReads.."	"centrifuge_classification_april_BC06.cladeReads.."	"centrifuge_classification_april_BC07.cladeReads.."	"centrifuge_classification_april_BC08.cladeReads.."	"centrifuge_classification_april_BC09.cladeReads.."	"centrifuge_classification_april_BC10.cladeReads.."	"centrifuge_classification_april_BC11.cladeReads.."	"centrifuge_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	2879	71	113	1463	2879	40	2375	1737	1000	1865	2066	1942	46	8.171	0.4446	0.5902	0.551	0.7397	1.685	0.9598	0.6245	0.248	0.6965	0.5664	0.7825	8.171	"unclassified"
"root"	"-"	1	402190	15899	19033	264074	386309	2334	245082	276410	402186	265909	362679	246231	517	99.75	99.56	99.41	99.45	99.26	98.32	99.04	99.38	99.75	99.3	99.43	99.22	91.83	"root"
"cellular organisms"	"-"	131567	402190	15899	19033	264074	386309	2334	245082	276410	402186	265909	362679	246231	517	99.75	99.56	99.41	99.45	99.26	98.32	99.04	99.38	99.75	99.3	99.43	99.22	91.83	"root"
"Bacteria"	"D"	2	402180	15893	19028	264030	386199	2333	244925	276343	402176	265795	362610	246153	517	99.75	99.52	99.38	99.43	99.23	98.27	98.98	99.35	99.75	99.26	99.41	99.19	91.83	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	282140	10586	15305	181926	272167	1378	111887	161915	246481	114665	282144	126062	316	79.94	66.29	79.94	68.51	69.93	58.05	45.21	58.21	61.13	42.82	77.35	50.8	56.13	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	209930	7407	12783	97702	77124	681	64408	113510	3351	66044	209929	84625	147	66.77	46.38	66.77	36.79	19.82	28.69	26.03	40.81	0.8311	24.66	57.56	34.1	26.11	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	191410	6174	11797	68772	53599	590	57136	104044	2659	60177	191412	74728	128	61.62	38.66	61.62	25.9	13.77	24.85	23.09	37.41	0.6595	22.47	52.48	30.11	22.74	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	156360	4924	10525	50301	39238	462	45976	90441	1818	49775	156359	58664	104	54.97	30.83	54.97	18.94	10.08	19.46	18.58	32.52	0.4509	18.59	42.87	23.64	18.47	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Limnohabitans"	"G"	665874	51008	1395	3135	14216	12716	141	15824	32246	560	18385	51008	20215	27	16.37	8.735	16.37	5.354	3.267	5.939	6.395	11.59	0.1389	6.866	13.98	8.146	4.796	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	41712	1077	2494	10847	9425	108	11865	24737	432	13862	41712	15640	19	13.03	6.744	13.03	4.085	2.422	4.549	4.795	8.893	0.1071	5.177	11.44	6.302	3.375	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
