"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	369780	22	73	349485	76	209	195	369782	176	334917	324	69	91.82	0.1378	0.3813	89.8	3.201	0.08446	0.07011	91.71	0.06573	91.82	0.1306	12.26	"unclassified"
"root"	"-"	1	277950	15948	19073	39703	2298	247248	277952	33404	267598	29828	247849	494	99.93	99.86	99.62	10.2	96.8	99.92	99.93	8.285	99.93	8.178	99.87	87.74	"root"
"cellular organisms"	"-"	131567	220910	12005	14679	31317	1727	207314	220913	20684	213913	23629	196201	381	83.78	75.17	76.67	8.047	72.75	83.78	79.42	5.13	79.89	6.478	79.06	67.67	"root"
"Bacteria"	"D"	2	201330	11464	14092	29808	1570	164884	201333	19687	186277	22146	173584	350	73.6	71.78	73.6	7.659	66.13	66.63	72.38	4.883	69.57	6.072	69.94	62.17	"cellular&nbsp;organisms"
"environmental samples"	"-"	48479	95344	5161	5964	6202	675	89861	95344	3129	94108	4684	85780	155	36.31	32.32	31.15	1.594	28.43	36.31	34.28	0.7761	35.14	1.284	34.56	27.53	"cellular&nbsp;organisms>Bacteria"
"uncultured bacterium"	"S"	77133	90456	4852	5543	5704	626	85591	90378	2813	90456	4225	82023	143	34.59	30.38	28.95	1.466	26.37	34.59	32.49	0.6977	33.78	1.158	33.05	25.4	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured soil bacterium"	"S"	164851	1801	114	151	88	12	1199	1801	4	971	181	1165	4	0.7887	0.7138	0.7887	0.02261	0.5055	0.4845	0.6475	0.0009921	0.3626	0.04962	0.4694	0.7105	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured marine bacterium"	"S"	56765	275	15	7	24	4	242	275	5	259	14	221	1	0.1776	0.09393	0.03656	0.006167	0.1685	0.09779	0.09887	0.00124	0.09672	0.003838	0.08905	0.1776	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured rumen bacterium"	"S"	136703	169	13	15	49	4	121	144	169	134	36	150	NA	0.1685	0.0814	0.07835	0.01259	0.1685	0.0489	0.05177	0.04192	0.05004	0.00987	0.06044	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone FEA_2_E2"	"S"	631605	147	9	19	NA	1	69	147	NA	87	NA	97	NA	0.09924	0.05636	0.09924	NA	0.04212	0.02788	0.05285	NA	0.03249	NA	0.03909	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"unidentified marine eubacterium"	"S"	28248	282	6	1	NA	NA	282	134	NA	190	NA	150	1	0.1776	0.03757	0.005223	NA	NA	0.114	0.04818	NA	0.07096	NA	0.06044	0.1776	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone B160(2011)"	"S"	1070644	238	5	3	NA	NA	238	98	NA	120	NA	106	NA	0.09618	0.03131	0.01567	NA	NA	0.09618	0.03523	NA	0.04481	NA	0.04271	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"unidentified marine bacterioplankton"	"S"	13136	68	2	1	1	1	68	50	9	42	NA	37	NA	0.04212	0.01252	0.005223	0.0002569	0.04212	0.02748	0.01798	0.002232	0.01568	NA	0.01491	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone A207"	"S"	1177668	16	2	2	NA	NA	11	16	NA	7	NA	3	NA	0.01252	0.01252	0.01045	NA	NA	0.004445	0.005752	NA	0.002614	NA	0.001209	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium SA34"	"S"	125943	6	1	1	NA	1	3	4	NA	2	NA	6	NA	0.04212	0.006262	0.005223	NA	0.04212	0.001212	0.001438	NA	0.0007469	NA	0.002418	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"unidentified bacterium sp. sbr-gs29"	"S"	136069	16	1	4	NA	NA	7	12	NA	16	NA	13	NA	0.02089	0.006262	0.02089	NA	NA	0.002829	0.004314	NA	0.005975	NA	0.005238	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"agricultural soil bacteria ensemble"	"-"	150462	6	1	NA	NA	NA	3	2	NA	6	NA	4	NA	0.006262	0.006262	NA	NA	NA	0.001212	0.000719	NA	0.002241	NA	0.001612	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"agricultural soil bacterium SC-I-15"	"S"	102416	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.006262	0.006262	NA	NA	NA	NA	NA	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>agricultural&nbsp;soil&nbsp;bacteria&nbsp;ensemble"
"ammonia oxidizing bacteria ensemble"	"-"	150483	11	1	1	1	NA	11	10	NA	8	NA	10	NA	0.006262	0.006262	0.005223	0.0002569	NA	0.004445	0.003595	NA	0.002988	NA	0.004029	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
