"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_april_BC01.cladeReads"	"kraken2_classification_april_BC02.cladeReads"	"kraken2_classification_april_BC03.cladeReads"	"kraken2_classification_april_BC04.cladeReads"	"kraken2_classification_april_BC05.cladeReads"	"kraken2_classification_april_BC06.cladeReads"	"kraken2_classification_april_BC07.cladeReads"	"kraken2_classification_april_BC08.cladeReads"	"kraken2_classification_april_BC09.cladeReads"	"kraken2_classification_april_BC10.cladeReads"	"kraken2_classification_april_BC11.cladeReads"	"kraken2_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_classification_april_BC01.cladeReads.."	"kraken2_classification_april_BC02.cladeReads.."	"kraken2_classification_april_BC03.cladeReads.."	"kraken2_classification_april_BC04.cladeReads.."	"kraken2_classification_april_BC05.cladeReads.."	"kraken2_classification_april_BC06.cladeReads.."	"kraken2_classification_april_BC07.cladeReads.."	"kraken2_classification_april_BC08.cladeReads.."	"kraken2_classification_april_BC09.cladeReads.."	"kraken2_classification_april_BC10.cladeReads.."	"kraken2_classification_april_BC11.cladeReads.."	"kraken2_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	2917	76	145	1576	2917	61	2568	1900	553	2120	2168	2167	61	10.83	0.4759	0.7573	0.5935	0.7495	2.57	1.038	0.6831	0.1372	0.7917	0.5944	0.8732	10.83	"unclassified"
"root"	"-"	1	402630	15894	19001	263961	386271	2313	244889	276247	402633	265654	362577	246006	502	99.86	99.52	99.24	99.41	99.25	97.43	98.96	99.32	99.86	99.21	99.41	99.13	89.17	"root"
"cellular organisms"	"-"	131567	402630	15894	19001	263961	386271	2313	244889	276247	402633	265654	362577	246006	502	99.86	99.52	99.24	99.41	99.25	97.43	98.96	99.32	99.86	99.21	99.41	99.13	89.17	"root"
"Bacteria"	"D"	2	402630	15893	19000	263946	386220	2312	244855	276216	402632	265619	362553	245979	502	99.86	99.52	99.24	99.4	99.24	97.39	98.95	99.31	99.86	99.2	99.4	99.12	89.17	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	285160	10761	15607	185257	278235	1387	109341	161446	247340	112621	285164	125290	301	81.52	67.38	81.52	69.77	71.49	58.42	44.19	58.04	61.35	42.06	78.18	50.48	53.46	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	214370	7583	13201	101016	78347	704	65972	115646	1285	67812	214372	86648	155	68.95	47.48	68.95	38.04	20.13	29.65	26.66	41.58	0.3187	25.32	58.77	34.91	27.53	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	202050	6679	12567	78942	59050	627	61212	109375	1160	63965	202050	79684	139	65.64	41.82	65.64	29.73	15.17	26.41	24.74	39.32	0.2877	23.89	55.39	32.11	24.69	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	161200	5083	11170	53469	41035	477	47693	93468	912	51796	161201	61024	106	58.34	31.83	58.34	20.14	10.54	20.09	19.27	33.6	0.2262	19.34	44.2	24.59	18.83	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Limnohabitans"	"G"	665874	36302	1103	2477	10914	9926	100	11918	24076	235	13938	36302	15261	24	12.94	6.907	12.94	4.11	2.55	4.212	4.816	8.656	0.05829	5.205	9.953	6.149	4.263	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	25606	695	1537	6727	5766	59	7135	14924	148	8558	25606	9578	13	8.028	4.352	8.028	2.533	1.482	2.485	2.883	5.366	0.03671	3.196	7.02	3.859	2.309	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. 103DPR2"	"S"	1678129	10592	405	929	4136	4125	41	4756	9083	86	5345	10592	5639	11	4.852	2.536	4.852	1.558	1.06	1.727	1.922	3.266	0.02133	1.996	2.904	2.272	1.954	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Acidovorax"	"G"	12916	23941	657	1348	7150	4764	68	5665	10998	105	6099	23941	7496	9	7.041	4.114	7.041	2.693	1.224	2.864	2.289	3.954	0.02604	2.278	6.564	3.02	1.599	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Acidovorax avenae"	"S"	80867	5400	160	334	2094	1440	17	1585	2996	22	1666	5400	2038	4	1.744	1.002	1.744	0.7886	0.37	0.7161	0.6405	1.077	0.005457	0.6222	1.48	0.8212	0.7105	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae subsp. avenae"	"-"	80870	5400	160	334	2094	1440	17	1585	2996	22	1666	5400	2038	4	1.744	1.002	1.744	0.7886	0.37	0.7161	0.6405	1.077	0.005457	0.6222	1.48	0.8212	0.7105	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae"
"Acidovorax avenae subsp. avenae ATCC 19860"	"-"	643561	114	7	2	84	27	NA	19	39	NA	15	114	26	NA	0.04383	0.04383	0.01045	0.03163	0.006938	NA	0.007678	0.01402	NA	0.005602	0.03125	0.01048	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae>Acidovorax&nbsp;avenae&nbsp;subsp.&nbsp;avenae"
"Acidovorax carolinensis"	"S"	553814	3029	96	205	872	673	9	731	1321	15	889	3029	981	1	1.071	0.6011	1.071	0.3284	0.1729	0.3791	0.2954	0.4749	0.00372	0.332	0.8304	0.3953	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. KKS102"	"S"	358220	33	2	3	13	1	NA	NA	16	NA	2	33	7	NA	0.01567	0.01252	0.01567	0.004896	0.0002569	NA	NA	0.005752	NA	0.0007469	0.009047	0.002821	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Rhodoferax"	"G"	28065	10645	409	970	3821	2809	33	3570	7410	67	3302	10645	4656	7	5.066	2.561	5.066	1.439	0.7218	1.39	1.443	2.664	0.01662	1.233	2.918	1.876	1.243	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rhodoferax antarcticus"	"S"	81479	2578	89	201	931	620	5	726	1332	14	774	2578	1095	NA	1.05	0.5573	1.05	0.3506	0.1593	0.2106	0.2934	0.4789	0.003472	0.289	0.7068	0.4412	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens"	"S"	192843	2805	84	209	771	685	6	871	1893	16	831	2805	1218	3	1.092	0.526	1.092	0.2904	0.176	0.2527	0.352	0.6806	0.003968	0.3103	0.769	0.4908	0.5329	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens T118"	"-"	338969	2805	84	209	771	685	6	871	1893	16	831	2805	1218	3	1.092	0.526	1.092	0.2904	0.176	0.2527	0.352	0.6806	0.003968	0.3103	0.769	0.4908	0.5329	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax>Rhodoferax&nbsp;ferrireducens"
"Rhodoferax saidenbachensis"	"S"	1484693	167	5	4	95	51	2	44	76	NA	36	167	45	NA	0.08425	0.03131	0.02089	0.03578	0.0131	0.08425	0.01778	0.02732	NA	0.01344	0.04579	0.01813	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	92	4	12	29	28	NA	26	62	1	33	92	38	NA	0.06268	0.02505	0.06268	0.01092	0.007194	NA	0.01051	0.02229	0.000248	0.01232	0.02522	0.01531	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Polaromonas"	"G"	52972	14154	390	1038	3884	4628	42	4353	9724	72	5245	14154	5762	15	5.421	2.442	5.421	1.463	1.189	1.769	1.759	3.496	0.01786	1.959	3.881	2.322	2.664	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Polaromonas naphthalenivorans"	"S"	216465	5813	167	469	1393	1436	17	1629	3934	33	1623	5813	2258	4	2.45	1.046	2.45	0.5246	0.369	0.7161	0.6583	1.414	0.008185	0.6061	1.594	0.9098	0.7105	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas naphthalenivorans CJ2"	"-"	365044	5813	167	469	1393	1436	17	1629	3934	33	1623	5813	2258	4	2.45	1.046	2.45	0.5246	0.369	0.7161	0.6583	1.414	0.008185	0.6061	1.594	0.9098	0.7105	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas>Polaromonas&nbsp;naphthalenivorans"
"Polaromonas sp. SP1"	"S"	2268087	2524	64	151	766	885	8	783	1743	7	1046	2524	1065	3	0.7887	0.4008	0.7887	0.2885	0.2274	0.337	0.3164	0.6266	0.001736	0.3906	0.692	0.4291	0.5329	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. JS666"	"S"	296591	224	4	16	70	100	NA	70	177	NA	117	224	108	1	0.1776	0.02505	0.08357	0.02636	0.02569	NA	0.02829	0.06364	NA	0.04369	0.06141	0.04352	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Variovorax"	"G"	34072	9060	323	591	3729	2279	24	2645	4992	50	2738	9060	3291	3	3.087	2.023	3.087	1.404	0.5856	1.011	1.069	1.795	0.0124	1.023	2.484	1.326	0.5329	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Variovorax boronicumulans"	"S"	436515	7105	249	458	2633	1851	19	2056	3895	36	2157	7105	2656	3	2.392	1.559	2.392	0.9916	0.4756	0.8003	0.8309	1.4	0.008929	0.8055	1.948	1.07	0.5329	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PAMC 28711"	"S"	1795631	346	16	14	346	32	NA	44	69	2	48	108	52	NA	0.1303	0.1002	0.07312	0.1303	0.008222	NA	0.01778	0.02481	0.000496	0.01793	0.02961	0.02095	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. HW608"	"S"	1034889	363	6	18	74	69	NA	122	204	2	121	363	119	NA	0.09952	0.03757	0.09401	0.02787	0.01773	NA	0.0493	0.07334	0.000496	0.04519	0.09952	0.04795	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus"	"S"	34073	127	5	8	127	24	2	27	39	NA	25	96	28	NA	0.08425	0.03131	0.04178	0.04783	0.006167	0.08425	0.01091	0.01402	NA	0.009336	0.02632	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus B4"	"-"	1246301	126	5	8	126	24	1	26	39	NA	24	95	28	NA	0.04745	0.03131	0.04178	0.04745	0.006167	0.04212	0.01051	0.01402	NA	0.008963	0.02605	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>Variovorax&nbsp;paradoxus"
