"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_april_BC01.cladeReads"	"kraken2_16s_classification_april_BC02.cladeReads"	"kraken2_16s_classification_april_BC03.cladeReads"	"kraken2_16s_classification_april_BC04.cladeReads"	"kraken2_16s_classification_april_BC05.cladeReads"	"kraken2_16s_classification_april_BC06.cladeReads"	"kraken2_16s_classification_april_BC07.cladeReads"	"kraken2_16s_classification_april_BC08.cladeReads"	"kraken2_16s_classification_april_BC09.cladeReads"	"kraken2_16s_classification_april_BC10.cladeReads"	"kraken2_16s_classification_april_BC11.cladeReads"	"kraken2_16s_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_april_BC01.cladeReads.."	"kraken2_16s_classification_april_BC02.cladeReads.."	"kraken2_16s_classification_april_BC03.cladeReads.."	"kraken2_16s_classification_april_BC04.cladeReads.."	"kraken2_16s_classification_april_BC05.cladeReads.."	"kraken2_16s_classification_april_BC06.cladeReads.."	"kraken2_16s_classification_april_BC07.cladeReads.."	"kraken2_16s_classification_april_BC08.cladeReads.."	"kraken2_16s_classification_april_BC09.cladeReads.."	"kraken2_16s_classification_april_BC10.cladeReads.."	"kraken2_16s_classification_april_BC11.cladeReads.."	"kraken2_16s_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	382	20	79	164	382	77	267	195	84	209	260	311	71	12.61	0.1252	0.4126	0.06176	0.09815	3.243	0.1079	0.07011	0.02083	0.07805	0.07128	0.1253	12.61	"unclassified"
"root"	"-"	1	403100	15950	19067	265373	388806	2297	247190	277952	403102	267565	364485	247862	492	99.98	99.87	99.59	99.94	99.9	96.76	99.89	99.93	99.98	99.92	99.93	99.87	87.39	"root"
"Bacteria"	"D"	3	403100	15950	19067	265369	388792	2297	247182	277945	403100	267560	364478	247856	491	99.98	99.87	99.59	99.94	99.9	96.76	99.89	99.93	99.98	99.92	99.93	99.87	87.21	"root"
"Proteobacteria"	"P"	2375	280350	9718	14537	152407	270029	1205	78725	142663	248593	78876	280353	100949	256	76.86	60.85	75.93	57.4	69.38	50.76	31.81	51.29	61.66	29.46	76.86	40.68	45.47	"Bacteria"
"Gammaproteobacteria"	"C"	3303	248300	8960	14177	117491	131745	987	70355	124484	248304	71662	236989	94186	211	74.05	56.11	74.05	44.25	33.85	41.58	28.43	44.75	61.59	26.76	64.97	37.95	37.48	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	219870	7733	13446	103865	80215	725	65490	117013	1433	67517	219866	87248	149	70.23	48.42	70.23	39.12	20.61	30.54	26.47	42.07	0.3554	25.21	60.28	35.16	26.47	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	210540	7093	13232	86740	65208	672	62554	113538	1340	65706	210544	83800	133	69.11	44.41	69.11	32.67	16.75	28.31	25.28	40.82	0.3324	24.54	57.72	33.77	23.62	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Rhodoferax"	"G"	26446	24388	845	1806	7932	6253	79	7615	15383	153	7675	24388	9708	15	9.433	5.291	9.433	2.987	1.607	3.328	3.077	5.531	0.03795	2.866	6.686	3.912	2.664	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnohabitans"	"G"	26410	19871	650	1476	6446	5379	62	6182	12436	141	6965	19871	8257	14	7.709	4.07	7.709	2.428	1.382	2.612	2.498	4.471	0.03497	2.601	5.448	3.327	2.487	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	17680	599	1310	6568	4865	63	5241	10348	108	5688	17680	6739	5	6.842	3.751	6.842	2.473	1.25	2.654	2.118	3.72	0.02679	2.124	4.847	2.715	0.8881	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	20648	573	1061	7159	4194	46	4655	8647	101	5041	20648	6344	9	5.661	3.588	5.542	2.696	1.078	1.938	1.881	3.109	0.02505	1.883	5.661	2.556	1.599	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	8827	368	469	6395	4617	38	2813	4850	68	2822	8827	4002	5	2.45	2.304	2.45	2.408	1.186	1.601	1.137	1.744	0.01687	1.054	2.42	1.613	0.8881	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Massilia"	"G"	26414	9592	337	413	3945	3833	37	3212	4938	57	3366	9592	4763	6	2.63	2.11	2.157	1.486	0.9849	1.559	1.298	1.775	0.01414	1.257	2.63	1.919	1.066	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	10656	291	371	4144	2811	27	2716	3374	57	2614	10656	3531	7	2.921	1.822	1.938	1.561	0.7223	1.137	1.098	1.213	0.01414	0.9762	2.921	1.423	1.243	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	5817	221	432	2330	1738	10	1951	3560	48	1811	5817	2318	5	2.256	1.384	2.256	0.8775	0.4466	0.4212	0.7884	1.28	0.01191	0.6763	1.595	0.934	0.8881	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	6656	196	416	2029	2172	18	2004	4049	46	2308	6656	2542	8	2.173	1.227	2.173	0.7641	0.5581	0.7582	0.8098	1.456	0.01141	0.8619	1.825	1.024	1.421	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	5320	182	359	2073	1596	15	1584	3074	38	1782	5320	2000	4	1.875	1.14	1.875	0.7807	0.4101	0.6318	0.6401	1.105	0.009425	0.6655	1.459	0.8059	0.7105	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	5431	176	323	2580	1803	27	1687	2823	29	1672	5431	2019	3	1.687	1.102	1.687	0.9716	0.4633	1.137	0.6817	1.015	0.007193	0.6244	1.489	0.8135	0.5329	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	4393	161	269	1793	1279	22	1135	2230	31	1231	4393	1448	4	1.405	1.008	1.405	0.6752	0.3286	0.9267	0.4587	0.8017	0.007689	0.4597	1.204	0.5835	0.7105	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	4143	145	267	1524	1083	16	1151	2355	21	1248	4143	1546	3	1.395	0.908	1.395	0.5739	0.2783	0.674	0.4651	0.8467	0.005209	0.4661	1.136	0.623	0.5329	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	5385	142	247	1516	1317	13	1240	2076	25	1371	5385	1691	4	1.476	0.8892	1.29	0.5709	0.3384	0.5476	0.5011	0.7464	0.006201	0.512	1.476	0.6814	0.7105	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	2032	129	125	1035	1173	10	1030	1486	15	935	1570	2032	3	0.8188	0.8078	0.6529	0.3898	0.3014	0.4212	0.4162	0.5342	0.00372	0.3492	0.4304	0.8188	0.5329	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	3747	116	231	1346	1032	10	1073	2036	14	1202	3747	1385	4	1.207	0.7264	1.207	0.5069	0.2652	0.4212	0.4336	0.732	0.003472	0.4489	1.027	0.5581	0.7105	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	3311	105	177	1846	1382	12	1038	1375	21	1014	3311	1511	2	0.9245	0.6575	0.9245	0.6952	0.3551	0.5055	0.4195	0.4943	0.005209	0.3787	0.9078	0.6088	0.3552	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ralstonia"	"G"	26443	1092	71	62	936	690	1	428	647	10	361	1092	641	NA	0.4446	0.4446	0.3238	0.3525	0.1773	0.04212	0.173	0.2326	0.00248	0.1348	0.2994	0.2583	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ramlibacter"	"G"	26444	1801	53	128	664	508	6	562	1026	11	653	1801	717	3	0.6685	0.3319	0.6685	0.2501	0.1305	0.2527	0.2271	0.3689	0.002728	0.2439	0.4938	0.2889	0.5329	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	1504	51	100	670	425	3	430	907	8	546	1504	561	NA	0.5223	0.3193	0.5223	0.2523	0.1092	0.1264	0.1738	0.3261	0.001984	0.2039	0.4123	0.2261	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	1401	46	113	475	356	6	446	802	7	442	1401	556	1	0.5902	0.288	0.5902	0.1789	0.09147	0.2527	0.1802	0.2883	0.001736	0.1651	0.3841	0.224	0.1776	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhizobacter"	"G"	26445	1071	45	47	653	370	3	277	444	7	287	1071	367	1	0.2936	0.2818	0.2455	0.2459	0.09507	0.1264	0.1119	0.1596	0.001736	0.1072	0.2936	0.1479	0.1776	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	1210	44	59	495	469	5	336	565	14	365	1210	618	NA	0.3317	0.2755	0.3082	0.1864	0.1205	0.2106	0.1358	0.2031	0.003472	0.1363	0.3317	0.249	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Cupriavidus"	"G"	26386	1119	40	60	724	594	3	329	559	9	329	1119	473	NA	0.3134	0.2505	0.3134	0.2727	0.1526	0.1264	0.133	0.201	0.002232	0.1229	0.3068	0.1906	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	911	37	70	346	270	2	313	550	4	303	911	373	NA	0.3656	0.2317	0.3656	0.1303	0.06938	0.08425	0.1265	0.1977	0.0009921	0.1132	0.2498	0.1503	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Curvibacter"	"G"	26387	961	34	72	384	295	1	307	539	11	305	961	363	NA	0.3761	0.2129	0.3761	0.1446	0.0758	0.04212	0.1241	0.1938	0.002728	0.1139	0.2635	0.1463	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Brachymonas"	"G"	26366	1059	33	87	411	305	4	350	614	5	361	1059	440	1	0.4544	0.2066	0.4544	0.1548	0.07837	0.1685	0.1414	0.2207	0.00124	0.1348	0.2903	0.1773	0.1776	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	912	32	49	417	296	1	271	487	7	265	912	363	2	0.3552	0.2004	0.2559	0.157	0.07606	0.04212	0.1095	0.1751	0.001736	0.09896	0.25	0.1463	0.3552	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Noviherbaspirillum"	"G"	26418	797	31	41	426	425	2	285	412	5	296	797	380	2	0.3552	0.1941	0.2141	0.1604	0.1092	0.08425	0.1152	0.1481	0.00124	0.1105	0.2185	0.1531	0.3552	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
