"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_classification_august_BC01.cladeReads.."	"kraken2_classification_august_BC02.cladeReads.."	"kraken2_classification_august_BC03.cladeReads.."	"kraken2_classification_august_BC04.cladeReads.."	"kraken2_classification_august_BC05.cladeReads.."	"kraken2_classification_august_BC06.cladeReads.."	"kraken2_classification_august_BC07.cladeReads.."	"kraken2_classification_august_BC08.cladeReads.."	"kraken2_classification_august_BC09.cladeReads.."	"kraken2_classification_august_BC10.cladeReads.."	"kraken2_classification_august_BC11.cladeReads.."	"kraken2_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	7635	3049	992	265	569	6269	7635	4928	3079	261	968	6117	997	44.84	1.002	2.1	34.46	44.84	0.7379	0.9387	0.7021	0.1745	33.42	0.6649	0.6712	2.177	"unclassified"
"root"	"-"	1	1762700	348055	52361	610	803	971405	962638	802898	1762712	573	153653	947512	48727	118.3	114.4	110.9	79.32	63.28	114.3	118.3	114.4	99.89	73.37	105.5	104	106.4	"root"
"cellular organisms"	"-"	131567	1762700	348055	52361	610	803	971405	962638	802898	1762712	573	153653	947512	48727	118.3	114.4	110.9	79.32	63.28	114.3	118.3	114.4	99.89	73.37	105.5	104	106.4	"root"
"Bacteria"	"D"	2	1762700	348034	52352	608	802	971318	962512	802807	1762706	572	153647	947472	48722	118.3	114.4	110.8	79.06	63.2	114.3	118.3	114.4	99.89	73.24	105.5	104	106.4	"cellular&nbsp;organisms"
"FCB group"	"-"	1783270	457500	135643	16144	188	155	213187	257134	145429	1217	83	62442	457501	22659	50.2	44.59	34.18	24.45	12.21	25.09	31.61	20.72	0.06897	10.63	42.89	50.2	49.48	"cellular&nbsp;organisms>Bacteria"
"Bacteroidetes/Chlorobi group"	"-"	68336	457230	134876	16000	187	153	211552	256109	144317	1194	83	62363	457232	22645	50.17	44.33	33.87	24.32	12.06	24.9	31.49	20.56	0.06766	10.63	42.84	50.17	49.45	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group"
"Bacteroidetes"	"P"	976	457060	134789	15988	187	152	211258	255801	144129	1190	83	62342	457062	22635	50.15	44.3	33.85	24.32	11.98	24.87	31.45	20.53	0.06744	10.63	42.82	50.15	49.43	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group"
"Cytophagia"	"C"	768503	394060	88524	10292	80	66	117792	134655	96788	874	34	51858	394060	16547	43.24	29.1	21.79	10.4	5.201	13.87	16.55	13.79	0.04953	4.353	35.62	43.24	36.14	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes"
"Cytophagales"	"O"	768507	394060	88524	10292	80	66	117792	134655	96788	874	34	51858	394060	16547	43.24	29.1	21.79	10.4	5.201	13.87	16.55	13.79	0.04953	4.353	35.62	43.24	36.14	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia"
"Cytophagaceae"	"F"	89373	383420	78663	9062	57	57	95711	104240	85331	821	31	50467	383420	15514	42.07	25.86	19.19	7.412	4.492	11.27	12.82	12.16	0.04653	3.969	34.66	42.07	33.88	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Pseudarcicella"	"G"	1664383	374540	71777	8314	40	48	82582	87763	78529	796	28	49263	374536	14917	41.1	23.59	17.6	5.202	3.783	9.721	10.79	11.19	0.04511	3.585	33.84	41.1	32.58	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Pseudarcicella sp. HME7025"	"S"	2183547	374540	71777	8314	40	48	82582	87763	78529	796	28	49263	374536	14917	41.1	23.59	17.6	5.202	3.783	9.721	10.79	11.19	0.04511	3.585	33.84	41.1	32.58	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Pseudarcicella"
