"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_august_BC01.cladeReads"	"kraken2_16s_classification_august_BC02.cladeReads"	"kraken2_16s_classification_august_BC03.cladeReads"	"kraken2_16s_classification_august_BC04.cladeReads"	"kraken2_16s_classification_august_BC05.cladeReads"	"kraken2_16s_classification_august_BC06.cladeReads"	"kraken2_16s_classification_august_BC07.cladeReads"	"kraken2_16s_classification_august_BC08.cladeReads"	"kraken2_16s_classification_august_BC09.cladeReads"	"kraken2_16s_classification_august_BC10.cladeReads"	"kraken2_16s_classification_august_BC11.cladeReads"	"kraken2_16s_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_august_BC01.cladeReads.."	"kraken2_16s_classification_august_BC02.cladeReads.."	"kraken2_16s_classification_august_BC03.cladeReads.."	"kraken2_16s_classification_august_BC04.cladeReads.."	"kraken2_16s_classification_august_BC05.cladeReads.."	"kraken2_16s_classification_august_BC06.cladeReads.."	"kraken2_16s_classification_august_BC07.cladeReads.."	"kraken2_16s_classification_august_BC08.cladeReads.."	"kraken2_16s_classification_august_BC09.cladeReads.."	"kraken2_16s_classification_august_BC10.cladeReads.."	"kraken2_16s_classification_august_BC11.cladeReads.."	"kraken2_16s_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1898	1702	1097	370	829	897	1501	1120	774	424	506	1898	1189	63.23	0.5153	2.19	45.23	63.23	0.09901	0.1666	0.1512	0.04442	52.74	0.3549	0.2157	2.519	"unclassified"
"root"	"-"	1	1765000	349402	52256	505	543	976778	968773	806707	1765018	410	154115	951731	48536	108.9	105.8	104.3	61.74	41.42	107.8	107.5	108.9	101.3	51	108.1	108.1	102.8	"root"
"Bacteria"	"D"	3	1765000	349387	52249	504	535	976748	968740	806680	1765001	407	154109	951694	48525	108.9	105.8	104.3	61.61	40.81	107.8	107.5	108.9	101.3	50.62	108.1	108.1	102.8	"root"
"Bacteroidetes"	"P"	905	466500	139423	16478	219	119	220982	270905	148175	1570	68	63053	466503	22915	53.01	42.21	32.9	26.77	9.077	24.39	30.07	20	0.09011	8.458	44.22	53.01	48.54	"Bacteria"
"Bacteroidia"	"C"	912	466180	139225	16447	219	119	220597	270513	147726	1556	68	62992	466177	22902	52.97	42.15	32.84	26.77	9.077	24.35	30.03	19.94	0.08931	8.458	44.18	52.97	48.52	"Bacteria>Bacteroidetes"
"Cytophagales"	"O"	24714	370780	72282	8431	42	45	81528	84196	79831	776	25	49272	370783	14968	42.13	21.88	16.83	5.134	3.432	8.999	9.347	10.78	0.04454	3.109	34.55	42.13	31.71	"Bacteria>Bacteroidetes>Bacteroidia"
"Spirosomaceae"	"F"	24794	360800	69950	8093	35	42	78805	81097	76780	739	24	48102	360799	14629	41	21.18	16.16	4.279	3.204	8.699	9.003	10.36	0.04241	2.985	33.73	41	30.99	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Pseudarcicella"	"G"	24809	343830	66882	7690	30	37	74889	76828	73025	700	21	45908	343832	13891	39.07	20.25	15.35	3.667	2.822	8.266	8.529	9.857	0.04018	2.612	32.2	39.07	29.43	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Arcicella"	"G"	24795	5300	985	115	NA	2	1143	1217	1111	10	1	723	5300	227	0.6022	0.2982	0.2296	NA	0.1526	0.1262	0.1351	0.15	0.0005739	0.1244	0.507	0.6022	0.4809	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Flectobacillus"	"G"	24801	2898	523	82	NA	1	636	726	598	4	1	378	2898	109	0.3293	0.1583	0.1637	NA	0.07628	0.0702	0.0806	0.08072	0.0002296	0.1244	0.2651	0.3293	0.2309	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Runella"	"G"	24812	1422	284	35	3	NA	452	379	274	1	NA	232	1422	82	0.3667	0.08598	0.06988	0.3667	NA	0.04989	0.04207	0.03699	5.739e-05	NA	0.1627	0.1616	0.1737	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Dyadobacter"	"G"	24797	693	141	18	NA	NA	135	158	151	2	NA	77	693	30	0.07875	0.04269	0.03594	NA	NA	0.0149	0.01754	0.02038	0.0001148	NA	0.054	0.07875	0.06355	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Lacihabitans"	"G"	24804	299	65	6	NA	NA	146	228	299	1	NA	28	275	55	0.1165	0.01968	0.01198	NA	NA	0.01612	0.02531	0.04036	5.739e-05	NA	0.01964	0.03125	0.1165	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Larkinella"	"G"	24805	184	44	4	NA	NA	44	47	39	NA	NA	26	184	7	0.02091	0.01332	0.007986	NA	NA	0.004857	0.005218	0.005264	NA	NA	0.01823	0.02091	0.01483	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Spirosoma"	"G"	24813	186	39	8	NA	NA	40	40	43	NA	NA	26	186	11	0.0233	0.01181	0.01597	NA	NA	0.004415	0.004441	0.005804	NA	NA	0.01823	0.02114	0.0233	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"uncultured"	"G"	24815	244	34	5	NA	NA	76	57	104	NA	NA	22	244	2	0.02773	0.01029	0.009983	NA	NA	0.008389	0.006328	0.01404	NA	NA	0.01543	0.02773	0.004237	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Emticicia"	"G"	24798	57	19	2	NA	NA	30	26	15	NA	NA	6	57	1	0.006477	0.005752	0.003993	NA	NA	0.003311	0.002886	0.002025	NA	NA	0.004208	0.006477	0.002118	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Fibrella"	"G"	24799	65	10	4	NA	NA	20	20	10	1	NA	7	65	3	0.007986	0.003027	0.007986	NA	NA	0.002208	0.00222	0.00135	5.739e-05	NA	0.004909	0.007386	0.006355	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Leadbetterella"	"G"	24806	37	7	1	NA	NA	16	12	10	NA	NA	5	37	1	0.004204	0.002119	0.001997	NA	NA	0.001766	0.001332	0.00135	NA	NA	0.003507	0.004204	0.002118	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Taeseokella"	"G"	24814	30	2	NA	NA	NA	6	8	11	NA	NA	2	30	2	0.004237	0.0006055	NA	NA	NA	0.0006623	0.0008881	0.001485	NA	NA	0.001403	0.003409	0.004237	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Persicitalea"	"G"	24808	16	2	1	NA	NA	7	8	1	NA	NA	2	16	NA	0.001997	0.0006055	0.001997	NA	NA	0.0007727	0.0008881	0.000135	NA	NA	0.001403	0.001818	NA	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Rhabdobacter"	"G"	24810	2	1	NA	NA	NA	NA	2	2	NA	NA	NA	NA	1	0.002118	0.0003027	NA	NA	NA	NA	0.000222	0.00027	NA	NA	NA	NA	0.002118	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
