"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_august_BC01.cladeReads"	"centrifuge_classification_august_BC02.cladeReads"	"centrifuge_classification_august_BC03.cladeReads"	"centrifuge_classification_august_BC04.cladeReads"	"centrifuge_classification_august_BC05.cladeReads"	"centrifuge_classification_august_BC06.cladeReads"	"centrifuge_classification_august_BC07.cladeReads"	"centrifuge_classification_august_BC08.cladeReads"	"centrifuge_classification_august_BC09.cladeReads"	"centrifuge_classification_august_BC10.cladeReads"	"centrifuge_classification_august_BC11.cladeReads"	"centrifuge_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_classification_august_BC01.cladeReads.."	"centrifuge_classification_august_BC02.cladeReads.."	"centrifuge_classification_august_BC03.cladeReads.."	"centrifuge_classification_august_BC04.cladeReads.."	"centrifuge_classification_august_BC05.cladeReads.."	"centrifuge_classification_august_BC06.cladeReads.."	"centrifuge_classification_august_BC07.cladeReads.."	"centrifuge_classification_august_BC08.cladeReads.."	"centrifuge_classification_august_BC09.cladeReads.."	"centrifuge_classification_august_BC10.cladeReads.."	"centrifuge_classification_august_BC11.cladeReads.."	"centrifuge_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	12890	4503	1136	235	534	11556	12890	8371	9117	235	1654	11297	1221	38.92	1.283	2.129	26.86	38.92	1.182	1.328	1.036	0.5163	28.18	1.07	1.185	2.456	"unclassified"
"root"	"-"	1	1756700	346601	52217	640	838	966119	957384	799456	1756675	599	152967	942332	48504	99.48	98.72	97.87	73.14	61.08	98.82	98.67	98.96	99.48	71.82	98.93	98.82	97.54	"root"
"cellular organisms"	"-"	131567	1756700	346601	52217	640	838	966119	957384	799456	1756675	599	152967	942332	48504	99.48	98.72	97.87	73.14	61.08	98.82	98.67	98.96	99.48	71.82	98.93	98.82	97.54	"root"
"Bacteria"	"D"	2	1756600	346526	52201	638	835	965832	957074	799277	1756628	596	152935	942223	48491	99.48	98.7	97.84	72.91	60.86	98.79	98.64	98.94	99.48	71.46	98.91	98.8	97.52	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	1097000	137213	25573	223	409	482670	406413	443925	1096954	366	74277	426218	19532	62.12	39.08	47.93	25.49	29.81	49.37	41.89	54.95	62.12	43.88	48.04	44.69	39.28	"cellular&nbsp;organisms>Bacteria"
"Alphaproteobacteria"	"C"	28211	95160	49065	6751	36	81	71341	45635	95160	8428	39	25030	38221	4750	16.19	13.97	12.65	4.114	5.904	7.297	4.703	11.78	0.4773	4.676	16.19	4.008	9.553	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Rhodobacterales"	"O"	204455	53161	24943	3608	11	29	38672	22613	53161	850	9	14039	17486	432	9.08	7.104	6.763	1.257	2.114	3.956	2.331	6.581	0.04814	1.079	9.08	1.834	0.8688	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhodobacteraceae"	"F"	31989	52560	24666	3574	11	29	38261	22343	52560	613	9	13910	17280	418	8.996	7.025	6.699	1.257	2.114	3.913	2.303	6.506	0.03472	1.079	8.996	1.812	0.8406	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales"
"Rhodobacter"	"G"	1060	23690	10958	1586	3	10	15907	8806	23690	208	2	6722	8071	170	4.347	3.121	2.973	0.3429	0.7289	1.627	0.9076	2.933	0.01178	0.2398	4.347	0.8463	0.3419	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobacter sp. CZR27"	"S"	2033869	10333	5595	832	2	5	7520	3772	10333	86	NA	3004	3439	80	1.943	1.594	1.559	0.2286	0.3644	0.7692	0.3888	1.279	0.00487	NA	1.943	0.3606	0.1609	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter capsulatus"	"S"	1061	4616	2088	297	NA	1	2847	1701	4616	26	NA	1318	1459	29	0.8524	0.5947	0.5567	NA	0.07289	0.2912	0.1753	0.5714	0.001472	NA	0.8524	0.153	0.05832	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter sphaeroides"	"S"	1063	6402	1866	252	1	3	3586	2172	6402	25	2	1727	2188	43	1.117	0.5315	0.4723	0.1143	0.2187	0.3668	0.2239	0.7925	0.001416	0.2398	1.117	0.2294	0.08648	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter sp. LPB0142"	"S"	1850250	439	197	23	NA	NA	253	184	439	2	NA	127	163	3	0.08214	0.05611	0.04311	NA	NA	0.02588	0.01896	0.05434	0.0001133	NA	0.08214	0.01709	0.006033	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Defluviimonas"	"G"	1097466	7643	3851	547	1	3	6582	3349	7643	58	2	1971	2435	54	1.275	1.097	1.025	0.1143	0.2187	0.6732	0.3452	0.9461	0.003285	0.2398	1.275	0.2553	0.1086	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Defluviimonas alba"	"S"	1335048	7643	3851	547	1	3	6582	3349	7643	58	2	1971	2435	54	1.275	1.097	1.025	0.1143	0.2187	0.6732	0.3452	0.9461	0.003285	0.2398	1.275	0.2553	0.1086	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Defluviimonas"
"Celeribacter"	"G"	875170	4082	2382	347	1	4	3217	1848	4082	43	2	974	1211	44	0.6784	0.6784	0.6504	0.1143	0.2915	0.329	0.1905	0.5053	0.002435	0.2398	0.6299	0.127	0.08849	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Celeribacter marinus"	"S"	1397108	3725	2224	330	1	4	2929	1632	3725	39	1	911	1118	43	0.6334	0.6334	0.6185	0.1143	0.2915	0.2996	0.1682	0.4611	0.002209	0.1199	0.5892	0.1172	0.08648	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter manganoxidans"	"S"	1411902	329	145	17	NA	NA	268	202	329	2	1	48	84	1	0.1199	0.0413	0.03186	NA	NA	0.02741	0.02082	0.04073	0.0001133	0.1199	0.03104	0.008808	0.002011	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter ethanolicus"	"S"	1758178	17	7	NA	NA	NA	13	9	17	NA	NA	9	7	NA	0.005821	0.001994	NA	NA	NA	0.00133	0.0009276	0.002104	NA	NA	0.005821	0.000734	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter indicus"	"S"	1208324	8	3	NA	NA	NA	5	5	8	2	NA	3	2	NA	0.00194	0.0008544	NA	NA	NA	0.0005114	0.0005153	0.0009903	0.0001133	NA	0.00194	0.0002097	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Paracoccus"	"G"	265	5064	1998	295	3	6	3423	1986	5064	76	NA	1371	1726	43	0.8867	0.5691	0.5529	0.3429	0.4373	0.3501	0.2047	0.6269	0.004304	NA	0.8867	0.181	0.08648	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Paracoccus aminophilus"	"S"	34003	2949	884	138	1	2	1582	954	2949	27	NA	882	1046	19	0.5704	0.2518	0.2587	0.1143	0.1458	0.1618	0.09832	0.3651	0.001529	NA	0.5704	0.1097	0.03821	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus zhejiangensis"	"S"	1077935	524	236	34	NA	2	384	243	524	14	NA	111	170	5	0.1458	0.06722	0.06373	NA	0.1458	0.03928	0.02504	0.06487	0.0007928	NA	0.07179	0.01783	0.01006	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus contaminans"	"S"	1945662	273	169	24	1	NA	216	105	273	3	NA	59	79	2	0.1143	0.04813	0.04498	0.1143	NA	0.02209	0.01082	0.03379	0.0001699	NA	0.03816	0.008284	0.004022	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
