"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_august_BC01.cladeReads"	"centrifuge_16s_classification_august_BC02.cladeReads"	"centrifuge_16s_classification_august_BC03.cladeReads"	"centrifuge_16s_classification_august_BC04.cladeReads"	"centrifuge_16s_classification_august_BC05.cladeReads"	"centrifuge_16s_classification_august_BC06.cladeReads"	"centrifuge_16s_classification_august_BC07.cladeReads"	"centrifuge_16s_classification_august_BC08.cladeReads"	"centrifuge_16s_classification_august_BC09.cladeReads"	"centrifuge_16s_classification_august_BC10.cladeReads"	"centrifuge_16s_classification_august_BC11.cladeReads"	"centrifuge_16s_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_august_BC01.cladeReads.."	"centrifuge_16s_classification_august_BC02.cladeReads.."	"centrifuge_16s_classification_august_BC03.cladeReads.."	"centrifuge_16s_classification_august_BC04.cladeReads.."	"centrifuge_16s_classification_august_BC05.cladeReads.."	"centrifuge_16s_classification_august_BC06.cladeReads.."	"centrifuge_16s_classification_august_BC07.cladeReads.."	"centrifuge_16s_classification_august_BC08.cladeReads.."	"centrifuge_16s_classification_august_BC09.cladeReads.."	"centrifuge_16s_classification_august_BC10.cladeReads.."	"centrifuge_16s_classification_august_BC11.cladeReads.."	"centrifuge_16s_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1633100	1658	1079	372	826	874202	838186	703770	1633094	423	479	907984	1183	95.21	0.4722	2.022	42.51	60.2	89.42	86.39	87.12	92.49	50.72	0.3098	95.21	2.379	"unclassified"
"root"	"-"	1	349450	349446	52274	503	546	103473	132088	104057	132698	411	154142	45645	48542	99.69	99.53	97.98	57.49	39.8	10.58	13.61	12.88	7.515	49.28	99.69	4.786	97.62	"root"
"cellular organisms"	"-"	131567	288470	288474	43281	418	420	74946	93770	76829	75663	287	119391	35236	39224	82.16	82.16	81.12	47.77	30.61	7.666	9.664	9.511	4.285	34.41	77.22	3.695	78.88	"root"
"Bacteria"	"D"	2	280590	280592	40980	406	402	69881	88169	72264	72688	277	117742	29747	37594	79.92	79.92	76.81	46.4	29.3	7.148	9.087	8.945	4.116	33.21	76.15	3.119	75.6	"cellular&nbsp;organisms"
"environmental samples"	"-"	48479	149960	149956	22024	179	176	10023	11670	10207	11748	88	53723	6036	18394	42.71	42.71	41.28	20.46	12.83	1.025	1.203	1.264	0.6653	10.55	34.74	0.633	36.99	"cellular&nbsp;organisms>Bacteria"
"uncultured bacterium"	"S"	77133	146050	146050	21346	172	169	9283	10877	9342	10644	85	51878	5444	17873	41.6	41.6	40.01	19.66	12.32	0.9495	1.121	1.156	0.6028	10.19	33.55	0.5709	35.94	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured soil bacterium"	"S"	164851	750	750	135	2	2	249	211	258	33	NA	695	256	164	0.4495	0.2136	0.253	0.2286	0.1458	0.02547	0.02175	0.03194	0.001869	NA	0.4495	0.02684	0.3298	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone B160(2011)"	"S"	1070644	364	364	113	NA	NA	NA	NA	NA	NA	NA	3	NA	43	0.2118	0.1037	0.2118	NA	NA	NA	NA	NA	NA	NA	0.00194	NA	0.08648	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured marine bacterium"	"S"	56765	309	309	34	1	1	20	21	15	15	1	112	26	32	0.1199	0.08801	0.06373	0.1143	0.07289	0.002046	0.002164	0.001857	0.0008495	0.1199	0.07244	0.002726	0.06435	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"Crater Lake bacteria ensemble"	"-"	150578	299	299	27	NA	NA	NA	NA	NA	NA	NA	3	NA	8	0.08516	0.08516	0.05061	NA	NA	NA	NA	NA	NA	NA	0.00194	NA	0.01609	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
