"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_august_BC01.cladeReads"	"kraken2_16s_classification_august_BC02.cladeReads"	"kraken2_16s_classification_august_BC03.cladeReads"	"kraken2_16s_classification_august_BC04.cladeReads"	"kraken2_16s_classification_august_BC05.cladeReads"	"kraken2_16s_classification_august_BC06.cladeReads"	"kraken2_16s_classification_august_BC07.cladeReads"	"kraken2_16s_classification_august_BC08.cladeReads"	"kraken2_16s_classification_august_BC09.cladeReads"	"kraken2_16s_classification_august_BC10.cladeReads"	"kraken2_16s_classification_august_BC11.cladeReads"	"kraken2_16s_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_august_BC01.cladeReads.."	"kraken2_16s_classification_august_BC02.cladeReads.."	"kraken2_16s_classification_august_BC03.cladeReads.."	"kraken2_16s_classification_august_BC04.cladeReads.."	"kraken2_16s_classification_august_BC05.cladeReads.."	"kraken2_16s_classification_august_BC06.cladeReads.."	"kraken2_16s_classification_august_BC07.cladeReads.."	"kraken2_16s_classification_august_BC08.cladeReads.."	"kraken2_16s_classification_august_BC09.cladeReads.."	"kraken2_16s_classification_august_BC10.cladeReads.."	"kraken2_16s_classification_august_BC11.cladeReads.."	"kraken2_16s_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1898	1702	1097	370	829	897	1501	1120	774	424	506	1898	1189	60.42	0.4848	2.056	42.29	60.42	0.09175	0.1547	0.1386	0.04383	50.84	0.3273	0.199	2.391	"unclassified"
"root"	"-"	1	1765000	349402	52256	505	543	976778	968773	806707	1765018	410	154115	951731	48536	99.96	99.52	97.94	57.71	39.58	99.91	99.85	99.86	99.96	49.16	99.67	99.8	97.61	"root"
"Bacteria"	"D"	3	1765000	349387	52249	504	535	976748	968740	806680	1765001	407	154109	951694	48525	99.96	99.51	97.93	57.6	38.99	99.91	99.84	99.86	99.96	48.8	99.67	99.8	97.59	"root"
"Bacteroidetes"	"P"	905	466500	139423	16478	219	119	220982	270905	148175	1570	68	63053	466503	22915	48.92	39.71	30.88	25.03	8.673	22.6	27.92	18.34	0.08891	8.153	40.78	48.92	46.08	"Bacteria"
"Bacteroidia"	"C"	912	466180	139225	16447	219	119	220597	270513	147726	1556	68	62992	466177	22902	48.88	39.65	30.83	25.03	8.673	22.56	27.88	18.29	0.08812	8.153	40.74	48.88	46.06	"Bacteria>Bacteroidetes"
"Cytophagales"	"O"	24714	370780	72282	8431	42	45	81528	84196	79831	776	25	49272	370783	14968	38.88	20.59	15.8	4.8	3.28	8.339	8.678	9.882	0.04395	2.998	31.87	38.88	30.1	"Bacteria>Bacteroidetes>Bacteroidia"
"Spirosomaceae"	"F"	24794	360800	69950	8093	35	42	78805	81097	76780	739	24	48102	360799	14629	37.83	19.92	15.17	4	3.061	8.06	8.358	9.505	0.04185	2.878	31.11	37.83	29.42	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Pseudarcicella"	"G"	24809	343830	66882	7690	30	37	74889	76828	73025	700	21	45908	343832	13891	36.06	19.05	14.41	3.429	2.697	7.66	7.918	9.04	0.03964	2.518	29.69	36.06	27.94	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Arcicella"	"G"	24795	5300	985	115	NA	2	1143	1217	1111	10	1	723	5300	227	0.5558	0.2805	0.2155	NA	0.1458	0.1169	0.1254	0.1375	0.0005663	0.1199	0.4676	0.5558	0.4565	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Flectobacillus"	"G"	24801	2898	523	82	NA	1	636	726	598	4	1	378	2898	109	0.3039	0.149	0.1537	NA	0.07289	0.06505	0.07482	0.07403	0.0002265	0.1199	0.2445	0.3039	0.2192	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
