"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_june_BC01.cladeReads"	"kraken2_16s_k21_classification_june_BC02.cladeReads"	"kraken2_16s_k21_classification_june_BC03.cladeReads"	"kraken2_16s_k21_classification_june_BC04.cladeReads"	"kraken2_16s_k21_classification_june_BC05.cladeReads"	"kraken2_16s_k21_classification_june_BC06.cladeReads"	"kraken2_16s_k21_classification_june_BC08.cladeReads"	"kraken2_16s_k21_classification_june_BC09.cladeReads"	"kraken2_16s_k21_classification_june_BC10.cladeReads"	"kraken2_16s_k21_classification_june_BC11.cladeReads"	"kraken2_16s_k21_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_june_BC01.cladeReads.."	"kraken2_16s_k21_classification_june_BC02.cladeReads.."	"kraken2_16s_k21_classification_june_BC03.cladeReads.."	"kraken2_16s_k21_classification_june_BC04.cladeReads.."	"kraken2_16s_k21_classification_june_BC05.cladeReads.."	"kraken2_16s_k21_classification_june_BC06.cladeReads.."	"kraken2_16s_k21_classification_june_BC08.cladeReads.."	"kraken2_16s_k21_classification_june_BC09.cladeReads.."	"kraken2_16s_k21_classification_june_BC10.cladeReads.."	"kraken2_16s_k21_classification_june_BC11.cladeReads.."	"kraken2_16s_k21_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	306	193	306	148	119	129	97	56	66	41	126	149	82.32	0.09762	4.333	0.09152	74.84	0.06959	66.9	0.03121	61.11	71.93	0.1506	82.32	"unclassified"
"root"	"-"	1	200360	200355	7068	162997	41	194356	51	181871	43	16	90875	35	108.6	101.3	100.1	100.8	25.79	104.8	35.17	101.4	39.81	28.07	108.6	19.34	"root"
"Bacteria"	"D"	3	200350	200350	7063	162989	38	194350	50	181865	43	15	90873	30	108.6	101.3	100	100.8	23.9	104.8	34.48	101.4	39.81	26.32	108.6	16.57	"root"
"Cyanobacteria"	"P"	1500	172840	172835	4619	150956	12	114884	18	329	6	7	7504	11	93.35	87.42	65.41	93.35	7.547	61.97	12.41	0.1834	5.556	12.28	8.968	6.077	"Bacteria"
"Oxyphotobacteria"	"C"	25227	172820	172820	4619	150942	12	114868	18	329	6	7	7490	11	93.34	87.41	65.41	93.34	7.547	61.96	12.41	0.1834	5.556	12.28	8.952	6.077	"Bacteria>Cyanobacteria"
"Chloroplast"	"O"	25228	172690	172691	4615	150830	12	114777	18	329	6	7	7361	11	93.27	87.34	65.35	93.27	7.547	61.91	12.41	0.1834	5.556	12.28	8.797	6.077	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Nostocales"	"O"	25273	73	61	1	48	NA	41	NA	NA	NA	NA	73	NA	0.08725	0.03085	0.01416	0.02968	NA	0.02212	NA	NA	NA	NA	0.08725	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Nostocaceae"	"F"	25335	58	16	NA	8	NA	8	NA	NA	NA	NA	58	NA	0.06932	0.008092	NA	0.004947	NA	0.004315	NA	NA	NA	NA	0.06932	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Nostoc PCC-7524"	"G"	25385	4	4	NA	2	NA	2	NA	NA	NA	NA	4	NA	0.004781	0.002023	NA	0.001237	NA	0.001079	NA	NA	NA	NA	0.004781	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nodularia PCC-9350"	"G"	25380	5	2	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0.005976	0.001012	NA	NA	NA	NA	NA	NA	NA	NA	0.005976	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
