"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.kreport.cladeReads"	"centrifuge_classification_june_BC02.kreport.cladeReads"	"centrifuge_classification_june_BC03.kreport.cladeReads"	"centrifuge_classification_june_BC04.kreport.cladeReads"	"centrifuge_classification_june_BC05.kreport.cladeReads"	"centrifuge_classification_june_BC06.kreport.cladeReads"	"centrifuge_classification_june_BC08.kreport.cladeReads"	"centrifuge_classification_june_BC09.kreport.cladeReads"	"centrifuge_classification_june_BC10.kreport.cladeReads"	"centrifuge_classification_june_BC11.kreport.cladeReads"	"centrifuge_classification_june_BC12.kreport.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.kreport.cladeReads.."	"centrifuge_classification_june_BC02.kreport.cladeReads.."	"centrifuge_classification_june_BC03.kreport.cladeReads.."	"centrifuge_classification_june_BC04.kreport.cladeReads.."	"centrifuge_classification_june_BC05.kreport.cladeReads.."	"centrifuge_classification_june_BC06.kreport.cladeReads.."	"centrifuge_classification_june_BC08.kreport.cladeReads.."	"centrifuge_classification_june_BC09.kreport.cladeReads.."	"centrifuge_classification_june_BC10.kreport.cladeReads.."	"centrifuge_classification_june_BC11.kreport.cladeReads.."	"centrifuge_classification_june_BC12.kreport.cladeReads.."	"lineage"
"unclassified"	"U"	0	3895	3895	267	3288	68	3024	56	783	27	28	986	79	49.12	1.942	3.621	2.015	42.5	1.555	37.84	0.4304	24.77	49.12	1.084	42.93	"unclassified"
"root"	"-"	1	196650	196653	7107	159857	92	191461	92	181144	82	29	90015	105	99.57	98.06	96.38	97.98	57.5	98.45	62.16	99.57	75.23	50.88	98.92	57.07	"root"
"cellular organisms"	"-"	131567	196650	196653	7107	159857	92	191461	92	181144	82	29	90015	105	99.57	98.06	96.38	97.98	57.5	98.45	62.16	99.57	75.23	50.88	98.92	57.07	"root"
"Bacteria"	"D"	2	196410	196407	7097	159673	91	191313	92	181138	81	29	90004	105	99.57	97.94	96.24	97.87	56.88	98.37	62.16	99.57	74.31	50.88	98.9	57.07	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	110630	110627	3061	95938	18	74717	25	70897	20	7	11761	33	58.81	55.16	41.51	58.81	11.25	38.42	16.89	38.97	18.35	12.28	12.92	17.93	"cellular&nbsp;organisms>Bacteria"
"Cyanobacteria/Melainabacteria group"	"-"	1798711	44029	44029	1146	38879	1	28845	4	126	2	2	2282	2	23.83	21.95	15.54	23.83	0.625	14.83	2.703	0.06926	1.835	3.509	2.508	1.087	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	44029	44029	1146	38879	1	28845	4	126	2	2	2282	2	23.83	21.95	15.54	23.83	0.625	14.83	2.703	0.06926	1.835	3.509	2.508	1.087	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Synechococcales"	"O"	1890424	23788	23788	639	20917	1	15760	NA	66	1	1	1084	2	12.82	11.86	8.666	12.82	0.625	8.103	NA	0.03628	0.9174	1.754	1.191	1.087	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Synechococcaceae"	"F"	1890426	23120	23120	616	20280	1	15245	NA	48	1	1	1035	1	12.43	11.53	8.354	12.43	0.625	7.839	NA	0.02638	0.9174	1.754	1.137	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechococcus"	"G"	1129	22896	22896	609	20098	1	15112	NA	48	NA	NA	1017	1	12.32	11.42	8.259	12.32	0.625	7.77	NA	0.02638	NA	NA	1.118	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Synechococcus sp. PCC 7502"	"S"	1173263	19243	19243	504	16931	1	12656	NA	32	NA	NA	840	1	10.38	9.595	6.835	10.38	0.625	6.507	NA	0.01759	NA	NA	0.9231	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 6312"	"S"	195253	2714	2714	61	2343	NA	1812	NA	3	NA	NA	106	NA	1.436	1.353	0.8272	1.436	NA	0.9317	NA	0.001649	NA	NA	0.1165	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
