"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC04.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC10.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC04.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC10.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	306	167	306	136	119	124	98	51	65	41	129	147	79.89	0.08327	4.15	0.08336	74.38	0.06376	66.22	0.02803	59.63	71.93	0.1418	79.89	"unclassified"
"root"	"-"	1	200380	200381	7068	163009	41	194361	50	181876	44	16	90872	37	99.97	99.92	95.85	99.92	25.62	99.94	33.78	99.97	40.37	28.07	99.86	20.11	"root"
"cellular organisms"	"-"	131567	186680	186678	6248	153038	32	171408	35	101699	28	11	72580	34	93.8	93.08	84.73	93.8	20	88.13	23.65	55.9	25.69	19.3	79.76	18.48	"root"
"Bacteria"	"D"	2	104310	86404	3453	66230	24	104314	27	100692	22	7	67700	20	74.39	43.08	46.83	40.6	15	53.64	18.24	55.35	20.18	12.28	74.39	10.87	"cellular&nbsp;organisms"
"environmental samples"	"-"	48479	69201	69201	2227	55835	10	65881	15	21581	11	5	32099	10	35.27	34.51	30.2	34.22	6.25	33.87	10.14	11.86	10.09	8.772	35.27	5.435	"cellular&nbsp;organisms>Bacteria"
"uncultured bacterium"	"S"	77133	58327	58327	1954	46419	9	56053	12	20961	11	5	30586	9	33.61	29.08	26.5	28.45	5.625	28.82	8.108	11.52	10.09	8.772	33.61	4.891	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone B160(2011)"	"S"	1070644	6428	6428	147	5526	NA	5304	1	13	NA	NA	174	NA	3.387	3.205	1.993	3.387	NA	2.727	0.6757	0.007146	NA	NA	0.1912	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"unidentified marine eubacterium"	"S"	28248	627	627	22	538	NA	440	NA	3	NA	NA	21	NA	0.3298	0.3126	0.2983	0.3298	NA	0.2262	NA	0.001649	NA	NA	0.02308	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured soil bacterium"	"S"	164851	736	324	17	198	1	736	NA	31	NA	NA	488	NA	0.625	0.1616	0.2305	0.1214	0.625	0.3784	NA	0.01704	NA	NA	0.5363	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"unidentified marine bacterioplankton"	"S"	13136	160	78	4	64	NA	42	NA	160	NA	NA	4	NA	0.08795	0.03889	0.05424	0.03923	NA	0.0216	NA	0.08795	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured marine bacterium"	"S"	56765	85	51	2	24	NA	85	NA	44	NA	NA	70	NA	0.07692	0.02543	0.02712	0.01471	NA	0.04371	NA	0.02419	NA	NA	0.07692	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured rumen bacterium"	"S"	136703	52	33	NA	20	NA	52	NA	31	NA	NA	31	NA	0.03407	0.01645	NA	0.01226	NA	0.02674	NA	0.01704	NA	NA	0.03407	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"Crater Lake bacteria ensemble"	"-"	150578	29	29	NA	7	NA	27	NA	NA	NA	NA	NA	NA	0.01446	0.01446	NA	0.004291	NA	0.01388	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured Crater Lake bacterium CL500-48"	"S"	148217	29	29	NA	7	NA	27	NA	NA	NA	NA	NA	NA	0.01446	0.01446	NA	0.004291	NA	0.01388	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>Crater&nbsp;Lake&nbsp;bacteria&nbsp;ensemble"
"iron-reducing bacterium enrichment culture clone FEA_2_E2"	"S"	631605	120	16	3	4	NA	120	NA	NA	NA	NA	53	NA	0.0617	0.007978	0.04068	0.002452	NA	0.0617	NA	NA	NA	NA	0.05824	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacteria "	"-"	150487	4	4	1	3	NA	2	NA	NA	NA	NA	NA	NA	0.01356	0.001995	0.01356	0.001839	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured bacterium "	"S"	117636	4	4	1	3	NA	2	NA	NA	NA	NA	NA	NA	0.01356	0.001995	0.01356	0.001839	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>uncultured&nbsp;bacteria&nbsp;"
"uncultured bacterium ARCTIC13_E_12"	"S"	542402	7	4	NA	7	NA	6	NA	NA	NA	NA	NA	NA	0.004291	0.001995	NA	0.004291	NA	0.003085	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultivated soil bacteria clone ensemble"	"-"	150482	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultivated soil bacterium clone C105"	"S"	64215	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples>uncultivated&nbsp;soil&nbsp;bacteria&nbsp;clone&nbsp;ensemble"
"uncultured compost bacterium"	"S"	155098	53	2	NA	1	NA	15	NA	53	NA	NA	7	NA	0.02913	0.0009973	NA	0.000613	NA	0.007713	NA	0.02913	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured anaerobic bacterium"	"S"	283740	2	2	NA	1	NA	2	NA	2	NA	NA	1	NA	0.001099	0.0009973	NA	0.000613	NA	0.001028	NA	0.001099	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"iron-reducing bacterium enrichment culture clone HN30"	"S"	569501	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured sludge bacterium"	"S"	641485	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured deep-sea bacterium"	"S"	759664	6	2	NA	1	NA	4	NA	6	NA	NA	2	NA	0.003298	0.0009973	NA	0.000613	NA	0.002057	NA	0.003298	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"bacterium enrichment culture clone B203(2011)"	"S"	1070652	2	2	1	NA	NA	NA	NA	NA	NA	NA	2	NA	0.01356	0.0009973	0.01356	NA	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"unidentified rumen bacterium RFP6"	"S"	60684	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
