"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_june_BC01.cladeReads"	"kraken2_16s_classification_june_BC02.cladeReads"	"kraken2_16s_classification_june_BC03.cladeReads"	"kraken2_16s_classification_june_BC04.cladeReads"	"kraken2_16s_classification_june_BC05.cladeReads"	"kraken2_16s_classification_june_BC06.cladeReads"	"kraken2_16s_classification_june_BC08.cladeReads"	"kraken2_16s_classification_june_BC09.cladeReads"	"kraken2_16s_classification_june_BC10.cladeReads"	"kraken2_16s_classification_june_BC11.cladeReads"	"kraken2_16s_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_june_BC01.cladeReads.."	"kraken2_16s_classification_june_BC02.cladeReads.."	"kraken2_16s_classification_june_BC03.cladeReads.."	"kraken2_16s_classification_june_BC04.cladeReads.."	"kraken2_16s_classification_june_BC05.cladeReads.."	"kraken2_16s_classification_june_BC06.cladeReads.."	"kraken2_16s_classification_june_BC08.cladeReads.."	"kraken2_16s_classification_june_BC09.cladeReads.."	"kraken2_16s_classification_june_BC10.cladeReads.."	"kraken2_16s_classification_june_BC11.cladeReads.."	"kraken2_16s_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	306	193	306	148	119	129	97	56	66	41	126	149	80.98	0.09624	4.15	0.09072	74.38	0.06633	65.54	0.03078	60.55	71.93	0.1385	80.98	"unclassified"
"root"	"-"	1	200360	200355	7068	162997	41	194356	51	181871	43	16	90875	35	99.97	99.9	95.85	99.91	25.62	99.93	34.46	99.97	39.45	28.07	99.86	19.02	"root"
"Bacteria"	"D"	3	200350	200350	7063	162989	38	194350	50	181865	43	15	90873	30	99.97	99.9	95.78	99.9	23.75	99.93	33.78	99.97	39.45	26.32	99.86	16.3	"root"
"Cyanobacteria"	"P"	1500	172840	172835	4619	150956	12	114884	18	329	6	7	7504	11	92.53	86.18	62.64	92.53	7.5	59.07	12.16	0.1808	5.505	12.28	8.246	5.978	"Bacteria"
"Oxyphotobacteria"	"C"	25227	172820	172820	4619	150942	12	114868	18	329	6	7	7490	11	92.52	86.17	62.64	92.52	7.5	59.06	12.16	0.1808	5.505	12.28	8.231	5.978	"Bacteria>Cyanobacteria"
"Chloroplast"	"O"	25228	172690	172691	4615	150830	12	114777	18	329	6	7	7361	11	92.45	86.11	62.58	92.45	7.5	59.02	12.16	0.1808	5.505	12.28	8.089	5.978	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Nostocales"	"O"	25273	73	61	1	48	NA	41	NA	NA	NA	NA	73	NA	0.08022	0.03042	0.01356	0.02942	NA	0.02108	NA	NA	NA	NA	0.08022	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Nostocaceae"	"F"	25335	58	16	NA	8	NA	8	NA	NA	NA	NA	58	NA	0.06374	0.007978	NA	0.004904	NA	0.004113	NA	NA	NA	NA	0.06374	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Nostoc PCC-7524"	"G"	25385	4	4	NA	2	NA	2	NA	NA	NA	NA	4	NA	0.004396	0.001995	NA	0.001226	NA	0.001028	NA	NA	NA	NA	0.004396	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nostoc PCC-8976"	"G"	25386	3	2	NA	1	NA	1	NA	NA	NA	NA	3	NA	0.003297	0.0009973	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.003297	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Fischerella PCC-9339"	"G"	25369	3	2	NA	2	NA	1	NA	NA	NA	NA	3	NA	0.003297	0.0009973	NA	0.001226	NA	0.0005142	NA	NA	NA	NA	0.003297	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nodularia PCC-9350"	"G"	25380	5	2	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0.005494	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	0.005494	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Tolypothrix PCC-7601"	"G"	25402	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001099	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.001099	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nostoc PCC-73102"	"G"	25384	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Calothrix PCC-6303"	"G"	25349	4	1	NA	NA	NA	1	NA	NA	NA	NA	4	NA	0.004396	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.004396	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Aphanizomenon NIES81"	"G"	25346	12	1	NA	NA	NA	1	NA	NA	NA	NA	12	NA	0.01319	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.01319	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Phormidiaceae"	"F"	25433	13	13	NA	9	NA	11	NA	NA	NA	NA	8	NA	0.008791	0.006482	NA	0.005517	NA	0.005656	NA	NA	NA	NA	0.008791	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Tychonema CCAP 1459-11B"	"G"	25443	6	6	NA	4	NA	3	NA	NA	NA	NA	2	NA	0.002992	0.002992	NA	0.002452	NA	0.001543	NA	NA	NA	NA	0.002198	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Lyngbya PCC-7419"	"G"	25438	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Phormidium IAM M-71"	"G"	25439	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	0.001028	0.0009973	NA	0.000613	NA	0.001028	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Planktothrix NIVA-CYA 15"	"G"	25440	2	1	NA	1	NA	2	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	0.000613	NA	0.001028	NA	NA	NA	NA	0.002198	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"uncultured"	"G"	25444	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004986	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Coleofasciculaceae"	"F"	25287	9	9	NA	7	NA	7	NA	NA	NA	NA	NA	NA	0.004488	0.004488	NA	0.004291	NA	0.003599	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Coleofasciculus PCC-7420"	"G"	25289	7	7	NA	7	NA	7	NA	NA	NA	NA	NA	NA	0.004291	0.00349	NA	0.004291	NA	0.003599	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Coleofasciculaceae"
