"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_loman_loman_bracken.kreport.cladeReads"	"Max.1"	"kraken2_classification_loman_loman_bracken.kreport.cladeReads.."	"lineage"
"unclassified"	"U"	0	316020	316025	10.11	10.11	"unclassified"
"root"	"-"	1	2810300	2810286	89.92	89.92	"root"
"cellular organisms"	"-"	131567	2810300	2810286	89.92	89.92	"root"
"Bacteria"	"D"	2	2809000	2809023	89.88	89.88	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	2204100	2204092	70.52	70.52	"cellular&nbsp;organisms>Bacteria"
"Firmicutes"	"P"	1239	2196700	2196653	70.28	70.28	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Bacilli"	"C"	91061	2193700	2193717	70.19	70.19	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes"
"Bacillales"	"O"	1385	1434900	1434884	45.91	45.91	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli"
"Bacillaceae"	"F"	186817	613700	613695	19.64	19.64	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Bacillus"	"G"	1386	613260	613261	19.62	19.62	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Bacillus subtilis group"	"-"	653685	604050	604046	19.33	19.33	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus subtilis"	"S"	1423	602100	602099	19.26	19.26	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus amyloliquefaciens group"	"-"	1938374	1494	1494	0.0478	0.0478	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus velezensis"	"S"	492670	1383	1383	0.04425	0.04425	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;amyloliquefaciens&nbsp;group"
"Bacillus amyloliquefaciens"	"S"	1390	110	110	0.00352	0.00352	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;amyloliquefaciens&nbsp;group"
"Bacillus vallismortis"	"S"	72361	294	294	0.009407	0.009407	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus atrophaeus"	"S"	1452	56	56	0.001792	0.001792	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus paralicheniformis"	"S"	1648923	43	43	0.001376	0.001376	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus sonorensis"	"S"	119858	32	32	0.001024	0.001024	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus licheniformis"	"S"	1402	27	27	0.0008639	0.0008639	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus cereus group"	"-"	86661	8328	8328	0.2665	0.2665	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus cereus"	"S"	1396	7266	7266	0.2325	0.2325	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus thuringiensis"	"S"	1428	429	429	0.01373	0.01373	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus mycoides"	"S"	1405	323	323	0.01033	0.01033	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus anthracis"	"S"	1392	253	253	0.008095	0.008095	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus cytotoxicus"	"S"	580165	18	18	0.0005759	0.0005759	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus sp. HBCD-sjtu"	"S"	2053832	11	11	0.000352	0.000352	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus pseudomycoides"	"S"	64104	11	11	0.000352	0.000352	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus wiedmannii"	"S"	1890302	6	6	0.000192	0.000192	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus toyonensis"	"S"	155322	4	4	0.000128	0.000128	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus bombysepticus"	"S"	658666	2	2	6.399e-05	6.399e-05	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus mobilis"	"S"	2026190	1	1	3.2e-05	3.2e-05	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus sp. ABP14"	"S"	1892404	1	1	3.2e-05	3.2e-05	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus sp. FDAARGOS_235"	"S"	1839798	1	1	3.2e-05	3.2e-05	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus pumilus"	"S"	1408	71	71	0.002272	0.002272	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus simplex"	"S"	1478	46	46	0.001472	0.001472	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus glycinifermentans"	"S"	1664069	45	45	0.00144	0.00144	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus lentus"	"S"	1467	33	33	0.001056	0.001056	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus sp. Lzh-5"	"S"	2049935	54	54	0.001728	0.001728	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus cohnii"	"S"	33932	31	31	0.0009919	0.0009919	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus sp. FJAT-14266"	"S"	1837130	35	35	0.00112	0.00112	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus cellulosilyticus"	"S"	1413	29	29	0.0009279	0.0009279	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus megaterium"	"S"	1404	28	28	0.0008959	0.0008959	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus flexus"	"S"	86664	27	27	0.0008639	0.0008639	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
