"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_loman_loman.kreport.cladeReads"	"Max.1"	"centrifuge_classification_loman_loman.kreport.cladeReads.."	"lineage"
"unclassified"	"U"	0	264960	264963	8.475	8.475	"unclassified"
"root"	"-"	1	2861300	2861349	91.52	91.52	"root"
"cellular organisms"	"-"	131567	2861300	2861349	91.52	91.52	"root"
"Bacteria"	"D"	2	2857900	2857870	91.41	91.41	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	2229900	2229883	71.33	71.33	"cellular&nbsp;organisms>Bacteria"
"Firmicutes"	"P"	1239	2215700	2215738	70.87	70.87	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Bacilli"	"C"	91061	2205700	2205691	70.55	70.55	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes"
"Bacillales"	"O"	1385	1441200	1441194	46.1	46.1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli"
"Bacillaceae"	"F"	186817	617360	617356	19.75	19.75	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Bacillus"	"G"	1386	616190	616189	19.71	19.71	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Bacillus subtilis group"	"S"	653685	607470	607470	19.43	19.43	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus subtilis"	"S"	1423	606430	606431	19.4	19.4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
