"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_loman_loman.kreport.cladeReads"	"Max.1"	"centrifuge_16s_classification_loman_loman.kreport.cladeReads.."	"lineage"
"unclassified"	"U"	0	3107100	3107061	99.38	99.38	"unclassified"
"root"	"-"	1	19251	19251	0.6158	0.6158	"root"
"Bacteria"	"D"	3	9659	9659	0.309	0.309	"root"
"Firmicutes"	"P"	1672	3189	3189	0.102	0.102	"Bacteria"
"Bacilli"	"C"	1673	2490	2490	0.07965	0.07965	"Bacteria>Firmicutes"
"Bacillales"	"O"	1674	1372	1372	0.04389	0.04389	"Bacteria>Firmicutes>Bacilli"
"Bacillaceae"	"F"	1680	1041	1041	0.0333	0.0333	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Bacillus"	"G"	1688	998	998	0.03192	0.03192	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Anoxybacillus"	"G"	1686	11	11	0.0003519	0.0003519	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Oceanobacillus"	"G"	1707	7	7	0.0002239	0.0002239	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Geobacillus"	"G"	1696	6	6	0.0001919	0.0001919	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Amphibacillus"	"G"	1684	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Fictibacillus"	"G"	1694	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"uncultured"	"G"	1729	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Aeribacillus"	"G"	1681	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Gracilibacillus"	"G"	1698	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Halobacillus"	"G"	1700	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Lentibacillus"	"G"	1702	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Sinobaca"	"G"	1721	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Virgibacillus"	"G"	1727	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Staphylococcaceae"	"F"	1775	207	207	0.006621	0.006621	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Staphylococcus"	"G"	1780	187	187	0.005981	0.005981	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Nosocomiicoccus"	"G"	1778	12	12	0.0003838	0.0003838	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Macrococcus"	"G"	1777	4	4	0.0001279	0.0001279	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Jeotgalicoccus"	"G"	1776	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Salinicoccus"	"G"	1779	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"S31"	"G"	25626	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Staphylococcaceae"
"Paenibacillaceae"	"F"	1740	30	30	0.0009596	0.0009596	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Paenibacillus"	"G"	1747	24	24	0.0007677	0.0007677	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Brevibacillus"	"G"	1743	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Ammoniphilus"	"G"	1741	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Aneurinibacillus"	"G"	1742	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Cohnella"	"G"	1744	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Desulfuribacillus"	"G"	11271	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Planococcaceae"	"F"	1753	19	19	0.0006077	0.0006077	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Lysinibacillus"	"G"	1762	10	10	0.0003199	0.0003199	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Planococcus"	"G"	1764	5	5	0.0001599	0.0001599	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Paenisporosarcina"	"G"	1763	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Planomicrobium"	"G"	1765	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"uncultured"	"G"	1770	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Planococcaceae"
"Family XI"	"F"	1732	5	5	0.0001599	0.0001599	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Gemella"	"G"	1733	5	5	0.0001599	0.0001599	"Bacteria>Firmicutes>Bacilli>Bacillales>Family&nbsp;XI"
"Family XII"	"F"	1734	5	5	0.0001599	0.0001599	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Exiguobacterium"	"G"	1735	5	5	0.0001599	0.0001599	"Bacteria>Firmicutes>Bacilli>Bacillales>Family&nbsp;XII"
"Listeriaceae"	"F"	1737	4	4	0.0001279	0.0001279	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Listeria"	"G"	1739	4	4	0.0001279	0.0001279	"Bacteria>Firmicutes>Bacilli>Bacillales>Listeriaceae"
"Alicyclobacillaceae"	"F"	1675	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Tumebacillus"	"G"	1678	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae"
"Acidibacillus"	"G"	14349	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae"
"Family X"	"F"	1730	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Thermicanus"	"G"	1731	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Family&nbsp;X"
"Pasteuriaceae"	"F"	1751	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Pasteuria"	"G"	1752	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Pasteuriaceae"
"Sporolactobacillaceae"	"F"	1771	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Salisediminibacterium"	"G"	25621	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Sporolactobacillaceae"
"Thermoactinomycetaceae"	"F"	1782	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Mechercharimyces"	"G"	1788	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae"
"Lactobacillales"	"O"	1800	1095	1095	0.03503	0.03503	"Bacteria>Firmicutes>Bacilli"
"Streptococcaceae"	"F"	1850	1001	1001	0.03202	0.03202	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Streptococcus"	"G"	1853	998	998	0.03192	0.03192	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Lactococcus"	"G"	1851	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Lactobacillaceae"	"F"	1836	51	51	0.001631	0.001631	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Lactobacillus"	"G"	1837	51	51	0.001631	0.001631	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae"
"Enterococcaceae"	"F"	1828	26	26	0.0008317	0.0008317	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Enterococcus"	"G"	1831	26	26	0.0008317	0.0008317	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae"
"Carnobacteriaceae"	"F"	1811	6	6	0.0001919	0.0001919	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Desemzia"	"G"	1819	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Dolosigranulum"	"G"	1820	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Alloiococcus"	"G"	1814	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Trichococcus"	"G"	1826	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Carnobacteriaceae"
"Leuconostocaceae"	"F"	1839	4	4	0.0001279	0.0001279	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Leuconostoc"	"G"	1841	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Leuconostocaceae"
"Fructobacillus"	"G"	1840	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Leuconostocaceae"
"Weissella"	"G"	1843	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Leuconostocaceae"
"Aerococcaceae"	"F"	1802	3	3	9.596e-05	9.596e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Aerococcus"	"G"	1804	2	2	6.397e-05	6.397e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales>Aerococcaceae"
"uncultured"	"F"	1855	1	1	3.199e-05	3.199e-05	"Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Clostridia"	"C"	1859	549	549	0.01756	0.01756	"Bacteria>Firmicutes"
"Clostridiales"	"O"	1863	522	522	0.0167	0.0167	"Bacteria>Firmicutes>Clostridia"
"Ruminococcaceae"	"F"	2050	163	163	0.005214	0.005214	"Bacteria>Firmicutes>Clostridia>Clostridiales"
"uncultured"	"G"	2071	30	30	0.0009596	0.0009596	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-014"	"G"	11371	19	19	0.0006077	0.0006077	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-013"	"G"	11370	17	17	0.0005438	0.0005438	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Fastidiosipila"	"G"	2058	10	10	0.0003199	0.0003199	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminiclostridium 5"	"G"	11355	10	10	0.0003199	0.0003199	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-005"	"G"	11363	10	10	0.0003199	0.0003199	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Oscillibacter"	"G"	2063	8	8	0.0002559	0.0002559	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcus 2"	"G"	11374	8	8	0.0002559	0.0002559	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Faecalibacterium"	"G"	2057	7	7	0.0002239	0.0002239	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae UCG-010"	"G"	11367	7	7	0.0002239	0.0002239	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"[Eubacterium] coprostanoligenes group"	"G"	11375	6	6	0.0001919	0.0001919	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
"Ruminococcaceae NK4A214 group"	"G"	11358	4	4	0.0001279	0.0001279	"Bacteria>Firmicutes>Clostridia>Clostridiales>Ruminococcaceae"
