	1-April_family.tsv	1-August_family.tsv	1-June_family.tsv	2-April_family.tsv	2-August_family.tsv	3-April_family.tsv	4-April_family.tsv	4-August_family.tsv	5-April_family.tsv	5-August_family.tsv	6-August_family.tsv	6-June_family.tsv	7-April_family.tsv	8-April_family.tsv	9.1-August_family.tsv	9.2-August_family.tsv	N-August_family.tsv	P-April_family.tsv	P-August_family.tsv	P-June_family.tsv
01D2Z36	4.0	0.0	0.0	7.0	0.0	2.0	5.0	11.0	4.0	14.0	6.0	0.0	17.0	3.0	5.0	6.0	0.0	0.0	0.0	0.0
0319-6G20	8.0	8.0	8.0	9.0	2.0	11.0	17.0	12.0	13.0	16.0	7.0	5.0	185.0	35.0	18.0	11.0	4.0	0.0	0.0	0.0
053A03-B-DI-P58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
37-13	3.0	5.0	0.0	0.0	2.0	0.0	2.0	5.0	13.0	5.0	3.0	0.0	3.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0
4572-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67-14	0.0	3.0	1.0	24.0	18.0	0.0	6.0	9.0	0.0	1.0	3.0	0.0	0.0	21.0	32.0	36.0	0.0	0.0	0.0	0.0
A0839	3.0	1.0	0.0	5.0	7.0	0.0	2.0	6.0	2.0	2.0	0.0	0.0	12.0	14.0	8.0	6.0	0.0	0.0	0.0	0.0
A21b	2.0	5.0	8.0	10.0	5.0	5.0	4.0	4.0	1.0	2.0	2.0	3.0	3.0	4.0	0.0	0.0	16.0	0.0	0.0	0.0
A4b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AB-539-J10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB1	0.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	7.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
AEGEAN-169 marine group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
AKAU3564 sediment group	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKIW781	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKYH767	13.0	7.0	2.0	4.0	5.0	10.0	14.0	4.0	28.0	8.0	17.0	9.0	13.0	48.0	4.0	17.0	0.0	0.0	0.0	0.0
Acetobacteraceae	2.0	5.0	16.0	17.0	10.0	1.0	5.0	33.0	9.0	16.0	26.0	20.0	86.0	18.0	22.0	20.0	0.0	0.0	0.0	0.0
Acetobacterales Incertae Sedis	0.0	1.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcaceae	1.0	1.0	0.0	7.0	0.0	3.0	0.0	0.0	6.0	2.0	1.0	1.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0
Acidiferrobacteraceae	1.0	0.0	2.0	4.0	0.0	0.0	1.0	2.0	9.0	0.0	0.0	0.0	29.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidithiobacillaceae	1.0	1.0	0.0	3.0	2.0	1.0	1.0	0.0	2.0	0.0	0.0	7.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Acidobacteriaceae (Subgroup 1)	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidothermaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomarinaceae	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Actinomycetaceae	1.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0
Actinomycetales Incertae Sedis	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Aerococcaceae	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	9.0
Aeromonadaceae	67.0	83.0	200.0	81.0	48.0	24.0	47.0	68.0	18.0	12.0	22.0	30.0	98.0	153.0	33.0	20.0	71.0	4.0	1.0	2.0
Akkermansiaceae	2.0	0.0	0.0	6.0	0.0	3.0	2.0	9.0	6.0	17.0	3.0	0.0	13.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Alcanivoracaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	13.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Alicyclobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alteromonadaceae	24.0	23.0	46.0	8.0	12.0	11.0	12.0	40.0	6.0	7.0	5.0	13.0	21.0	13.0	2.0	13.0	11.0	1.0	0.0	0.0
