"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_august_BC01.cladeReads"	"centrifuge_classification_august_BC02.cladeReads"	"centrifuge_classification_august_BC03.cladeReads"	"centrifuge_classification_august_BC04.cladeReads"	"centrifuge_classification_august_BC05.cladeReads"	"centrifuge_classification_august_BC06.cladeReads"	"centrifuge_classification_august_BC07.cladeReads"	"centrifuge_classification_august_BC08.cladeReads"	"centrifuge_classification_august_BC09.cladeReads"	"centrifuge_classification_august_BC10.cladeReads"	"centrifuge_classification_august_BC11.cladeReads"	"centrifuge_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_classification_august_BC01.cladeReads.."	"centrifuge_classification_august_BC02.cladeReads.."	"centrifuge_classification_august_BC03.cladeReads.."	"centrifuge_classification_august_BC04.cladeReads.."	"centrifuge_classification_august_BC05.cladeReads.."	"centrifuge_classification_august_BC06.cladeReads.."	"centrifuge_classification_august_BC07.cladeReads.."	"centrifuge_classification_august_BC08.cladeReads.."	"centrifuge_classification_august_BC09.cladeReads.."	"centrifuge_classification_august_BC10.cladeReads.."	"centrifuge_classification_august_BC11.cladeReads.."	"centrifuge_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	7089	2701	816	214	482	5885	7089	4579	3992	210	780	4951	871	35.13	0.7693	1.529	24.46	35.13	0.6019	0.7306	0.5668	0.2261	25.18	0.5045	0.5192	1.752	"unclassified"
"root"	"-"	1	1761800	348403	52537	661	890	971790	963185	803248	1761800	624	153841	948678	48854	99.77	99.23	98.47	75.54	64.87	99.4	99.27	99.43	99.77	74.82	99.5	99.48	98.25	"root"
"cellular organisms"	"-"	131567	1761800	348403	52537	661	890	971790	963185	803248	1761800	624	153841	948678	48854	99.77	99.23	98.47	75.54	64.87	99.4	99.27	99.43	99.77	74.82	99.5	99.48	98.25	"root"
"Bacteria"	"D"	2	1761800	348360	52526	659	883	971610	962998	803119	1761778	620	153827	948613	48841	99.77	99.22	98.45	75.31	64.36	99.38	99.25	99.42	99.77	74.34	99.49	99.47	98.22	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	1100100	138833	25629	224	434	494441	424265	461535	1100107	383	74996	426977	19524	62.3	39.54	48.04	25.6	31.63	50.57	43.73	57.13	62.3	45.92	48.5	44.77	39.26	"cellular&nbsp;organisms>Bacteria"
"Alphaproteobacteria"	"C"	28211	104440	52169	7112	32	81	77655	54627	104438	5891	40	25673	36428	4822	16.6	14.86	13.33	3.657	5.904	7.943	5.63	12.93	0.3336	4.796	16.6	3.82	9.697	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Rhodobacterales"	"O"	204455	64507	28558	4040	14	34	48290	34239	64507	1214	9	14939	18220	473	9.662	8.134	7.572	1.6	2.478	4.939	3.529	7.985	0.06875	1.079	9.662	1.911	0.9512	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhodobacteraceae"	"F"	31989	64206	28396	4023	14	34	48087	34096	64206	1175	9	14873	18136	465	9.619	8.088	7.54	1.6	2.478	4.919	3.514	7.948	0.06654	1.079	9.619	1.902	0.9351	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales"
"Rhodobacter"	"G"	1060	17920	7665	1122	2	8	12688	7158	17920	152	6	4972	6065	128	3.216	2.183	2.103	0.2286	0.5831	1.298	0.7377	2.218	0.008608	0.7194	3.216	0.636	0.2574	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobacter sphaeroides"	"S"	1063	7422	2318	347	1	4	4277	2604	7422	33	3	2057	2504	48	1.33	0.6602	0.6504	0.1143	0.2915	0.4375	0.2684	0.9188	0.001869	0.3597	1.33	0.2626	0.09653	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter sphaeroides KD131"	"-"	557760	350	213	35	NA	NA	270	127	350	2	NA	133	133	4	0.08602	0.06067	0.0656	NA	NA	0.02762	0.01309	0.04333	0.0001133	NA	0.08602	0.01395	0.008044	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter>Rhodobacter&nbsp;sphaeroides"
"Rhodobacter blasticus"	"S"	1075	3411	1714	251	1	NA	3294	1688	3411	42	2	801	961	31	0.518	0.4882	0.4705	0.1143	NA	0.3369	0.174	0.4222	0.002379	0.2398	0.518	0.1008	0.06234	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
