"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_classification_august_BC01.cladeReads.."	"kraken2_classification_august_BC02.cladeReads.."	"kraken2_classification_august_BC03.cladeReads.."	"kraken2_classification_august_BC04.cladeReads.."	"kraken2_classification_august_BC05.cladeReads.."	"kraken2_classification_august_BC06.cladeReads.."	"kraken2_classification_august_BC07.cladeReads.."	"kraken2_classification_august_BC08.cladeReads.."	"kraken2_classification_august_BC09.cladeReads.."	"kraken2_classification_august_BC10.cladeReads.."	"kraken2_classification_august_BC11.cladeReads.."	"kraken2_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	7635	3049	992	265	569	6269	7635	4928	3079	261	968	6117	997	41.47	0.8684	1.859	30.29	41.47	0.6412	0.7869	0.61	0.1744	31.29	0.626	0.6414	2.005	"unclassified"
"root"	"-"	1	1762700	348055	52361	610	803	971406	962639	802899	1762713	573	153653	947512	48728	99.83	99.13	98.14	69.71	58.53	99.36	99.21	99.39	99.83	68.71	99.37	99.36	97.99	"root"
"cellular organisms"	"-"	131567	1762700	348055	52361	610	803	971406	962639	802899	1762713	573	153653	947512	48728	99.83	99.13	98.14	69.71	58.53	99.36	99.21	99.39	99.83	68.71	99.37	99.36	97.99	"root"
"Bacteria"	"D"	2	1762700	348034	52352	608	802	971319	962513	802808	1762707	572	153647	947472	48723	99.83	99.13	98.12	69.49	58.45	99.35	99.2	99.38	99.83	68.59	99.37	99.35	97.98	"cellular&nbsp;organisms"
"FCB group"	"-"	1783270	457500	135643	16145	188	155	213187	257134	145429	1217	83	62442	457501	22659	47.97	38.63	30.26	21.49	11.3	21.81	26.5	18	0.06892	9.952	40.38	47.97	45.57	"cellular&nbsp;organisms>Bacteria"
"Bacteroidetes/Chlorobi group"	"-"	68336	457230	134876	16001	187	153	211552	256109	144317	1194	83	62363	457232	22645	47.95	38.41	29.99	21.37	11.15	21.64	26.4	17.86	0.06762	9.952	40.33	47.95	45.54	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group"
"Bacteroidetes"	"P"	976	457060	134789	15989	187	152	211258	255801	144129	1190	83	62342	457062	22635	47.93	38.39	29.97	21.37	11.08	21.61	26.36	17.84	0.06739	9.952	40.32	47.93	45.52	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group"
"Cytophagia"	"C"	768503	394060	88524	10292	80	66	117792	134655	96788	874	34	51858	394060	16547	41.32	25.21	19.29	9.143	4.81	12.05	13.88	11.98	0.0495	4.077	33.54	41.32	33.28	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes"
"Cytophagales"	"O"	768507	394060	88524	10292	80	66	117792	134655	96788	874	34	51858	394060	16547	41.32	25.21	19.29	9.143	4.81	12.05	13.88	11.98	0.0495	4.077	33.54	41.32	33.28	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia"
"Cytophagaceae"	"F"	89373	383420	78663	9062	57	57	95711	104240	85331	821	31	50467	383420	15514	40.21	22.4	16.98	6.514	4.155	9.79	10.74	10.56	0.04649	3.717	32.64	40.21	31.2	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
