"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1705	1705	240	1464	80	1316	63	205	35	26	449	93	56.02	0.9351	3.613	0.9887	52.63	0.7293	46.67	0.1128	34.31	46.43	0.5372	56.02	"unclassified"
"root"	"-"	1	198840	198843	7133	161681	80	193169	85	181721	74	31	90551	91	109.2	109.1	107.4	109.2	52.63	107	62.96	100	72.55	55.36	108.3	54.82	"root"
"cellular organisms"	"-"	131567	198840	198843	7133	161681	80	193169	85	181721	74	31	90551	91	109.2	109.1	107.4	109.2	52.63	107	62.96	100	72.55	55.36	108.3	54.82	"root"
"Bacteria"	"D"	2	198830	198826	7130	161670	80	193159	85	181720	73	31	90551	90	109.2	109	107.3	109.2	52.63	107	62.96	100	71.57	55.36	108.3	54.22	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	152480	152481	4120	132858	19	100682	24	73521	16	10	11810	36	89.73	83.63	62.03	89.73	12.5	55.8	17.78	40.46	15.69	17.86	14.13	21.69	"cellular&nbsp;organisms>Bacteria"
"Cyanobacteria/Melainabacteria group"	"-"	1798711	110060	110060	2913	96927	4	70711	3	39	3	4	4677	8	65.46	60.36	43.86	65.46	2.632	39.19	2.222	0.02146	2.941	7.143	5.596	4.819	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	110060	110060	2913	96927	4	70711	3	39	3	4	4677	8	65.46	60.36	43.86	65.46	2.632	39.19	2.222	0.02146	2.941	7.143	5.596	4.819	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Synechococcales"	"O"	1890424	35402	35402	930	31469	1	23200	NA	11	NA	1	1577	NA	21.25	19.42	14	21.25	0.6579	12.86	NA	0.006053	NA	1.786	1.887	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Synechococcaceae"	"F"	1890426	20586	20586	543	18181	NA	13317	NA	6	NA	NA	890	NA	12.28	11.29	8.175	12.28	NA	7.38	NA	0.003302	NA	NA	1.065	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechococcus"	"G"	1129	20559	20559	541	18145	NA	13276	NA	6	NA	NA	882	NA	12.25	11.28	8.145	12.25	NA	7.357	NA	0.003302	NA	NA	1.055	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Synechococcus sp. PCC 7502"	"S"	1173263	19509	19509	511	17116	NA	12490	NA	5	NA	NA	801	NA	11.56	10.7	7.693	11.56	NA	6.922	NA	0.002751	NA	NA	0.9583	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 6312"	"S"	195253	422	399	14	422	NA	282	NA	NA	NA	NA	21	NA	0.285	0.2188	0.2108	0.285	NA	0.1563	NA	NA	NA	NA	0.02512	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8102"	"S"	84588	452	452	8	397	NA	328	NA	NA	NA	NA	35	NA	0.2681	0.2479	0.1204	0.2681	NA	0.1818	NA	NA	NA	NA	0.04187	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-3-3Ab"	"S"	321327	103	90	5	103	NA	95	NA	1	NA	NA	11	NA	0.07528	0.04936	0.07528	0.06956	NA	0.05265	NA	0.0005503	NA	NA	0.01316	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 7336"	"S"	195250	42	42	1	42	NA	29	NA	NA	NA	NA	6	NA	0.02836	0.02303	0.01506	0.02836	NA	0.01607	NA	NA	NA	NA	0.007178	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
