"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1705	1705	240	1464	80	1316	63	205	35	26	449	93	50.54	0.8502	3.255	0.8974	50	0.6767	42.57	0.1127	32.11	45.61	0.4934	50.54	"unclassified"
"root"	"-"	1	198840	198843	7134	161681	80	193169	85	181722	74	31	90552	91	99.89	99.15	96.75	99.1	50	99.32	57.43	99.89	67.89	54.39	99.51	49.46	"root"
"cellular organisms"	"-"	131567	198840	198843	7134	161681	80	193169	85	181722	74	31	90552	91	99.89	99.15	96.75	99.1	50	99.32	57.43	99.89	67.89	54.39	99.51	49.46	"root"
"Bacteria"	"D"	2	198830	198826	7131	161670	80	193159	85	181721	73	31	90552	90	99.89	99.14	96.7	99.1	50	99.32	57.43	99.89	66.97	54.39	99.51	48.91	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	151730	151730	4107	132170	18	100345	24	73515	16	10	11769	36	81.01	75.66	55.7	81.01	11.25	51.6	16.22	40.41	14.68	17.54	12.93	19.57	"cellular&nbsp;organisms>Bacteria"
"Cyanobacteria/Melainabacteria group"	"-"	1798711	110060	110060	2913	96927	4	70711	3	39	3	4	4677	8	59.41	54.88	39.5	59.41	2.5	36.36	2.027	0.02144	2.752	7.018	5.14	4.348	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	110060	110060	2913	96927	4	70711	3	39	3	4	4677	8	59.41	54.88	39.5	59.41	2.5	36.36	2.027	0.02144	2.752	7.018	5.14	4.348	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Synechococcales"	"O"	1890424	35402	35402	930	31469	1	23200	NA	11	NA	1	1577	NA	19.29	17.65	12.61	19.29	0.625	11.93	NA	0.006046	NA	1.754	1.733	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Synechococcaceae"	"F"	1890426	20586	20586	543	18181	NA	13317	NA	6	NA	NA	890	NA	11.14	10.26	7.364	11.14	NA	6.847	NA	0.003298	NA	NA	0.978	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechococcus"	"G"	1129	20559	20559	541	18145	NA	13276	NA	6	NA	NA	882	NA	11.12	10.25	7.337	11.12	NA	6.826	NA	0.003298	NA	NA	0.9692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Synechococcus sp. PCC 7502"	"S"	1173263	19509	19509	511	17116	NA	12490	NA	5	NA	NA	801	NA	10.49	9.728	6.93	10.49	NA	6.422	NA	0.002748	NA	NA	0.8802	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 6312"	"S"	195253	422	399	14	422	NA	282	NA	NA	NA	NA	21	NA	0.2587	0.199	0.1899	0.2587	NA	0.145	NA	NA	NA	NA	0.02308	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8102"	"S"	84588	387	387	6	319	NA	263	NA	NA	NA	NA	19	NA	0.1955	0.193	0.08137	0.1955	NA	0.1352	NA	NA	NA	NA	0.02088	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-3-3Ab"	"S"	321327	103	90	5	103	NA	95	NA	1	NA	NA	11	NA	0.06781	0.04488	0.06781	0.06313	NA	0.04885	NA	0.0005497	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 7336"	"S"	195250	42	42	1	42	NA	29	NA	NA	NA	NA	6	NA	0.02574	0.02094	0.01356	0.02574	NA	0.01491	NA	NA	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-2-3B'a(2-13)"	"S"	321332	37	37	1	31	NA	23	NA	NA	NA	NA	3	NA	0.019	0.01845	0.01356	0.019	NA	0.01183	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. SynAce01"	"S"	1916956	19	17	NA	19	NA	16	NA	NA	NA	NA	2	NA	0.01165	0.008477	NA	0.01165	NA	0.008227	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus lividus"	"S"	33070	10	5	NA	10	NA	6	NA	NA	NA	NA	2	NA	0.00613	0.002493	NA	0.00613	NA	0.003085	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus lividus PCC 6715"	"-"	1917166	10	5	NA	10	NA	6	NA	NA	NA	NA	2	NA	0.00613	0.002493	NA	0.00613	NA	0.003085	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus>Synechococcus&nbsp;lividus"
"Synechococcus sp. KORDI-52"	"S"	585425	5	4	NA	3	NA	5	NA	NA	NA	NA	NA	NA	0.002571	0.001995	NA	0.001839	NA	0.002571	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
