"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_april_BC01.cladeReads"	"kraken2_classification_april_BC02.cladeReads"	"kraken2_classification_april_BC03.cladeReads"	"kraken2_classification_april_BC04.cladeReads"	"kraken2_classification_april_BC05.cladeReads"	"kraken2_classification_april_BC06.cladeReads"	"kraken2_classification_april_BC07.cladeReads"	"kraken2_classification_april_BC08.cladeReads"	"kraken2_classification_april_BC09.cladeReads"	"kraken2_classification_april_BC10.cladeReads"	"kraken2_classification_april_BC11.cladeReads"	"kraken2_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_classification_april_BC01.cladeReads.."	"kraken2_classification_april_BC02.cladeReads.."	"kraken2_classification_april_BC03.cladeReads.."	"kraken2_classification_april_BC04.cladeReads.."	"kraken2_classification_april_BC05.cladeReads.."	"kraken2_classification_april_BC06.cladeReads.."	"kraken2_classification_april_BC07.cladeReads.."	"kraken2_classification_april_BC08.cladeReads.."	"kraken2_classification_april_BC09.cladeReads.."	"kraken2_classification_april_BC10.cladeReads.."	"kraken2_classification_april_BC11.cladeReads.."	"kraken2_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	169	11	22	79	161	29	169	109	8	149	99	126	53	15.36	0.07821	0.1336	0.03447	0.04807	2.715	0.08199	0.04628	0.002071	0.06312	0.03164	0.06043	15.36	"unclassified"
"root"	"-"	1	386610	15257	17914	253040	372857	1185	235314	262501	386613	264115	346254	230170	334	114.2	108.5	108.8	110.4	111.3	111	114.2	111.4	100.1	111.9	110.7	110.4	96.81	"root"
"cellular organisms"	"-"	131567	386610	15257	17914	253040	372857	1185	235314	262501	386613	264115	346254	230170	334	114.2	108.5	108.8	110.4	111.3	111	114.2	111.4	100.1	111.9	110.7	110.4	96.81	"root"
"Bacteria"	"D"	2	386610	15256	17914	253037	372854	1184	235306	262495	386613	264110	346251	230168	333	114.2	108.5	108.8	110.4	111.3	110.9	114.2	111.4	100.1	111.9	110.7	110.4	96.52	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	274550	10390	14845	179815	271654	727	99624	151427	237367	108002	274553	114493	178	90.18	73.88	90.18	78.47	81.1	68.07	48.33	64.29	61.43	45.76	87.76	54.91	51.59	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	210790	7507	13001	100424	76623	382	64470	112270	470	68684	210791	82727	92	78.98	53.38	78.98	43.82	22.88	35.77	31.28	47.67	0.1216	29.1	67.38	39.67	26.67	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	202720	6807	12692	79897	57731	360	61202	108348	449	66283	202725	78101	86	77.1	48.4	77.1	34.87	17.24	33.71	29.69	46	0.1162	28.08	64.8	37.46	24.93	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	169490	5454	11959	58300	43242	294	50464	96843	378	56442	169488	62939	72	72.65	38.78	72.65	25.44	12.91	27.53	24.48	41.12	0.09783	23.91	54.18	30.18	20.87	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Limnohabitans"	"G"	665874	56644	1654	3985	17110	15204	97	18171	37128	112	22022	56644	23002	22	24.21	11.76	24.21	7.467	4.539	9.082	8.815	15.76	0.02899	9.33	18.11	11.03	6.377	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	41619	1055	2606	11080	9332	64	11423	24264	73	14053	41619	15158	14	15.83	7.501	15.83	4.835	2.786	5.993	5.542	10.3	0.01889	5.954	13.3	7.27	4.058	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
