"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_april_BC01.cladeReads"	"kraken2_16s_classification_april_BC02.cladeReads"	"kraken2_16s_classification_april_BC03.cladeReads"	"kraken2_16s_classification_april_BC04.cladeReads"	"kraken2_16s_classification_april_BC05.cladeReads"	"kraken2_16s_classification_april_BC06.cladeReads"	"kraken2_16s_classification_april_BC07.cladeReads"	"kraken2_16s_classification_april_BC08.cladeReads"	"kraken2_16s_classification_april_BC09.cladeReads"	"kraken2_16s_classification_april_BC10.cladeReads"	"kraken2_16s_classification_april_BC11.cladeReads"	"kraken2_16s_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_april_BC01.cladeReads.."	"kraken2_16s_classification_april_BC02.cladeReads.."	"kraken2_16s_classification_april_BC03.cladeReads.."	"kraken2_16s_classification_april_BC04.cladeReads.."	"kraken2_16s_classification_april_BC05.cladeReads.."	"kraken2_16s_classification_april_BC06.cladeReads.."	"kraken2_16s_classification_april_BC07.cladeReads.."	"kraken2_16s_classification_april_BC08.cladeReads.."	"kraken2_16s_classification_april_BC09.cladeReads.."	"kraken2_16s_classification_april_BC10.cladeReads.."	"kraken2_16s_classification_april_BC11.cladeReads.."	"kraken2_16s_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	84	13	36	24	11	84	10	9	7	23	5	16	83	22.49	0.09113	0.2214	0.01017	0.003156	7.381	0.004417	0.003648	0.001831	0.009063	0.001577	0.007306	22.49	"unclassified"
"root"	"-"	1	386620	15256	17901	253095	373007	1130	235474	262601	386615	264242	346348	230280	304	110.1	106.9	110.1	107.2	107	99.3	104	106.4	101.1	104.1	109.2	105.2	82.38	"root"
"Bacteria"	"D"	3	386610	15256	17901	253092	373005	1130	235473	262599	386614	264242	346342	230278	304	110.1	106.9	110.1	107.2	107	99.3	104	106.4	101.1	104.1	109.2	105.1	82.38	"root"
"Proteobacteria"	"P"	2375	266290	9232	13551	144087	258980	606	72649	133239	237411	74777	266289	91590	140	83.99	64.71	83.35	61.05	74.3	53.25	32.09	54	62.11	29.46	83.99	41.82	37.94	"Bacteria"
"Gammaproteobacteria"	"C"	3303	237290	8493	13278	109458	121989	504	64800	115865	237288	67846	223980	85549	118	81.68	59.53	81.68	46.38	35	44.29	28.62	46.96	62.08	26.73	70.64	39.06	31.98	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	209940	7453	12776	98943	75725	370	61800	110568	510	65491	209944	80711	81	78.59	52.24	78.59	41.92	21.72	32.51	27.3	44.81	0.1334	25.81	66.22	36.85	21.95	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	200410	6773	12571	80905	59265	351	58886	107248	480	63760	200412	77589	77	77.33	47.48	77.33	34.28	17	30.84	26.01	43.47	0.1256	25.12	63.21	35.43	20.87	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Rhodoferax"	"G"	26446	24898	823	1764	8215	6274	42	7702	15657	51	7889	24898	9457	10	10.85	5.769	10.85	3.481	1.8	3.691	3.402	6.346	0.01334	3.109	7.853	4.318	2.71	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnohabitans"	"G"	26410	25163	766	1851	7756	6596	44	7841	15589	60	8958	25163	9751	11	11.39	5.369	11.39	3.286	1.892	3.866	3.463	6.318	0.0157	3.53	7.936	4.453	2.981	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	17758	582	1270	6603	4629	30	5330	10264	33	5697	17758	6592	6	7.812	4.08	7.812	2.798	1.328	2.636	2.354	4.16	0.008633	2.245	5.601	3.01	1.626	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
