"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_april_BC01.cladeReads"	"centrifuge_classification_april_BC02.cladeReads"	"centrifuge_classification_april_BC03.cladeReads"	"centrifuge_classification_april_BC04.cladeReads"	"centrifuge_classification_april_BC05.cladeReads"	"centrifuge_classification_april_BC06.cladeReads"	"centrifuge_classification_april_BC07.cladeReads"	"centrifuge_classification_april_BC08.cladeReads"	"centrifuge_classification_april_BC09.cladeReads"	"centrifuge_classification_april_BC10.cladeReads"	"centrifuge_classification_april_BC11.cladeReads"	"centrifuge_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_classification_april_BC01.cladeReads.."	"centrifuge_classification_april_BC02.cladeReads.."	"centrifuge_classification_april_BC03.cladeReads.."	"centrifuge_classification_april_BC04.cladeReads.."	"centrifuge_classification_april_BC05.cladeReads.."	"centrifuge_classification_april_BC06.cladeReads.."	"centrifuge_classification_april_BC07.cladeReads.."	"centrifuge_classification_april_BC08.cladeReads.."	"centrifuge_classification_april_BC09.cladeReads.."	"centrifuge_classification_april_BC10.cladeReads.."	"centrifuge_classification_april_BC11.cladeReads.."	"centrifuge_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	207	10	19	85	207	16	179	129	53	149	113	136	52	13.44	0.06549	0.1059	0.03358	0.05549	1.318	0.07601	0.04912	0.01371	0.05638	0.03263	0.05905	13.44	"unclassified"
"root"	"-"	1	386570	15259	17918	253034	372811	1198	235305	262481	386569	264116	346240	230160	335	99.99	99.93	99.89	99.97	99.94	98.68	99.92	99.95	99.99	99.94	99.97	99.94	86.56	"root"
"cellular organisms"	"-"	131567	386570	15259	17918	253034	372811	1198	235305	262481	386569	264116	346240	230160	335	99.99	99.93	99.89	99.97	99.94	98.68	99.92	99.95	99.99	99.94	99.97	99.94	86.56	"root"
"Bacteria"	"D"	2	386570	15258	17918	253019	372768	1197	235275	262451	386569	264098	346217	230144	335	99.99	99.93	99.89	99.96	99.93	98.6	99.91	99.94	99.99	99.94	99.96	99.93	86.56	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	273230	10265	14666	177052	267361	731	102080	152093	237207	110192	273233	115386	178	81.76	67.23	81.76	69.95	71.68	60.21	43.35	57.92	61.35	41.7	78.89	50.1	45.99	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	207370	7400	12753	97742	75790	380	62725	110405	1395	66667	207374	81192	85	71.1	48.46	71.1	38.62	20.32	31.3	26.64	42.04	0.3608	25.23	59.87	35.26	21.96	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	193520	6294	12091	68727	52737	342	56902	103618	1132	62097	193517	73459	74	67.41	41.22	67.41	27.15	14.14	28.17	24.16	39.46	0.2928	23.5	55.87	31.9	19.12	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	162480	5151	11229	52280	40283	277	47173	92800	672	52889	162477	59426	65	62.6	33.74	62.6	20.65	10.8	22.82	20.03	35.34	0.1738	20.01	46.91	25.8	16.8	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Limnohabitans"	"G"	665874	62221	1698	4016	17128	15380	93	18714	38626	210	22715	62221	23983	17	22.39	11.12	22.39	6.767	4.123	7.661	7.947	14.71	0.05432	8.596	17.96	10.41	4.393	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	53341	1382	3355	13779	12035	80	14673	31069	173	18107	53341	19451	12	18.7	9.051	18.7	5.444	3.226	6.59	6.231	11.83	0.04475	6.852	15.4	8.446	3.101	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. 103DPR2"	"S"	1678129	8879	315	661	3349	3345	13	4041	7557	37	4608	8879	4531	5	3.685	2.063	3.685	1.323	0.8967	1.071	1.716	2.878	0.00957	1.744	2.564	1.967	1.292	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Rhodoferax"	"G"	28065	31735	1264	2718	11749	8617	60	10915	22445	147	10101	31735	12966	13	15.15	8.278	15.15	4.642	2.31	4.942	4.635	8.547	0.03802	3.822	9.163	5.63	3.359	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rhodoferax saidenbachensis"	"S"	1484693	10987	509	977	4405	3263	19	4124	8219	52	3650	10987	4400	4	5.447	3.334	5.447	1.74	0.8748	1.565	1.751	3.13	0.01345	1.381	3.172	1.911	1.034	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens"	"S"	192843	12360	464	1020	4250	3228	24	4185	8677	65	3886	12360	5101	5	5.687	3.039	5.687	1.679	0.8654	1.977	1.777	3.304	0.01681	1.47	3.569	2.215	1.292	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens T118"	"-"	338969	12360	464	1020	4250	3228	24	4185	8677	65	3886	12360	5101	5	5.687	3.039	5.687	1.679	0.8654	1.977	1.777	3.304	0.01681	1.47	3.569	2.215	1.292	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax>Rhodoferax&nbsp;ferrireducens"
"Rhodoferax antarcticus"	"S"	81479	4959	168	378	1771	1172	9	1520	3206	15	1469	4959	2102	3	2.107	1.1	2.107	0.6997	0.3142	0.7414	0.6455	1.221	0.00388	0.5559	1.432	0.9127	0.7752	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	2671	94	252	1023	722	6	842	1881	11	817	2671	1057	1	1.405	0.6156	1.405	0.4042	0.1936	0.4942	0.3576	0.7163	0.002845	0.3092	0.7712	0.459	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Acidovorax"	"G"	12916	21007	547	960	6114	3187	35	3658	7024	65	4266	21007	5257	10	6.065	3.582	5.352	2.415	0.8544	2.883	1.553	2.675	0.01681	1.614	6.065	2.283	2.584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Acidovorax carolinensis"	"S"	553814	8029	182	260	2158	962	11	1121	2106	23	1290	8029	1704	2	2.318	1.192	1.45	0.8526	0.2579	0.9061	0.476	0.8019	0.005949	0.4881	2.318	0.7399	0.5168	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. T1"	"S"	1858609	4468	100	93	997	421	3	507	919	9	550	4468	788	3	1.29	0.6549	0.5185	0.3939	0.1129	0.2471	0.2153	0.3499	0.002328	0.2081	1.29	0.3422	0.7752	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. KKS102"	"S"	358220	1441	75	115	563	432	4	435	770	6	496	1441	596	2	0.6411	0.4912	0.6411	0.2224	0.1158	0.3295	0.1847	0.2932	0.001552	0.1877	0.416	0.2588	0.5168	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. RAC01"	"S"	1842533	2655	74	206	869	569	4	632	1421	9	811	2655	880	1	1.148	0.4846	1.148	0.3433	0.1525	0.3295	0.2684	0.5411	0.002328	0.3069	0.7666	0.3821	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. 1608163"	"S"	2478662	576	21	35	156	96	NA	122	206	3	131	576	152	NA	0.1951	0.1375	0.1951	0.06163	0.02574	NA	0.05181	0.07844	0.000776	0.04957	0.1663	0.066	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae"	"S"	80867	18	2	NA	10	4	NA	2	4	NA	2	18	11	NA	0.0131	0.0131	NA	0.003951	0.001072	NA	0.0008493	0.001523	NA	0.0007568	0.005197	0.004776	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae subsp. avenae"	"-"	80870	18	2	NA	10	4	NA	2	4	NA	2	18	11	NA	0.0131	0.0131	NA	0.003951	0.001072	NA	0.0008493	0.001523	NA	0.0007568	0.005197	0.004776	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae"
"Acidovorax avenae subsp. avenae ATCC 19860"	"-"	643561	18	2	NA	10	4	NA	2	4	NA	2	18	11	NA	0.0131	0.0131	NA	0.003951	0.001072	NA	0.0008493	0.001523	NA	0.0007568	0.005197	0.004776	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae>Acidovorax&nbsp;avenae&nbsp;subsp.&nbsp;avenae"
"Acidovorax citrulli"	"S"	80869	32	2	1	11	6	NA	7	12	NA	10	32	6	NA	0.0131	0.0131	0.005575	0.004346	0.001609	NA	0.002973	0.00457	NA	0.003784	0.009239	0.002605	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Variovorax"	"G"	34072	11517	394	1020	4348	2999	18	3603	7067	65	3950	11517	4446	4	5.687	2.58	5.687	1.718	0.804	1.483	1.53	2.691	0.01681	1.495	3.325	1.931	1.034	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Variovorax boronicumulans"	"S"	436515	3748	123	271	1179	951	9	1157	2203	15	1167	3748	1392	1	1.511	0.8056	1.511	0.4658	0.2549	0.7414	0.4913	0.8389	0.00388	0.4416	1.082	0.6044	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus"	"S"	34073	1536	69	133	606	415	2	548	983	8	547	1536	605	1	0.7415	0.4519	0.7415	0.2394	0.1113	0.1647	0.2327	0.3743	0.002069	0.207	0.4435	0.2627	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus EPS"	"-"	595537	650	19	69	222	146	1	185	379	7	222	650	230	NA	0.3847	0.1244	0.3847	0.08771	0.03914	0.08237	0.07856	0.1443	0.001811	0.08401	0.1877	0.09987	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>Variovorax&nbsp;paradoxus"
"Variovorax paradoxus S110"	"-"	543728	61	1	NA	32	18	NA	28	50	NA	17	61	25	NA	0.01904	0.006549	NA	0.01264	0.004826	NA	0.01189	0.01904	NA	0.006433	0.01761	0.01086	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>Variovorax&nbsp;paradoxus"
"Variovorax sp. PAMC 28711"	"S"	1795631	2212	64	224	964	525	1	681	1339	12	788	2212	799	NA	1.249	0.4191	1.249	0.3808	0.1407	0.08237	0.2892	0.5099	0.003104	0.2982	0.6387	0.3469	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PMC12"	"S"	2126319	173	7	19	81	46	NA	62	79	NA	62	173	47	NA	0.1059	0.04584	0.1059	0.032	0.01233	NA	0.02633	0.03008	NA	0.02346	0.04995	0.02041	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Polaromonas"	"G"	52972	9073	255	537	2509	3547	21	2864	6075	34	3861	9073	3551	7	2.994	1.67	2.994	0.9912	0.9509	1.73	1.216	2.313	0.008794	1.461	2.62	1.542	1.809	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Polaromonas sp. JS666"	"S"	296591	4027	116	225	1106	1760	12	1444	2946	16	1904	4027	1650	4	1.254	0.7597	1.254	0.4369	0.4718	0.9885	0.6132	1.122	0.004138	0.7205	1.163	0.7165	1.034	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. SP1"	"S"	2268087	2476	81	146	807	1078	9	822	1812	11	1189	2476	1055	2	0.814	0.5305	0.814	0.3188	0.289	0.7414	0.3491	0.69	0.002845	0.4499	0.7149	0.4581	0.5168	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas naphthalenivorans"	"S"	216465	2424	50	145	530	675	NA	558	1233	5	702	2424	781	1	0.8084	0.3275	0.8084	0.2094	0.181	NA	0.237	0.4695	0.001293	0.2656	0.6999	0.3391	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas naphthalenivorans CJ2"	"-"	365044	2424	50	145	530	675	NA	558	1233	5	702	2424	781	1	0.8084	0.3275	0.8084	0.2094	0.181	NA	0.237	0.4695	0.001293	0.2656	0.6999	0.3391	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas>Polaromonas&nbsp;naphthalenivorans"
"Hydrogenophaga"	"G"	47420	6781	228	397	1664	1605	8	1817	2874	35	1898	6781	2287	2	2.213	1.493	2.213	0.6574	0.4303	0.659	0.7716	1.094	0.009053	0.7182	1.958	0.9931	0.5168	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Hydrogenophaga crassostreae"	"S"	1763535	3031	121	201	665	722	3	870	1422	16	848	3031	1047	1	1.121	0.7925	1.121	0.2627	0.1936	0.2471	0.3695	0.5415	0.004138	0.3209	0.8751	0.4546	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. RAC07"	"S"	1842537	2792	77	159	755	663	3	765	1159	17	800	2792	964	1	0.8864	0.5043	0.8864	0.2983	0.1777	0.2471	0.3249	0.4413	0.004397	0.3027	0.8061	0.4186	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. PBC"	"S"	795665	906	30	35	226	208	1	174	273	2	235	906	264	NA	0.2616	0.1965	0.1951	0.08929	0.05576	0.08237	0.07389	0.104	0.0005173	0.08893	0.2616	0.1146	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Serpentinomonas"	"G"	2490452	3645	142	165	487	714	3	1008	1206	7	1010	3645	1045	1	1.052	0.93	0.9199	0.1924	0.1914	0.2471	0.4281	0.4592	0.001811	0.3822	1.052	0.4538	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Serpentinomonas mccroryi"	"S"	1458426	3052	116	132	379	579	3	840	985	6	843	3052	860	1	0.8812	0.7597	0.7359	0.1497	0.1552	0.2471	0.3567	0.3751	0.001552	0.319	0.8812	0.3734	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Serpentinomonas raichei"	"S"	1458425	291	9	10	41	64	NA	87	113	NA	72	291	90	NA	0.08402	0.05894	0.05575	0.0162	0.01716	NA	0.03695	0.04303	NA	0.02725	0.08402	0.03908	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Simplicispira"	"G"	352450	3348	107	150	2473	607	4	657	963	11	588	3348	768	3	0.977	0.7008	0.8363	0.977	0.1627	0.3295	0.279	0.3667	0.002845	0.2225	0.9666	0.3335	0.7752	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Simplicispira suum"	"S"	2109915	3348	107	150	2473	607	4	657	963	11	588	3348	768	3	0.977	0.7008	0.8363	0.977	0.1627	0.3295	0.279	0.3667	0.002845	0.2225	0.9666	0.3335	0.7752	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Comamonas"	"G"	283	2644	88	172	839	577	4	691	1117	15	788	2644	847	3	0.9589	0.5763	0.9589	0.3315	0.1547	0.3295	0.2934	0.4253	0.00388	0.2982	0.7634	0.3678	0.7752	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonas kerstersii"	"S"	225992	447	20	22	189	99	1	118	186	2	110	447	156	NA	0.131	0.131	0.1227	0.07467	0.02654	0.08237	0.05011	0.07083	0.0005173	0.04162	0.1291	0.06774	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas serinivorans"	"S"	1082851	351	16	41	120	94	1	129	227	4	158	351	135	NA	0.2286	0.1048	0.2286	0.04741	0.0252	0.08237	0.05478	0.08644	0.001035	0.05979	0.1013	0.05862	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas testosteroni"	"S"	285	58	1	6	8	12	NA	11	34	2	13	58	22	NA	0.03345	0.006549	0.03345	0.003161	0.003217	NA	0.004671	0.01295	0.0005173	0.004919	0.01675	0.009553	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas"
"Comamonas testosteroni TK102"	"-"	1392005	58	1	6	8	12	NA	11	34	2	13	58	22	NA	0.03345	0.006549	0.03345	0.003161	0.003217	NA	0.004671	0.01295	0.0005173	0.004919	0.01675	0.009553	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Comamonas>Comamonas&nbsp;testosteroni"
"Ramlibacter"	"G"	174951	1041	42	95	436	318	1	356	566	8	395	1041	478	1	0.5296	0.2751	0.5296	0.1723	0.08525	0.08237	0.1512	0.2155	0.002069	0.1495	0.3006	0.2076	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ramlibacter tataouinensis"	"S"	94132	1041	42	95	436	318	1	356	566	8	395	1041	478	1	0.5296	0.2751	0.5296	0.1723	0.08525	0.08237	0.1512	0.2155	0.002069	0.1495	0.3006	0.2076	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter"
"Ramlibacter tataouinensis TTB310"	"-"	365046	512	25	38	196	177	NA	186	288	2	202	512	252	NA	0.2119	0.1637	0.2119	0.07743	0.04745	NA	0.07899	0.1097	0.0005173	0.07644	0.1478	0.1094	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter>Ramlibacter&nbsp;tataouinensis"
"Ottowia"	"G"	219181	1105	41	81	438	323	3	351	531	5	338	1105	409	1	0.4516	0.2685	0.4516	0.173	0.08659	0.2471	0.1491	0.2022	0.001293	0.1279	0.319	0.1776	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ottowia oryzae"	"S"	2109914	738	25	44	269	215	NA	217	336	3	230	738	294	1	0.2584	0.1637	0.2453	0.1063	0.05764	NA	0.09215	0.1279	0.000776	0.08703	0.2131	0.1277	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Ottowia sp. oral taxon 894"	"S"	1658672	366	16	37	169	108	3	133	195	2	108	366	115	NA	0.2471	0.1048	0.2063	0.06677	0.02895	0.2471	0.05648	0.07425	0.0005173	0.04087	0.1057	0.04994	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ottowia"
"Delftia"	"G"	80865	810	29	65	316	206	3	278	490	5	305	810	350	NA	0.3624	0.1899	0.3624	0.1248	0.05523	0.2471	0.1181	0.1866	0.001293	0.1154	0.2339	0.152	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Delftia acidovorans"	"S"	80866	154	6	22	64	26	NA	66	95	2	53	154	64	NA	0.1227	0.0393	0.1227	0.02528	0.00697	NA	0.02803	0.03618	0.0005173	0.02006	0.04446	0.02779	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia acidovorans SPH-1"	"-"	398578	154	6	22	64	26	NA	66	95	2	53	154	64	NA	0.1227	0.0393	0.1227	0.02528	0.00697	NA	0.02803	0.03618	0.0005173	0.02006	0.04446	0.02779	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia>Delftia&nbsp;acidovorans"
"Delftia sp. Cs1-4"	"S"	742013	122	6	8	40	34	NA	47	81	1	42	122	47	NA	0.0446	0.0393	0.0446	0.0158	0.009115	NA	0.01996	0.03084	0.0002587	0.01589	0.03522	0.02041	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia tsuruhatensis"	"S"	180282	78	5	7	25	24	NA	22	64	1	35	78	39	NA	0.03903	0.03275	0.03903	0.009877	0.006434	NA	0.009342	0.02437	0.0002587	0.01324	0.02252	0.01693	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia sp. HK171"	"S"	1920191	21	2	NA	12	5	1	7	12	NA	10	21	3	NA	0.08237	0.0131	NA	0.004741	0.00134	0.08237	0.002973	0.00457	NA	0.003784	0.006063	0.001303	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Melaminivora"	"G"	1649468	316	17	33	172	89	1	101	156	NA	98	316	108	NA	0.184	0.1113	0.184	0.06795	0.02386	0.08237	0.04289	0.0594	NA	0.03708	0.09124	0.0469	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Melaminivora sp. SC2-7"	"S"	2116657	230	11	30	118	59	1	74	130	NA	73	230	85	NA	0.1673	0.07204	0.1673	0.04662	0.01582	0.08237	0.03142	0.0495	NA	0.02762	0.06641	0.03691	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Melaminivora sp. SC2-9"	"S"	2109913	66	5	2	46	23	NA	20	20	NA	21	66	17	NA	0.03275	0.03275	0.01115	0.01817	0.006166	NA	0.008493	0.007616	NA	0.007947	0.01906	0.007382	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Melaminivora"
"Verminephrobacter"	"G"	364316	296	13	17	296	81	1	62	91	NA	69	208	81	NA	0.1169	0.08514	0.09478	0.1169	0.02171	0.08237	0.02633	0.03465	NA	0.02611	0.06005	0.03517	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Verminephrobacter eiseniae"	"S"	364317	296	13	17	296	81	1	62	91	NA	69	208	81	NA	0.1169	0.08514	0.09478	0.1169	0.02171	0.08237	0.02633	0.03465	NA	0.02611	0.06005	0.03517	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter"
"Verminephrobacter eiseniae EF01-2"	"-"	391735	296	13	17	296	81	1	62	91	NA	69	208	81	NA	0.1169	0.08514	0.09478	0.1169	0.02171	0.08237	0.02633	0.03465	NA	0.02611	0.06005	0.03517	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Verminephrobacter>Verminephrobacter&nbsp;eiseniae"
"Candidatus Symbiobacter"	"G"	1436289	190	8	12	65	57	NA	60	97	1	45	190	77	1	0.2584	0.05239	0.0669	0.02568	0.01528	NA	0.02548	0.03694	0.0002587	0.01703	0.05486	0.03344	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
