"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC03.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC03.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	353630	14480	17192	232959	325453	1143	220377	244986	353633	246815	314338	217246	366	95.85	94.83	95.85	92.04	87.25	94.15	93.58	93.29	91.47	93.4	90.76	94.33	94.57	"unclassified"
"root"	"-"	1	47565	789	745	20160	47565	71	15107	17624	32989	17450	32015	13050	21	12.75	5.167	4.153	7.965	12.75	5.848	6.415	6.711	8.533	6.603	9.243	5.667	5.426	"root"
"cellular organisms"	"-"	131567	36674	622	575	15614	36674	55	10836	12998	19303	12551	24628	9573	11	9.832	4.074	3.206	6.169	9.832	4.53	4.602	4.95	4.993	4.749	7.111	4.157	2.842	"root"
"Bacteria"	"D"	2	35156	564	525	14794	35156	50	10099	12150	18697	11686	23489	8833	11	9.425	3.694	2.927	5.845	9.425	4.119	4.289	4.627	4.836	4.422	6.782	3.835	2.842	"cellular&nbsp;organisms"
"environmental samples"	"-"	48479	6080	140	112	3027	6080	12	1838	2178	2513	1946	4381	1719	NA	1.63	0.9169	0.6244	1.196	1.63	0.9885	0.7805	0.8294	0.65	0.7364	1.265	0.7464	NA	"cellular&nbsp;organisms>Bacteria"
"uncultured bacterium"	"S"	77133	5608	128	104	2793	5608	12	1686	1979	2301	1752	4017	1591	NA	1.503	0.8383	0.5798	1.103	1.503	0.9885	0.716	0.7536	0.5952	0.663	1.16	0.6909	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured rumen bacterium"	"S"	136703	139	3	2	20	37	NA	11	18	139	18	36	10	NA	0.03595	0.01965	0.01115	0.007901	0.009919	NA	0.004671	0.006854	0.03595	0.006811	0.01039	0.004342	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured anaerobic bacterium"	"S"	283740	5	1	NA	5	1	NA	NA	NA	NA	NA	1	1	NA	0.006549	0.006549	NA	0.001975	0.0002681	NA	NA	NA	NA	NA	0.0002887	0.0004342	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured deep-sea bacterium"	"S"	759664	7	1	NA	4	7	NA	3	1	NA	4	2	NA	NA	0.006549	0.006549	NA	0.00158	0.001877	NA	0.001274	0.0003808	NA	0.001514	0.0005774	NA	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"Proteobacteria"	"P"	1224	7617	110	108	2607	7617	9	973	1666	6767	945	3820	1084	2	2.042	0.7204	0.6021	1.03	2.042	0.7414	0.4132	0.6344	1.75	0.3576	1.103	0.4707	0.5168	"cellular&nbsp;organisms>Bacteria"
