"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_april_BC01.cladeReads"	"kraken2_classification_april_BC02.cladeReads"	"kraken2_classification_april_BC03.cladeReads"	"kraken2_classification_april_BC04.cladeReads"	"kraken2_classification_april_BC05.cladeReads"	"kraken2_classification_april_BC06.cladeReads"	"kraken2_classification_april_BC07.cladeReads"	"kraken2_classification_april_BC08.cladeReads"	"kraken2_classification_april_BC09.cladeReads"	"kraken2_classification_april_BC10.cladeReads"	"kraken2_classification_april_BC11.cladeReads"	"kraken2_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_classification_april_BC01.cladeReads.."	"kraken2_classification_april_BC02.cladeReads.."	"kraken2_classification_april_BC03.cladeReads.."	"kraken2_classification_april_BC04.cladeReads.."	"kraken2_classification_april_BC05.cladeReads.."	"kraken2_classification_april_BC06.cladeReads.."	"kraken2_classification_april_BC07.cladeReads.."	"kraken2_classification_april_BC08.cladeReads.."	"kraken2_classification_april_BC09.cladeReads.."	"kraken2_classification_april_BC10.cladeReads.."	"kraken2_classification_april_BC11.cladeReads.."	"kraken2_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	169	11	22	79	161	29	169	109	8	149	99	126	53	13.7	0.07204	0.1227	0.03121	0.04316	2.389	0.07177	0.04151	0.002069	0.05638	0.02858	0.05471	13.7	"unclassified"
"root"	"-"	1	386610	15258	17915	253040	372857	1185	235315	262501	386614	264116	346254	230170	334	100	99.93	99.88	99.97	99.96	97.61	99.93	99.96	100	99.94	99.97	99.95	86.3	"root"
"cellular organisms"	"-"	131567	386610	15258	17915	253040	372857	1185	235315	262501	386614	264116	346254	230170	334	100	99.93	99.88	99.97	99.96	97.61	99.93	99.96	100	99.94	99.97	99.95	86.3	"root"
"Bacteria"	"D"	2	386610	15257	17915	253037	372854	1184	235307	262495	386614	264111	346251	230168	333	100	99.92	99.88	99.97	99.96	97.53	99.92	99.96	100	99.94	99.97	99.94	86.05	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	273110	10326	14805	178609	269099	713	97135	149815	237238	106120	273111	113051	177	82.54	67.63	82.54	70.56	72.14	58.73	41.25	57.05	61.36	40.16	78.85	49.09	45.74	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	209710	7471	12961	99650	76205	380	63168	111306	470	67545	209712	82011	92	72.26	48.93	72.26	39.37	20.43	31.3	26.82	42.38	0.1216	25.56	60.55	35.61	23.77	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	200830	6719	12588	78278	56788	354	59597	106972	444	64853	200833	76886	84	70.18	44	70.18	30.93	15.22	29.16	25.31	40.73	0.1148	24.54	57.99	33.39	21.71	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	166480	5313	11781	55933	42066	285	48598	95080	370	54721	166475	61502	70	65.68	34.8	65.68	22.1	11.28	23.48	20.64	36.21	0.0957	20.71	48.07	26.71	18.09	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Limnohabitans"	"G"	665874	50777	1485	3421	14879	13287	85	15894	32470	97	19328	50777	20135	20	19.07	9.726	19.07	5.878	3.562	7.002	6.75	12.36	0.02509	7.314	14.66	8.743	5.168	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	37181	943	2224	9581	8106	56	9934	21106	63	12266	37181	13199	13	12.4	6.176	12.4	3.785	2.173	4.613	4.219	8.037	0.01629	4.642	10.74	5.731	3.359	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. 103DPR2"	"S"	1678129	13434	538	1183	5251	5129	29	5899	11247	34	6993	13434	6869	7	6.595	3.523	6.595	2.075	1.375	2.389	2.505	4.283	0.008794	2.646	3.879	2.983	1.809	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Acidovorax"	"G"	12916	26855	736	1502	7896	4830	44	5694	11145	53	6549	26855	7769	9	8.374	4.82	8.374	3.119	1.295	3.624	2.418	4.244	0.01371	2.478	7.754	3.373	2.326	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Acidovorax carolinensis"	"S"	553814	5839	176	318	1665	1069	7	1150	2080	9	1406	5839	1650	3	1.773	1.153	1.773	0.6578	0.2866	0.5766	0.4884	0.792	0.002328	0.532	1.686	0.7165	0.7752	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae"	"S"	80867	2698	83	186	1087	703	9	774	1388	6	823	2698	929	1	1.037	0.5436	1.037	0.4294	0.1885	0.7414	0.3287	0.5285	0.001552	0.3114	0.779	0.4034	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae subsp. avenae"	"-"	80870	2698	83	186	1087	703	9	774	1388	6	823	2698	929	1	1.037	0.5436	1.037	0.4294	0.1885	0.7414	0.3287	0.5285	0.001552	0.3114	0.779	0.4034	0.2584	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae"
"Acidovorax avenae subsp. avenae ATCC 19860"	"-"	643561	151	3	8	92	24	1	27	56	NA	17	151	28	NA	0.08237	0.01965	0.0446	0.03635	0.006434	0.08237	0.01147	0.02132	NA	0.006433	0.0436	0.01216	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae>Acidovorax&nbsp;avenae&nbsp;subsp.&nbsp;avenae"
