"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_classification_august_BC01.cladeReads.."	"kraken2_classification_august_BC02.cladeReads.."	"kraken2_classification_august_BC03.cladeReads.."	"kraken2_classification_august_BC04.cladeReads.."	"kraken2_classification_august_BC05.cladeReads.."	"kraken2_classification_august_BC06.cladeReads.."	"kraken2_classification_august_BC07.cladeReads.."	"kraken2_classification_august_BC08.cladeReads.."	"kraken2_classification_august_BC09.cladeReads.."	"kraken2_classification_august_BC10.cladeReads.."	"kraken2_classification_august_BC11.cladeReads.."	"kraken2_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1102	1102	407	222	482	702	975	753	462	258	289	737	730	45.3	0.3703	0.8922	36.33	45.3	0.08584	0.1239	0.1079	0.02622	35.93	0.1995	0.08224	1.621	"unclassified"
"root"	"-"	1	1762300	349504	51922	475	657	969899	961847	802832	1762275	510	153265	937330	48712	122.2	117.5	113.8	77.74	61.75	118.6	122.2	115.1	100	71.03	105.8	104.6	108.1	"root"
"cellular organisms"	"-"	131567	1762300	349504	51922	475	657	969899	961847	802832	1762275	510	153265	937330	48712	122.2	117.5	113.8	77.74	61.75	118.6	122.2	115.1	100	71.03	105.8	104.6	108.1	"root"
"Bacteria"	"D"	2	1762300	349501	51919	473	654	969889	961831	802818	1762273	510	153261	937321	48709	122.2	117.4	113.8	77.41	61.47	118.6	122.2	115.1	100	71.03	105.8	104.6	108.1	"cellular&nbsp;organisms"
"FCB group"	"-"	1783270	459590	139777	16452	106	134	219331	265513	148270	997	84	63079	459592	23016	51.28	46.97	36.06	17.35	12.59	26.82	33.74	21.25	0.05658	11.7	43.53	51.28	51.1	"cellular&nbsp;organisms>Bacteria"
"Bacteroidetes/Chlorobi group"	"-"	68336	459320	139065	16303	106	132	217772	264717	147223	991	81	62997	459322	23005	51.25	46.73	35.74	17.35	12.41	26.63	33.64	21.1	0.05624	11.28	43.48	51.25	51.07	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group"
"Bacteroidetes"	"P"	976	459240	139041	16297	106	132	217594	264558	147124	990	81	62987	459241	23001	51.25	46.72	35.72	17.35	12.41	26.61	33.62	21.09	0.05618	11.28	43.47	51.25	51.06	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group"
"Cytophagia"	"C"	768503	407990	103274	11657	46	61	146706	173345	110885	771	37	53906	407987	17770	45.53	34.71	25.55	7.529	5.733	17.94	22.03	15.9	0.04375	5.153	37.2	45.53	39.45	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes"
"Cytophagales"	"O"	768507	407990	103274	11657	46	61	146706	173345	110885	771	37	53906	407987	17770	45.53	34.71	25.55	7.529	5.733	17.94	22.03	15.9	0.04375	5.153	37.2	45.53	39.45	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia"
"Cytophagaceae"	"F"	89373	395030	87718	9901	33	42	111568	124556	93343	736	31	52187	395032	16290	44.08	29.48	21.7	5.401	3.947	13.64	15.83	13.38	0.04177	4.318	36.02	44.08	36.16	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Pseudarcicella"	"G"	1664383	384020	73748	8479	23	33	85125	91365	80394	703	27	50613	384024	15318	42.85	24.78	18.59	3.764	3.102	10.41	11.61	11.52	0.03989	3.76	34.93	42.85	34.01	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
