"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_august_BC01.cladeReads"	"kraken2_16s_classification_august_BC02.cladeReads"	"kraken2_16s_classification_august_BC03.cladeReads"	"kraken2_16s_classification_august_BC04.cladeReads"	"kraken2_16s_classification_august_BC05.cladeReads"	"kraken2_16s_classification_august_BC06.cladeReads"	"kraken2_16s_classification_august_BC07.cladeReads"	"kraken2_16s_classification_august_BC08.cladeReads"	"kraken2_16s_classification_august_BC09.cladeReads"	"kraken2_16s_classification_august_BC10.cladeReads"	"kraken2_16s_classification_august_BC11.cladeReads"	"kraken2_16s_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_august_BC01.cladeReads.."	"kraken2_16s_classification_august_BC02.cladeReads.."	"kraken2_16s_classification_august_BC03.cladeReads.."	"kraken2_16s_classification_august_BC04.cladeReads.."	"kraken2_16s_classification_august_BC05.cladeReads.."	"kraken2_16s_classification_august_BC06.cladeReads.."	"kraken2_16s_classification_august_BC07.cladeReads.."	"kraken2_16s_classification_august_BC08.cladeReads.."	"kraken2_16s_classification_august_BC09.cladeReads.."	"kraken2_16s_classification_august_BC10.cladeReads.."	"kraken2_16s_classification_august_BC11.cladeReads.."	"kraken2_16s_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1404	1404	670	400	753	210	377	309	186	487	345	303	1205	67.96	0.4141	1.329	58.31	67.96	0.02273	0.04093	0.04069	0.01066	64.76	0.2374	0.03399	2.513	"unclassified"
"root"	"-"	1	1762600	349202	51660	298	386	970392	962445	803277	1762551	282	153210	937764	48237	105.8	103	102.5	43.44	34.84	105	104.5	105.8	101	37.5	105.4	105.2	100.6	"root"
"Bacteria"	"D"	3	1762500	349182	51651	294	380	970380	962432	803266	1762542	279	153207	937748	48225	105.8	103	102.4	42.86	34.3	105	104.5	105.8	101	37.1	105.4	105.2	100.6	"root"
"Bacteroidetes"	"P"	905	465960	140320	16410	100	92	221820	272790	148408	1565	64	63156	465963	22981	52.28	41.38	32.54	14.58	8.303	24.01	29.62	19.54	0.08966	8.511	43.45	52.28	47.93	"Bacteria"
"Bacteroidia"	"C"	912	465700	140148	16380	100	92	221499	272463	147978	1563	64	63102	465698	22974	52.25	41.33	32.49	14.58	8.303	23.98	29.58	19.49	0.08955	8.511	43.42	52.25	47.92	"Bacteria>Bacteroidetes"
"Cytophagales"	"O"	24714	380530	74230	8580	24	28	83393	86051	81738	806	25	50678	380526	15381	42.69	21.89	17.02	3.499	2.527	9.027	9.342	10.76	0.04618	3.324	34.87	42.69	32.08	"Bacteria>Bacteroidetes>Bacteroidia"
"Spirosomaceae"	"F"	24794	378110	73252	8417	20	27	82550	85115	80163	797	25	50431	378110	15302	42.42	21.6	16.69	2.915	2.437	8.936	9.241	10.56	0.04566	3.324	34.7	42.42	31.92	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Pseudarcicella"	"G"	24809	372740	72362	8305	18	27	81078	83418	78904	774	25	49798	372737	15021	41.82	21.34	16.47	2.624	2.437	8.777	9.057	10.39	0.04434	3.324	34.26	41.82	31.33	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Arcicella"	"G"	24795	1347	215	25	1	NA	300	311	242	6	NA	143	1347	70	0.1511	0.06341	0.04958	0.1458	NA	0.03247	0.03376	0.03187	0.0003438	NA	0.09839	0.1511	0.146	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Flectobacillus"	"G"	24801	925	160	22	NA	NA	222	302	214	3	NA	119	925	36	0.1038	0.04719	0.04363	NA	NA	0.02403	0.03279	0.02818	0.0001719	NA	0.08187	0.1038	0.07508	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
