"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_august_BC01.cladeReads"	"centrifuge_classification_august_BC02.cladeReads"	"centrifuge_classification_august_BC03.cladeReads"	"centrifuge_classification_august_BC04.cladeReads"	"centrifuge_classification_august_BC05.cladeReads"	"centrifuge_classification_august_BC06.cladeReads"	"centrifuge_classification_august_BC07.cladeReads"	"centrifuge_classification_august_BC08.cladeReads"	"centrifuge_classification_august_BC09.cladeReads"	"centrifuge_classification_august_BC10.cladeReads"	"centrifuge_classification_august_BC11.cladeReads"	"centrifuge_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_classification_august_BC01.cladeReads.."	"centrifuge_classification_august_BC02.cladeReads.."	"centrifuge_classification_august_BC03.cladeReads.."	"centrifuge_classification_august_BC04.cladeReads.."	"centrifuge_classification_august_BC05.cladeReads.."	"centrifuge_classification_august_BC06.cladeReads.."	"centrifuge_classification_august_BC07.cladeReads.."	"centrifuge_classification_august_BC08.cladeReads.."	"centrifuge_classification_august_BC09.cladeReads.."	"centrifuge_classification_august_BC10.cladeReads.."	"centrifuge_classification_august_BC11.cladeReads.."	"centrifuge_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	969	969	317	181	406	694	943	701	615	223	246	591	625	35.65	0.2764	0.6058	25.93	35.65	0.0715	0.09794	0.08723	0.03489	29	0.1602	0.063	1.264	"unclassified"
"root"	"-"	1	1762100	349637	52013	517	733	969908	961879	802885	1762122	546	153309	937476	48817	99.97	99.72	99.39	74.07	64.35	99.93	99.9	99.91	99.97	71	99.84	99.94	98.74	"root"
"cellular organisms"	"-"	131567	1762100	349637	52013	517	733	969908	961879	802885	1762122	546	153309	937476	48817	99.97	99.72	99.39	74.07	64.35	99.93	99.9	99.91	99.97	71	99.84	99.94	98.74	"root"
"Bacteria"	"D"	2	1762100	349622	52001	515	730	969863	961827	802835	1762117	546	153303	937443	48807	99.96	99.72	99.37	73.78	64.09	99.92	99.9	99.91	99.96	71	99.84	99.93	98.72	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	1099300	137049	25035	225	354	481698	410550	455902	1099251	306	75202	423993	19395	62.36	39.09	47.84	32.23	31.08	49.63	42.64	56.73	62.36	39.79	48.97	45.2	39.23	"cellular&nbsp;organisms>Bacteria"
"Alphaproteobacteria"	"C"	28211	106040	53485	7138	44	76	77995	54198	106035	3288	44	26330	36565	4893	17.15	15.26	13.64	6.304	6.673	8.036	5.629	13.2	0.1865	5.722	17.15	3.898	9.896	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Rhodobacterales"	"O"	204455	65737	29388	4088	20	29	49085	34996	65737	989	15	15384	18575	468	10.02	8.382	7.812	2.865	2.546	5.057	3.635	8.18	0.05611	1.951	10.02	1.98	0.9466	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhodobacteraceae"	"F"	31989	65434	29248	4073	20	29	48892	34879	65434	943	15	15325	18502	461	9.98	8.342	7.783	2.865	2.546	5.037	3.623	8.143	0.0535	1.951	9.98	1.972	0.9324	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales"
"Gemmobacter"	"G"	204456	14852	8654	1231	2	4	12353	6697	14852	95	1	3410	4211	151	2.468	2.468	2.352	0.2865	0.3512	1.273	0.6956	1.848	0.005389	0.13	2.221	0.4489	0.3054	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Gemmobacter sp. HYN0069"	"S"	2169400	14852	8654	1231	2	4	12353	6697	14852	95	1	3410	4211	151	2.468	2.468	2.352	0.2865	0.3512	1.273	0.6956	1.848	0.005389	0.13	2.221	0.4489	0.3054	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Gemmobacter"
"Tabrizicola"	"G"	1443919	16439	8293	1200	4	5	11117	6014	16439	86	1	4739	5295	111	3.086	2.365	2.293	0.5731	0.439	1.145	0.6246	2.046	0.004879	0.13	3.086	0.5645	0.2245	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Tabrizicola sp. K13M18"	"S"	2494374	16439	8293	1200	4	5	11117	6014	16439	86	1	4739	5295	111	3.086	2.365	2.293	0.5731	0.439	1.145	0.6246	2.046	0.004879	0.13	3.086	0.5645	0.2245	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Tabrizicola"
"Rhodobacter"	"G"	1060	16520	6761	953	5	11	11739	6798	16520	133	7	4676	5703	125	3.045	1.928	1.821	0.7163	0.9658	1.209	0.706	2.056	0.007545	0.9103	3.045	0.608	0.2528	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobacter sphaeroides"	"S"	1063	6504	1976	273	NA	6	3847	2440	6504	32	2	1872	2325	40	1.219	0.5636	0.5217	NA	0.5268	0.3964	0.2534	0.8094	0.001815	0.2601	1.219	0.2479	0.0809	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter sphaeroides KD131"	"-"	557760	268	166	17	NA	1	246	134	268	2	NA	97	105	NA	0.0878	0.04735	0.03249	NA	0.0878	0.02535	0.01392	0.03335	0.0001135	NA	0.06317	0.01119	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter>Rhodobacter&nbsp;sphaeroides"
"Rhodobacter blasticus"	"S"	1075	3575	1774	239	NA	1	3470	1736	3575	31	2	879	1003	30	0.5724	0.506	0.4567	NA	0.0878	0.3575	0.1803	0.4449	0.001759	0.2601	0.5724	0.1069	0.06068	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter sp. CZR27"	"S"	2033869	2708	1387	201	NA	2	1990	1024	2708	25	1	766	931	21	0.4988	0.3956	0.3841	NA	0.1756	0.205	0.1064	0.337	0.001418	0.13	0.4988	0.09925	0.04247	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter capsulatus"	"S"	1061	2107	664	92	1	1	1009	773	2107	16	1	661	707	14	0.4305	0.1894	0.1758	0.1433	0.0878	0.104	0.08028	0.2622	0.0009077	0.13	0.4305	0.07537	0.02832	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter capsulatus SB 1003"	"-"	272942	2107	664	92	1	1	1009	773	2107	16	1	661	707	14	0.4305	0.1894	0.1758	0.1433	0.0878	0.104	0.08028	0.2622	0.0009077	0.13	0.4305	0.07537	0.02832	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter>Rhodobacter&nbsp;capsulatus"
"Rhodobacter sp. LPB0142"	"S"	1850250	89	39	6	2	NA	42	52	89	2	NA	35	55	1	0.2865	0.01112	0.01147	0.2865	NA	0.004327	0.005401	0.01108	0.0001135	NA	0.02279	0.005863	0.002023	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Defluviimonas"	"G"	1097466	2161	853	124	NA	1	1593	1132	2161	22	1	577	699	7	0.3758	0.2433	0.237	NA	0.0878	0.1641	0.1176	0.2689	0.001248	0.13	0.3758	0.07451	0.01416	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Defluviimonas alba"	"S"	1335048	2161	853	124	NA	1	1593	1132	2161	22	1	577	699	7	0.3758	0.2433	0.237	NA	0.0878	0.1641	0.1176	0.2689	0.001248	0.13	0.3758	0.07451	0.01416	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Defluviimonas"
"Paracoccus"	"G"	265	1404	641	97	3	1	1005	632	1404	22	NA	392	522	15	0.4298	0.1828	0.1854	0.4298	0.0878	0.1035	0.06564	0.1747	0.001248	NA	0.2553	0.05565	0.03034	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Paracoccus yeei"	"S"	147645	539	219	39	1	NA	377	254	539	11	NA	136	175	8	0.1433	0.06246	0.07453	0.1433	NA	0.03884	0.02638	0.06707	0.000624	NA	0.08857	0.01866	0.01618	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus sp. SC2-6"	"S"	2259340	136	91	14	NA	NA	104	55	136	1	NA	31	44	1	0.02675	0.02596	0.02675	NA	NA	0.01071	0.005712	0.01692	5.673e-05	NA	0.02019	0.00469	0.002023	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus sp. Arc7-R13"	"S"	2500532	142	69	9	NA	NA	106	76	142	3	NA	45	55	1	0.02931	0.01968	0.0172	NA	NA	0.01092	0.007893	0.01767	0.0001702	NA	0.02931	0.005863	0.002023	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus contaminans"	"S"	1945662	79	67	9	NA	NA	68	40	79	NA	NA	15	21	NA	0.01911	0.01911	0.0172	NA	NA	0.007006	0.004154	0.009831	NA	NA	0.009768	0.002239	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus aminophilus"	"S"	34003	268	63	12	NA	NA	127	78	268	1	NA	70	99	1	0.04559	0.01797	0.02293	NA	NA	0.01308	0.008101	0.03335	5.673e-05	NA	0.04559	0.01055	0.002023	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus aminophilus JCM 7686"	"-"	1367847	268	63	12	NA	NA	127	78	268	1	NA	70	99	1	0.04559	0.01797	0.02293	NA	NA	0.01308	0.008101	0.03335	5.673e-05	NA	0.04559	0.01055	0.002023	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus>Paracoccus&nbsp;aminophilus"
"Paracoccus sp. CBA4604"	"S"	2065379	72	37	4	NA	NA	61	36	72	NA	NA	17	42	NA	0.01107	0.01055	0.007644	NA	NA	0.006285	0.003739	0.00896	NA	NA	0.01107	0.004477	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
