"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_august_BC01.cladeReads"	"centrifuge_16s_classification_august_BC02.cladeReads"	"centrifuge_16s_classification_august_BC03.cladeReads"	"centrifuge_16s_classification_august_BC04.cladeReads"	"centrifuge_16s_classification_august_BC05.cladeReads"	"centrifuge_16s_classification_august_BC06.cladeReads"	"centrifuge_16s_classification_august_BC07.cladeReads"	"centrifuge_16s_classification_august_BC08.cladeReads"	"centrifuge_16s_classification_august_BC09.cladeReads"	"centrifuge_16s_classification_august_BC10.cladeReads"	"centrifuge_16s_classification_august_BC11.cladeReads"	"centrifuge_16s_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_august_BC01.cladeReads.."	"centrifuge_16s_classification_august_BC02.cladeReads.."	"centrifuge_16s_classification_august_BC03.cladeReads.."	"centrifuge_16s_classification_august_BC04.cladeReads.."	"centrifuge_16s_classification_august_BC05.cladeReads.."	"centrifuge_16s_classification_august_BC06.cladeReads.."	"centrifuge_16s_classification_august_BC07.cladeReads.."	"centrifuge_16s_classification_august_BC08.cladeReads.."	"centrifuge_16s_classification_august_BC09.cladeReads.."	"centrifuge_16s_classification_august_BC10.cladeReads.."	"centrifuge_16s_classification_august_BC11.cladeReads.."	"centrifuge_16s_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1632900	306493	47426	663	1088	840960	793311	670959	1632906	747	145193	895509	46484	97.14	87.42	90.63	94.99	95.52	86.64	82.39	83.5	92.63	97.14	94.55	95.46	94.02	"unclassified"
"root"	"-"	1	169510	44113	4904	35	51	129642	169511	132627	129831	22	8362	42558	2958	17.61	12.58	9.371	5.014	4.478	13.36	17.61	16.5	7.365	2.861	5.446	4.537	5.983	"root"
"cellular organisms"	"-"	131567	115070	30557	3460	28	40	90041	115074	93933	68705	15	6710	32558	2302	11.95	8.715	6.612	4.011	3.512	9.277	11.95	11.69	3.898	1.951	4.37	3.471	4.656	"root"
"Bacteria"	"D"	2	110460	29163	3280	24	36	85708	110465	89577	66417	12	5983	28040	2046	11.47	8.318	6.268	3.438	3.161	8.83	11.47	11.15	3.768	1.56	3.896	2.989	4.138	"cellular&nbsp;organisms"
"PVC group"	"-"	1783257	55538	9941	801	12	8	36685	55538	41539	227	4	274	1227	75	5.768	2.835	1.531	1.719	0.7024	3.78	5.768	5.169	0.01288	0.5202	0.1784	0.1308	0.1517	"cellular&nbsp;organisms>Bacteria"
"Verrucomicrobia"	"P"	74201	55355	9881	794	12	8	36523	55355	41368	196	3	249	1130	72	5.749	2.818	1.517	1.719	0.7024	3.763	5.749	5.148	0.01112	0.3901	0.1622	0.1205	0.1456	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group"
"environmental samples"	"-"	74202	2543	477	37	NA	NA	1768	2543	2085	8	NA	18	58	7	0.2641	0.1361	0.07071	NA	NA	0.1822	0.2641	0.2595	0.0004538	NA	0.01172	0.006183	0.01416	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia"
"uncultured Verrucomicrobia bacterium"	"S"	156588	2542	477	37	NA	NA	1767	2542	2080	8	NA	18	56	7	0.264	0.1361	0.07071	NA	NA	0.1821	0.264	0.2588	0.0004538	NA	0.01172	0.00597	0.01416	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>environmental&nbsp;samples"
"Opitutae"	"C"	414999	1118	186	18	NA	NA	773	1118	929	5	NA	6	24	3	0.1161	0.05305	0.0344	NA	NA	0.07964	0.1161	0.1156	0.0002836	NA	0.003907	0.002558	0.006068	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia"
"environmental samples"	"-"	575425	1067	178	17	NA	NA	738	1067	885	5	NA	6	21	3	0.1108	0.05077	0.03249	NA	NA	0.07604	0.1108	0.1101	0.0002836	NA	0.003907	0.002239	0.006068	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae"
"uncultured Opitutae bacterium"	"S"	575426	1067	178	17	NA	NA	738	1067	885	5	NA	6	21	3	0.1108	0.05077	0.03249	NA	NA	0.07604	0.1108	0.1101	0.0002836	NA	0.003907	0.002239	0.006068	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>environmental&nbsp;samples"
"Puniceicoccales"	"O"	415001	43	6	1	NA	NA	31	43	34	NA	NA	NA	2	NA	0.004466	0.001711	0.001911	NA	NA	0.003194	0.004466	0.004231	NA	NA	NA	0.0002132	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae"
"Puniceicoccaceae"	"F"	415002	43	6	1	NA	NA	31	43	34	NA	NA	NA	2	NA	0.004466	0.001711	0.001911	NA	NA	0.003194	0.004466	0.004231	NA	NA	NA	0.0002132	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Puniceicoccales"
"environmental samples"	"-"	1101445	43	6	1	NA	NA	31	43	34	NA	NA	NA	2	NA	0.004466	0.001711	0.001911	NA	NA	0.003194	0.004466	0.004231	NA	NA	NA	0.0002132	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Puniceicoccales>Puniceicoccaceae"
"uncultured Puniceicoccaceae bacterium"	"S"	1101446	43	6	1	NA	NA	31	43	34	NA	NA	NA	2	NA	0.004466	0.001711	0.001911	NA	NA	0.003194	0.004466	0.004231	NA	NA	NA	0.0002132	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Puniceicoccales>Puniceicoccaceae>environmental&nbsp;samples"
"Opitutales"	"O"	415000	6	1	NA	NA	NA	2	3	6	NA	NA	NA	1	NA	0.0007467	0.0002852	NA	NA	NA	0.0002061	0.0003116	0.0007467	NA	NA	NA	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae"
"Opitutaceae"	"F"	134623	6	1	NA	NA	NA	2	3	6	NA	NA	NA	1	NA	0.0007467	0.0002852	NA	NA	NA	0.0002061	0.0003116	0.0007467	NA	NA	NA	0.0001066	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Opitutae>Opitutales"
"Verrucomicrobiae"	"C"	203494	152	15	3	NA	NA	94	152	80	9	NA	4	8	NA	0.01579	0.004278	0.005733	NA	NA	0.009685	0.01579	0.009955	0.0005106	NA	0.002605	0.0008528	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia"
"Verrucomicrobiales"	"O"	48461	151	15	2	NA	NA	94	151	79	9	NA	4	8	NA	0.01568	0.004278	0.003822	NA	NA	0.009685	0.01568	0.009831	0.0005106	NA	0.002605	0.0008528	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae"
"Verrucomicrobiaceae"	"F"	203557	142	15	2	NA	NA	91	142	75	8	NA	4	8	NA	0.01475	0.004278	0.003822	NA	NA	0.009376	0.01475	0.009333	0.0004538	NA	0.002605	0.0008528	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales"
"Prosthecobacter"	"G"	48463	136	13	2	NA	NA	82	136	67	NA	NA	1	NA	NA	0.01413	0.003708	0.003822	NA	NA	0.008448	0.01413	0.008338	NA	NA	0.0006512	NA	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Verrucomicrobiaceae"
"Prosthecobacter fluviatilis"	"S"	445931	136	13	2	NA	NA	82	136	67	NA	NA	1	NA	NA	0.01413	0.003708	0.003822	NA	NA	0.008448	0.01413	0.008338	NA	NA	0.0006512	NA	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Verrucomicrobiaceae>Prosthecobacter"
"environmental samples"	"-"	89290	9	2	NA	NA	NA	9	6	7	7	NA	2	8	NA	0.001302	0.0005704	NA	NA	NA	0.0009273	0.0006232	0.0008711	0.0003971	NA	0.001302	0.0008528	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Verrucomicrobiaceae"
"uncultured Verrucomicrobiaceae bacterium"	"S"	257470	9	2	NA	NA	NA	9	6	7	7	NA	2	8	NA	0.001302	0.0005704	NA	NA	NA	0.0009273	0.0006232	0.0008711	0.0003971	NA	0.001302	0.0008528	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Verrucomicrobiaceae>environmental&nbsp;samples"
"Spartobacteria"	"C"	134549	5	2	NA	NA	NA	5	1	3	NA	NA	5	4	NA	0.003256	0.0005704	NA	NA	NA	0.0005151	0.0001039	0.0003733	NA	NA	0.003256	0.0004264	NA	"cellular&nbsp;organisms>Bacteria>PVC&nbsp;group>Verrucomicrobia"
