"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_classification_august_BC01.cladeReads.."	"kraken2_classification_august_BC02.cladeReads.."	"kraken2_classification_august_BC03.cladeReads.."	"kraken2_classification_august_BC04.cladeReads.."	"kraken2_classification_august_BC05.cladeReads.."	"kraken2_classification_august_BC06.cladeReads.."	"kraken2_classification_august_BC07.cladeReads.."	"kraken2_classification_august_BC08.cladeReads.."	"kraken2_classification_august_BC09.cladeReads.."	"kraken2_classification_august_BC10.cladeReads.."	"kraken2_classification_august_BC11.cladeReads.."	"kraken2_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1102	1102	407	222	482	702	975	753	462	258	289	737	730	42.32	0.3143	0.7778	31.81	42.32	0.07233	0.1013	0.0937	0.02621	33.55	0.1882	0.07857	1.476	"unclassified"
"root"	"-"	1	1762300	349504	51923	476	657	969900	961847	802833	1762275	511	153266	937330	48712	99.97	99.69	99.22	68.19	57.68	99.93	99.9	99.91	99.97	66.45	99.81	99.92	98.52	"root"
"cellular organisms"	"-"	131567	1762300	349504	51923	476	657	969900	961847	802833	1762275	511	153266	937330	48712	99.97	99.69	99.22	68.19	57.68	99.93	99.9	99.91	99.97	66.45	99.81	99.92	98.52	"root"
"Bacteria"	"D"	2	1762300	349501	51920	474	654	969890	961831	802819	1762273	511	153262	937321	48709	99.97	99.68	99.22	67.91	57.42	99.93	99.9	99.9	99.97	66.45	99.81	99.92	98.52	"cellular&nbsp;organisms"
"FCB group"	"-"	1783270	459590	139778	16452	106	134	219331	265513	148270	997	84	63080	459593	23016	48.99	39.87	31.44	15.19	11.76	22.6	27.58	18.45	0.05656	10.92	41.08	48.99	46.55	"cellular&nbsp;organisms>Bacteria"
"Bacteroidetes/Chlorobi group"	"-"	68336	459320	139066	16303	106	132	217772	264717	147223	991	81	62998	459323	23005	48.96	39.66	31.15	15.19	11.59	22.44	27.49	18.32	0.05622	10.53	41.03	48.96	46.53	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group"
"Bacteroidetes"	"P"	976	459240	139042	16297	106	132	217594	264558	147124	990	81	62988	459242	23001	48.96	39.66	31.14	15.19	11.59	22.42	27.48	18.31	0.05616	10.53	41.02	48.96	46.52	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group"
"Cytophagia"	"C"	768503	407990	103274	11657	46	61	146706	173345	110885	771	37	53906	407987	17770	43.49	29.46	22.28	6.59	5.356	15.11	18	13.8	0.04374	4.811	35.11	43.49	35.94	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes"
"Cytophagales"	"O"	768507	407990	103274	11657	46	61	146706	173345	110885	771	37	53906	407987	17770	43.49	29.46	22.28	6.59	5.356	15.11	18	13.8	0.04374	4.811	35.11	43.49	35.94	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia"
"Cytophagaceae"	"F"	89373	395030	87718	9901	33	42	111568	124556	93343	736	31	52187	395032	16290	42.11	25.02	18.92	4.728	3.687	11.49	12.94	11.62	0.04175	4.031	33.99	42.11	32.95	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Pseudarcicella"	"G"	1664383	384020	73748	8479	23	33	85125	91365	80394	703	27	50613	384024	15318	40.94	21.03	16.2	3.295	2.897	8.77	9.489	10	0.03988	3.511	32.96	40.94	30.98	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Pseudarcicella sp. HME7025"	"S"	2183547	384020	73748	8479	23	33	85125	91365	80394	703	27	50613	384024	15318	40.94	21.03	16.2	3.295	2.897	8.77	9.489	10	0.03988	3.511	32.96	40.94	30.98	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Pseudarcicella"
"Spirosoma"	"G"	107	29486	12780	1280	10	5	23639	29486	10964	23	3	1299	8930	781	3.645	3.645	2.446	1.433	0.439	2.435	3.062	1.364	0.001305	0.3901	0.846	0.952	1.58	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Spirosoma pollinicola"	"S"	2057025	157	73	6	NA	NA	133	157	61	NA	NA	8	52	1	0.02082	0.02082	0.01147	NA	NA	0.0137	0.01631	0.007591	NA	NA	0.00521	0.005543	0.002023	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma montaniterrae"	"S"	1178516	17	12	NA	NA	NA	17	16	5	NA	NA	1	8	NA	0.003423	0.003423	NA	NA	NA	0.001751	0.001662	0.0006222	NA	NA	0.0006512	0.0008528	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma radiotolerans"	"S"	1379870	7	4	1	NA	NA	2	7	5	NA	1	NA	2	1	0.13	0.001141	0.001911	NA	NA	0.0002061	0.000727	0.0006222	NA	0.13	NA	0.0002132	0.002023	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma rigui"	"S"	564064	33	3	NA	NA	NA	12	33	20	NA	NA	1	6	NA	0.003427	0.0008557	NA	NA	NA	0.001236	0.003427	0.002489	NA	NA	0.0006512	0.0006396	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
