"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_august_BC01.cladeReads"	"kraken2_16s_classification_august_BC02.cladeReads"	"kraken2_16s_classification_august_BC03.cladeReads"	"kraken2_16s_classification_august_BC04.cladeReads"	"kraken2_16s_classification_august_BC05.cladeReads"	"kraken2_16s_classification_august_BC06.cladeReads"	"kraken2_16s_classification_august_BC07.cladeReads"	"kraken2_16s_classification_august_BC08.cladeReads"	"kraken2_16s_classification_august_BC09.cladeReads"	"kraken2_16s_classification_august_BC10.cladeReads"	"kraken2_16s_classification_august_BC11.cladeReads"	"kraken2_16s_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_august_BC01.cladeReads.."	"kraken2_16s_classification_august_BC02.cladeReads.."	"kraken2_16s_classification_august_BC03.cladeReads.."	"kraken2_16s_classification_august_BC04.cladeReads.."	"kraken2_16s_classification_august_BC05.cladeReads.."	"kraken2_16s_classification_august_BC06.cladeReads.."	"kraken2_16s_classification_august_BC07.cladeReads.."	"kraken2_16s_classification_august_BC08.cladeReads.."	"kraken2_16s_classification_august_BC09.cladeReads.."	"kraken2_16s_classification_august_BC10.cladeReads.."	"kraken2_16s_classification_august_BC11.cladeReads.."	"kraken2_16s_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1404	1404	670	400	753	210	377	309	186	487	345	303	1205	66.11	0.4004	1.28	57.31	66.11	0.02164	0.03916	0.03845	0.01055	63.33	0.2247	0.0323	2.437	"unclassified"
"root"	"-"	1	1762600	349202	51660	298	386	970392	962445	803277	1762551	282	153210	937764	48237	99.99	99.6	98.72	42.69	33.89	99.98	99.96	99.96	99.99	36.67	99.78	99.97	97.56	"root"
"Bacteria"	"D"	3	1762500	349182	51651	294	380	970380	962432	803266	1762542	279	153207	937748	48225	99.99	99.59	98.7	42.12	33.36	99.98	99.96	99.96	99.99	36.28	99.77	99.97	97.54	"root"
"Bacteroidetes"	"P"	905	465960	140320	16410	100	92	221820	272790	148408	1565	64	63156	465963	22981	49.67	40.02	31.36	14.33	8.077	22.85	28.33	18.47	0.08878	8.322	41.13	49.67	46.48	"Bacteria"
"Bacteroidia"	"C"	912	465700	140148	16380	100	92	221499	272463	147978	1563	64	63102	465698	22974	49.64	39.97	31.3	14.33	8.077	22.82	28.3	18.41	0.08867	8.322	41.09	49.64	46.47	"Bacteria>Bacteroidetes"
"Cytophagales"	"O"	24714	380530	74230	8580	24	28	83393	86051	81738	806	25	50678	380526	15381	40.56	21.17	16.4	3.438	2.458	8.592	8.937	10.17	0.04572	3.251	33	40.56	31.11	"Bacteria>Bacteroidetes>Bacteroidia"
"Spirosomaceae"	"F"	24794	378110	73252	8417	20	27	82550	85115	80163	797	25	50431	378110	15302	40.31	20.89	16.08	2.865	2.371	8.505	8.84	9.976	0.04521	3.251	32.84	40.31	30.95	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Pseudarcicella"	"G"	24809	372740	72362	8305	18	27	81078	83418	78904	774	25	49798	372737	15021	39.73	20.64	15.87	2.579	2.371	8.353	8.664	9.819	0.04391	3.251	32.43	39.73	30.38	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Arcicella"	"G"	24795	1347	215	25	1	NA	300	311	242	6	NA	143	1347	70	0.1436	0.06132	0.04777	0.1433	NA	0.03091	0.0323	0.03012	0.0003404	NA	0.09313	0.1436	0.1416	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Flectobacillus"	"G"	24801	925	160	22	NA	NA	222	302	214	3	NA	119	925	36	0.09861	0.04564	0.04204	NA	NA	0.02287	0.03137	0.02663	0.0001702	NA	0.0775	0.09861	0.07281	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
