"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC07.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC07.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	141	141	92	105	37	100	49	21	26	49	22	57	77	48.73	0.07248	1.631	0.08479	42.05	0.06244	48.04	36.84	0.01431	43.75	42.31	0.07057	48.73	"unclassified"
"root"	"-"	1	200230	200229	6928	162293	55	192255	63	43	181763	71	34	89238	91	131	102.9	122.8	131	62.5	120	61.76	75.44	100	63.39	65.38	110.5	57.59	"root"
"cellular organisms"	"-"	131567	200230	200229	6928	162293	55	192255	63	43	181763	71	34	89238	91	131	102.9	122.8	131	62.5	120	61.76	75.44	100	63.39	65.38	110.5	57.59	"root"
"Bacteria"	"D"	2	200230	200227	6928	162292	55	192252	62	43	181763	70	34	89238	91	131	102.9	122.8	131	62.5	120	60.78	75.44	100	62.5	65.38	110.5	57.59	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	166400	166405	4368	144576	13	108893	18	22	73710	14	7	11740	23	116.7	85.54	77.45	116.7	14.77	67.99	17.65	38.6	40.57	12.5	13.46	14.53	14.56	"cellular&nbsp;organisms>Bacteria"
"Cyanobacteria/Melainabacteria group"	"-"	1798711	145460	145455	3776	127399	6	94009	5	10	15	3	1	6009	5	102.9	74.77	66.95	102.9	6.818	58.7	4.902	17.54	0.008256	2.679	1.923	7.439	3.165	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	145460	145455	3776	127399	6	94009	5	10	15	3	1	6009	5	102.9	74.77	66.95	102.9	6.818	58.7	4.902	17.54	0.008256	2.679	1.923	7.439	3.165	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Synechococcales"	"O"	1890424	80195	80195	2082	70570	5	53109	3	3	5	NA	1	3387	2	56.98	41.22	36.91	56.98	5.682	33.16	2.941	5.263	0.002752	NA	1.923	4.193	1.266	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Prochloraceae"	"F"	1213	41887	41887	1111	36936	3	27850	1	3	3	NA	NA	1750	NA	29.83	21.53	19.7	29.83	3.409	17.39	0.9804	5.263	0.001651	NA	NA	2.167	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Prochlorococcus"	"G"	1218	41887	41887	1111	36936	3	27850	1	3	3	NA	NA	1750	NA	29.83	21.53	19.7	29.83	3.409	17.39	0.9804	5.263	0.001651	NA	NA	2.167	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae"
"Prochlorococcus marinus"	"S"	1219	41581	41581	61	2118	NA	1597	NA	NA	NA	NA	NA	95	NA	21.37	21.37	1.082	1.71	NA	0.9972	NA	NA	NA	NA	NA	0.1176	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Prochlorococcus sp. MIT 0604"	"S"	1501268	306	306	9	298	NA	239	NA	NA	NA	NA	NA	13	NA	0.2406	0.1573	0.1596	0.2406	NA	0.1492	NA	NA	NA	NA	NA	0.01609	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Synechococcaceae"	"F"	1890426	36037	36037	903	31447	2	23625	2	NA	1	NA	1	1497	2	25.39	18.52	16.01	25.39	2.273	14.75	1.961	NA	0.0005504	NA	1.923	1.853	1.266	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechococcus"	"G"	1129	36027	36027	902	31428	2	23607	2	NA	1	NA	1	1489	2	25.38	18.52	15.99	25.38	2.273	14.74	1.961	NA	0.0005504	NA	1.923	1.843	1.266	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Synechococcus sp. PCC 7502"	"S"	1173263	35107	35107	883	30631	2	22943	2	NA	1	NA	1	1419	1	24.73	18.05	15.66	24.73	2.273	14.33	1.961	NA	0.0005504	NA	1.923	1.757	0.6329	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8102"	"S"	84588	510	510	13	442	NA	335	NA	NA	NA	NA	NA	32	NA	0.3569	0.2622	0.2305	0.3569	NA	0.2092	NA	NA	NA	NA	NA	0.03962	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 6312"	"S"	195253	221	221	3	207	NA	194	NA	NA	NA	NA	NA	14	NA	0.1671	0.1136	0.05319	0.1671	NA	0.1211	NA	NA	NA	NA	NA	0.01733	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-3-3Ab"	"S"	321327	82	82	2	63	NA	48	NA	NA	NA	NA	NA	6	NA	0.05087	0.04215	0.03546	0.05087	NA	0.02997	NA	NA	NA	NA	NA	0.007428	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-2-3B'a(2-13)"	"S"	321332	43	43	NA	43	NA	31	NA	NA	NA	NA	NA	4	NA	0.03472	0.0221	NA	0.03472	NA	0.01936	NA	NA	NA	NA	NA	0.004952	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 7336"	"S"	195250	43	43	NA	27	NA	31	NA	NA	NA	NA	NA	11	NA	0.0221	0.0221	NA	0.0218	NA	0.01936	NA	NA	NA	NA	NA	0.01362	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. SynAce01"	"S"	1916956	13	12	NA	9	NA	13	NA	NA	NA	NA	NA	2	NA	0.008117	0.006169	NA	0.007267	NA	0.008117	NA	NA	NA	NA	NA	0.002476	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus lividus"	"S"	33070	9	7	NA	5	NA	9	NA	NA	NA	NA	NA	1	NA	0.00562	0.003598	NA	0.004037	NA	0.00562	NA	NA	NA	NA	NA	0.001238	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. KORDI-52"	"S"	585425	2	1	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001249	0.000514	NA	0.0008075	NA	0.001249	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Cyanobium"	"G"	167375	6	2	1	1	NA	2	NA	NA	NA	NA	NA	6	NA	0.01773	0.001028	0.01773	0.0008075	NA	0.001249	NA	NA	NA	NA	NA	0.007428	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Cyanobium gracile"	"S"	59930	5	2	1	1	NA	2	NA	NA	NA	NA	NA	5	NA	0.01773	0.001028	0.01773	0.0008075	NA	0.001249	NA	NA	NA	NA	NA	0.00619	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Cyanobium"
"Leptolyngbyaceae"	"F"	1890438	692	625	15	692	NA	462	NA	NA	1	NA	NA	45	NA	0.5588	0.3213	0.266	0.5588	NA	0.2885	NA	NA	0.0005504	NA	NA	0.05571	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Leptolyngbya"	"G"	47251	692	625	15	692	NA	462	NA	NA	1	NA	NA	45	NA	0.5588	0.3213	0.266	0.5588	NA	0.2885	NA	NA	0.0005504	NA	NA	0.05571	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Leptolyngbya sp. NIES-3755"	"S"	1752064	559	559	10	533	NA	374	NA	NA	NA	NA	NA	17	NA	0.4304	0.2874	0.1773	0.4304	NA	0.2335	NA	NA	NA	NA	NA	0.02105	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. O-77"	"S"	1080068	124	42	4	124	NA	69	NA	NA	1	NA	NA	28	NA	0.1001	0.02159	0.07092	0.1001	NA	0.04308	NA	NA	0.0005504	NA	NA	0.03466	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya boryana"	"S"	1184	34	21	1	34	NA	17	NA	NA	NA	NA	NA	NA	NA	0.02745	0.01079	0.01773	0.02745	NA	0.01061	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. PCC 7376"	"S"	111781	3	3	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001542	0.001542	NA	0.0008075	NA	0.001249	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Prochlorotrichaceae"	"F"	2303730	36	36	1	25	NA	21	NA	NA	NA	NA	NA	NA	NA	0.02019	0.01851	0.01773	0.02019	NA	0.01311	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Halomicronema"	"G"	170610	36	36	1	25	NA	21	NA	NA	NA	NA	NA	NA	NA	0.02019	0.01851	0.01773	0.02019	NA	0.01311	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae"
"Halomicronema hongdechloris"	"S"	1209493	36	36	1	25	NA	21	NA	NA	NA	NA	NA	NA	NA	0.02019	0.01851	0.01773	0.02019	NA	0.01311	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochlorotrichaceae>Halomicronema"
"Chamaesiphonaceae"	"F"	1890431	6	6	NA	1	NA	2	NA	NA	NA	NA	NA	3	NA	0.003714	0.003084	NA	0.0008075	NA	0.001249	NA	NA	NA	NA	NA	0.003714	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Chamaesiphon"	"G"	217161	6	6	NA	1	NA	2	NA	NA	NA	NA	NA	3	NA	0.003714	0.003084	NA	0.0008075	NA	0.001249	NA	NA	NA	NA	NA	0.003714	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae"
"Chamaesiphon minutus"	"S"	1173032	6	6	NA	1	NA	2	NA	NA	NA	NA	NA	3	NA	0.003714	0.003084	NA	0.0008075	NA	0.001249	NA	NA	NA	NA	NA	0.003714	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Chamaesiphonaceae>Chamaesiphon"
"Acaryochloridaceae"	"F"	1890429	10	1	NA	NA	NA	2	NA	NA	NA	NA	NA	10	NA	0.01238	0.000514	NA	NA	NA	0.001249	NA	NA	NA	NA	NA	0.01238	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Acaryochloris"	"G"	155977	10	1	NA	NA	NA	2	NA	NA	NA	NA	NA	10	NA	0.01238	0.000514	NA	NA	NA	0.001249	NA	NA	NA	NA	NA	0.01238	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae"
"Acaryochloris marina"	"S"	155978	10	1	NA	NA	NA	2	NA	NA	NA	NA	NA	10	NA	0.01238	0.000514	NA	NA	NA	0.001249	NA	NA	NA	NA	NA	0.01238	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae>Acaryochloris"
"Merismopediaceae"	"F"	1890428	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000514	0.000514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechocystis"	"G"	1142	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000514	0.000514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae"
"Nostocales"	"O"	1161	41814	41814	1010	37130	NA	22960	1	1	3	1	NA	1386	1	29.98	21.49	17.91	29.98	NA	14.34	0.9804	1.754	0.001651	0.8929	NA	1.716	0.6329	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Rivulariaceae"	"F"	1185	8877	8877	204	7895	NA	4527	NA	NA	1	NA	NA	175	1	6.375	4.563	3.617	6.375	NA	2.827	NA	NA	0.0005504	NA	NA	0.2167	0.6329	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Calothrix"	"G"	1186	8844	8844	203	7876	NA	4514	NA	NA	1	NA	NA	175	1	6.36	4.546	3.599	6.36	NA	2.819	NA	NA	0.0005504	NA	NA	0.2167	0.6329	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Calothrix sp. NIES-3974"	"S"	2005462	8786	8786	199	7809	NA	4472	NA	NA	1	NA	NA	166	1	6.306	4.516	3.528	6.306	NA	2.792	NA	NA	0.0005504	NA	NA	0.2055	0.6329	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix parietina"	"S"	32054	29	27	2	29	NA	16	NA	NA	NA	NA	NA	4	NA	0.03546	0.01388	0.03546	0.02342	NA	0.00999	NA	NA	NA	NA	NA	0.004952	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. NIES-4101"	"S"	2005461	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001542	0.001542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. PCC 7507"	"S"	99598	5	2	NA	5	NA	1	NA	NA	NA	NA	NA	NA	NA	0.004037	0.001028	NA	0.004037	NA	0.0006244	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Rivularia"	"G"	373984	31	31	1	19	NA	13	NA	NA	NA	NA	NA	NA	NA	0.01773	0.01594	0.01773	0.01534	NA	0.008117	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
