"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_june_BC01.cladeReads"	"kraken2_16s_classification_june_BC02.cladeReads"	"kraken2_16s_classification_june_BC03.cladeReads"	"kraken2_16s_classification_june_BC04.cladeReads"	"kraken2_16s_classification_june_BC05.cladeReads"	"kraken2_16s_classification_june_BC06.cladeReads"	"kraken2_16s_classification_june_BC07.cladeReads"	"kraken2_16s_classification_june_BC08.cladeReads"	"kraken2_16s_classification_june_BC09.cladeReads"	"kraken2_16s_classification_june_BC10.cladeReads"	"kraken2_16s_classification_june_BC11.cladeReads"	"kraken2_16s_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_june_BC01.cladeReads.."	"kraken2_16s_classification_june_BC02.cladeReads.."	"kraken2_16s_classification_june_BC03.cladeReads.."	"kraken2_16s_classification_june_BC04.cladeReads.."	"kraken2_16s_classification_june_BC05.cladeReads.."	"kraken2_16s_classification_june_BC06.cladeReads.."	"kraken2_16s_classification_june_BC07.cladeReads.."	"kraken2_16s_classification_june_BC08.cladeReads.."	"kraken2_16s_classification_june_BC09.cladeReads.."	"kraken2_16s_classification_june_BC10.cladeReads.."	"kraken2_16s_classification_june_BC11.cladeReads.."	"kraken2_16s_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	160	92	160	79	64	55	83	37	40	94	49	58	140	87.5	0.04629	2.34	0.04882	70.33	0.02961	74.77	57.81	0.02224	78.99	87.5	0.06871	83.83	"unclassified"
"root"	"-"	1	200280	200278	6860	162320	28	192300	29	27	181749	26	7	89238	28	105.7	100.8	100.3	100.3	30.77	103.5	26.13	42.19	101.1	21.85	12.5	105.7	16.77	"root"
"Bacteria"	"D"	3	200270	200269	6853	162308	26	192289	27	27	181744	26	7	89235	23	105.7	100.8	100.2	100.3	28.57	103.5	24.32	42.19	101.1	21.85	12.5	105.7	13.77	"root"
"Cyanobacteria"	"P"	1500	173960	173955	4536	151446	8	114467	5	13	306	6	4	7319	3	93.59	87.53	66.34	93.59	8.791	61.63	4.505	20.31	0.1701	5.042	7.143	8.67	1.796	"Bacteria"
"Oxyphotobacteria"	"C"	25227	173940	173942	4536	151436	8	114458	5	13	306	6	4	7305	3	93.58	87.52	66.34	93.58	8.791	61.62	4.505	20.31	0.1701	5.042	7.143	8.654	1.796	"Bacteria>Cyanobacteria"
"Chloroplast"	"O"	25228	173900	173905	4535	151411	7	114444	5	13	305	6	4	7181	3	93.57	87.5	66.33	93.57	7.692	61.61	4.505	20.31	0.1696	5.042	7.143	8.507	1.796	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Nostocales"	"O"	25273	69	24	NA	19	1	5	NA	NA	NA	NA	NA	69	NA	1.099	0.01208	NA	0.01174	1.099	0.002692	NA	NA	NA	NA	NA	0.08174	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Phormidiaceae"	"F"	25433	8	7	NA	8	NA	2	NA	NA	NA	NA	NA	6	NA	0.007108	0.003522	NA	0.004944	NA	0.001077	NA	NA	NA	NA	NA	0.007108	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Tychonema CCAP 1459-11B"	"G"	25443	7	6	NA	7	NA	1	NA	NA	NA	NA	NA	3	NA	0.004326	0.003019	NA	0.004326	NA	0.0005384	NA	NA	NA	NA	NA	0.003554	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Kamptonema PCC-6407"	"G"	25437	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.001185	0.0005032	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001185	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
