"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.cladeReads"	"centrifuge_classification_june_BC02.cladeReads"	"centrifuge_classification_june_BC03.cladeReads"	"centrifuge_classification_june_BC04.cladeReads"	"centrifuge_classification_june_BC05.cladeReads"	"centrifuge_classification_june_BC06.cladeReads"	"centrifuge_classification_june_BC07.cladeReads"	"centrifuge_classification_june_BC08.cladeReads"	"centrifuge_classification_june_BC09.cladeReads"	"centrifuge_classification_june_BC10.cladeReads"	"centrifuge_classification_june_BC11.cladeReads"	"centrifuge_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.cladeReads.."	"centrifuge_classification_june_BC02.cladeReads.."	"centrifuge_classification_june_BC03.cladeReads.."	"centrifuge_classification_june_BC04.cladeReads.."	"centrifuge_classification_june_BC05.cladeReads.."	"centrifuge_classification_june_BC06.cladeReads.."	"centrifuge_classification_june_BC07.cladeReads.."	"centrifuge_classification_june_BC08.cladeReads.."	"centrifuge_classification_june_BC09.cladeReads.."	"centrifuge_classification_june_BC10.cladeReads.."	"centrifuge_classification_june_BC11.cladeReads.."	"centrifuge_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	155	155	71	133	25	111	38	18	38	38	19	43	64	38.1	0.07736	1.011	0.0819	27.17	0.05771	33.93	28.12	0.0209	31.67	33.93	0.04815	38.1	"unclassified"
"root"	"-"	1	200220	200215	6949	162266	67	192244	74	46	181751	82	37	89253	104	99.98	99.92	98.99	99.92	72.83	99.94	66.07	71.88	99.98	68.33	66.07	99.95	61.9	"root"
"cellular organisms"	"-"	131567	200220	200215	6949	162266	67	192244	74	46	181751	82	37	89253	104	99.98	99.92	98.99	99.92	72.83	99.94	66.07	71.88	99.98	68.33	66.07	99.95	61.9	"root"
"Bacteria"	"D"	2	200200	200198	6948	162244	67	192235	73	46	181750	82	37	89252	103	99.98	99.91	98.97	99.9	72.83	99.94	65.18	71.88	99.98	68.33	66.07	99.95	61.31	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	139930	139927	3676	121625	26	91724	18	23	72983	14	9	10791	27	74.89	69.83	52.36	74.89	28.26	47.68	16.07	35.94	40.15	11.67	16.07	12.08	16.07	"cellular&nbsp;organisms>Bacteria"
"Cyanobacteria/Melainabacteria group"	"-"	1798711	82523	82523	2173	72575	3	53876	5	7	83	NA	3	3623	3	44.69	41.19	30.95	44.69	3.261	28.01	4.464	10.94	0.04566	NA	5.357	4.057	1.786	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	82523	82523	2173	72575	3	53876	5	7	83	NA	3	3623	3	44.69	41.19	30.95	44.69	3.261	28.01	4.464	10.94	0.04566	NA	5.357	4.057	1.786	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Synechococcales"	"O"	1890424	40406	40406	1066	35379	2	26499	3	3	48	NA	1	1734	2	21.79	20.17	15.19	21.79	2.174	13.78	2.679	4.688	0.0264	NA	1.786	1.942	1.19	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Synechococcaceae"	"F"	1890426	32707	32707	886	28692	NA	21494	2	2	34	NA	1	1361	1	17.67	16.32	12.62	17.67	NA	11.17	1.786	3.125	0.0187	NA	1.786	1.524	0.5952	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechococcus"	"G"	1129	32687	32687	885	28673	NA	21478	2	2	34	NA	1	1356	1	17.66	16.31	12.61	17.66	NA	11.17	1.786	3.125	0.0187	NA	1.786	1.519	0.5952	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Synechococcus sp. PCC 7502"	"S"	1173263	25483	25483	693	22390	NA	16639	1	1	23	NA	1	1092	1	13.79	12.72	9.872	13.79	NA	8.65	0.8929	1.562	0.01265	NA	1.786	1.223	0.5952	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-2-3B'a(2-13)"	"S"	321332	4858	4858	113	4158	NA	3230	NA	1	4	NA	NA	176	NA	2.56	2.425	1.61	2.56	NA	1.679	NA	1.562	0.0022	NA	NA	0.1971	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. JA-3-3Ab"	"S"	321327	1153	1153	45	1059	NA	798	1	NA	4	NA	NA	35	NA	0.8929	0.5754	0.641	0.6521	NA	0.4149	0.8929	NA	0.0022	NA	NA	0.0392	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. PCC 6312"	"S"	195253	1124	1124	33	997	NA	776	NA	NA	2	NA	NA	47	NA	0.6139	0.561	0.4701	0.6139	NA	0.4034	NA	NA	0.0011	NA	NA	0.05263	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8102"	"S"	84588	26	26	NA	22	NA	17	NA	NA	NA	NA	NA	1	NA	0.01355	0.01298	NA	0.01355	NA	0.008838	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. NIES-970"	"S"	1827144	14	10	NA	14	NA	5	NA	NA	NA	NA	NA	NA	NA	0.008621	0.004991	NA	0.008621	NA	0.002599	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. WH 8101"	"S"	59932	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0.00224	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcus sp. CC9311"	"S"	64471	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Dactylococcopsis"	"G"	13034	15	15	1	15	NA	12	NA	NA	NA	NA	NA	1	NA	0.01425	0.007486	0.01425	0.009237	NA	0.006238	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae"
"Dactylococcopsis salina"	"S"	292566	15	15	1	15	NA	12	NA	NA	NA	NA	NA	1	NA	0.01425	0.007486	0.01425	0.009237	NA	0.006238	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Dactylococcopsis"
"Dactylococcopsis salina PCC 8305"	"-"	13035	15	15	1	15	NA	12	NA	NA	NA	NA	NA	1	NA	0.01425	0.007486	0.01425	0.009237	NA	0.006238	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Dactylococcopsis>Dactylococcopsis&nbsp;salina"
"Pseudanabaenaceae"	"F"	1890436	5478	5478	125	4828	2	3546	1	NA	8	NA	NA	270	NA	2.973	2.734	1.781	2.973	2.174	1.843	0.8929	NA	0.004401	NA	NA	0.3024	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Pseudanabaena"	"G"	1152	5478	5478	125	4828	2	3546	1	NA	8	NA	NA	270	NA	2.973	2.734	1.781	2.973	2.174	1.843	0.8929	NA	0.004401	NA	NA	0.3024	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae"
"Pseudanabaena sp. ABRG5-3"	"S"	685565	5372	5372	123	4719	2	3451	1	NA	8	NA	NA	261	NA	2.906	2.681	1.752	2.906	2.174	1.794	0.8929	NA	0.004401	NA	NA	0.2923	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae>Pseudanabaena"
"Pseudanabaena sp. PCC 7367"	"S"	82654	109	106	2	109	NA	95	NA	NA	NA	NA	NA	9	NA	0.06712	0.0529	0.02849	0.06712	NA	0.04939	NA	NA	NA	NA	NA	0.01008	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Pseudanabaenaceae>Pseudanabaena"
"Merismopediaceae"	"F"	1890428	390	390	11	331	NA	258	NA	NA	NA	NA	NA	15	NA	0.2038	0.1946	0.1567	0.2038	NA	0.1341	NA	NA	NA	NA	NA	0.0168	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Synechocystis"	"G"	1142	390	390	11	331	NA	258	NA	NA	NA	NA	NA	15	NA	0.2038	0.1946	0.1567	0.2038	NA	0.1341	NA	NA	NA	NA	NA	0.0168	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Merismopediaceae"
"Leptolyngbyaceae"	"F"	1890438	174	174	2	145	NA	125	NA	NA	2	NA	NA	4	NA	0.08929	0.08684	0.02849	0.08929	NA	0.06498	NA	NA	0.0011	NA	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Leptolyngbya"	"G"	47251	174	174	2	145	NA	125	NA	NA	2	NA	NA	4	NA	0.08929	0.08684	0.02849	0.08929	NA	0.06498	NA	NA	0.0011	NA	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae"
"Leptolyngbya boryana"	"S"	1184	82	82	1	72	NA	46	NA	NA	1	NA	NA	1	NA	0.04434	0.04092	0.01425	0.04434	NA	0.02391	NA	NA	0.0005501	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. NIES-3755"	"S"	1752064	52	52	1	44	NA	44	NA	NA	NA	NA	NA	1	NA	0.02709	0.02595	0.01425	0.02709	NA	0.02287	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. O-77"	"S"	1080068	25	22	NA	23	NA	25	NA	NA	NA	NA	NA	2	NA	0.01416	0.01098	NA	0.01416	NA	0.013	NA	NA	NA	NA	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Leptolyngbya sp. PCC 7376"	"S"	111781	2	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0009982	0.0009982	NA	NA	NA	NA	NA	NA	0.0005501	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Leptolyngbyaceae>Leptolyngbya"
"Prochloraceae"	"F"	1213	50	50	NA	45	NA	29	NA	NA	2	NA	NA	4	1	0.5952	0.02495	NA	0.02771	NA	0.01508	NA	NA	0.0011	NA	NA	0.004479	0.5952	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Prochlorococcus"	"G"	1218	50	50	NA	45	NA	29	NA	NA	2	NA	NA	4	1	0.5952	0.02495	NA	0.02771	NA	0.01508	NA	NA	0.0011	NA	NA	0.004479	0.5952	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae"
"Prochlorococcus marinus"	"S"	1219	50	50	NA	45	NA	29	NA	NA	2	NA	NA	4	NA	0.02771	0.02495	NA	0.02771	NA	0.01508	NA	NA	0.0011	NA	NA	0.004479	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Prochlorococcus marinus str. NATL1A"	"-"	167555	17	17	NA	11	NA	3	NA	NA	2	NA	NA	3	NA	0.008484	0.008484	NA	0.006773	NA	0.00156	NA	NA	0.0011	NA	NA	0.00336	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"Prochlorococcus marinus subsp. marinus"	"-"	142554	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006158	0.0004991	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"Prochlorococcus marinus subsp. marinus str. CCMP1375"	"-"	167539	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006158	0.0004991	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus>Prochlorococcus&nbsp;marinus&nbsp;subsp.&nbsp;marinus"
"Acaryochloridaceae"	"F"	1890429	8	8	NA	7	NA	4	NA	NA	NA	NA	NA	1	NA	0.00431	0.003993	NA	0.00431	NA	0.002079	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Acaryochloris"	"G"	155977	8	8	NA	7	NA	4	NA	NA	NA	NA	NA	1	NA	0.00431	0.003993	NA	0.00431	NA	0.002079	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae"
"Acaryochloris marina"	"S"	155978	8	8	NA	7	NA	4	NA	NA	NA	NA	NA	1	NA	0.00431	0.003993	NA	0.00431	NA	0.002079	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae>Acaryochloris"
"Acaryochloris marina MBIC11017"	"-"	329726	8	8	NA	7	NA	4	NA	NA	NA	NA	NA	1	NA	0.00431	0.003993	NA	0.00431	NA	0.002079	NA	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Acaryochloridaceae>Acaryochloris>Acaryochloris&nbsp;marina"
"Oscillatoriophycideae"	"-"	1301283	9336	9336	226	8055	NA	6196	NA	1	8	NA	NA	478	NA	4.96	4.659	3.219	4.96	NA	3.221	NA	1.562	0.004401	NA	NA	0.5353	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
