"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_june_BC01.cladeReads"	"centrifuge_16s_classification_june_BC02.cladeReads"	"centrifuge_16s_classification_june_BC03.cladeReads"	"centrifuge_16s_classification_june_BC04.cladeReads"	"centrifuge_16s_classification_june_BC05.cladeReads"	"centrifuge_16s_classification_june_BC06.cladeReads"	"centrifuge_16s_classification_june_BC07.cladeReads"	"centrifuge_16s_classification_june_BC08.cladeReads"	"centrifuge_16s_classification_june_BC09.cladeReads"	"centrifuge_16s_classification_june_BC11.cladeReads"	"centrifuge_16s_classification_june_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_june_BC01.cladeReads.."	"centrifuge_16s_classification_june_BC02.cladeReads.."	"centrifuge_16s_classification_june_BC03.cladeReads.."	"centrifuge_16s_classification_june_BC04.cladeReads.."	"centrifuge_16s_classification_june_BC05.cladeReads.."	"centrifuge_16s_classification_june_BC06.cladeReads.."	"centrifuge_16s_classification_june_BC07.cladeReads.."	"centrifuge_16s_classification_june_BC08.cladeReads.."	"centrifuge_16s_classification_june_BC09.cladeReads.."	"centrifuge_16s_classification_june_BC11.cladeReads.."	"centrifuge_16s_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	195890	195894	6781	159982	89	186508	108	63	168231	118	84013	164	98.51	97.77	96.6	98.51	96.74	96.96	96.43	98.44	92.54	98.33	94.08	97.62	"unclassified"
"root"	"-"	1	13558	4476	239	2417	3	5847	4	1	13558	2	5283	4	7.458	2.234	3.405	1.488	3.261	3.04	3.571	1.562	7.458	1.667	5.916	2.381	"root"
"cellular organisms"	"-"	131567	7490	3429	208	1817	3	4760	4	1	7490	2	4040	4	4.524	1.711	2.963	1.119	3.261	2.475	3.571	1.562	4.12	1.667	4.524	2.381	"root"
"Bacteria"	"D"	2	7169	3016	191	1503	1	4203	1	NA	7169	NA	3642	1	4.079	1.505	2.721	0.9255	1.087	2.185	0.8929	NA	3.944	NA	4.079	0.5952	"cellular&nbsp;organisms"
"environmental samples"	"-"	48479	926	484	19	274	NA	769	NA	NA	926	NA	620	1	0.6943	0.2416	0.2707	0.1687	NA	0.3998	NA	NA	0.5094	NA	0.6943	0.5952	"cellular&nbsp;organisms>Bacteria"
"uncultured bacterium"	"S"	77133	870	459	18	259	NA	704	NA	NA	870	NA	564	1	0.6316	0.2291	0.2564	0.1595	NA	0.366	NA	NA	0.4786	NA	0.6316	0.5952	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured soil bacterium"	"S"	164851	12	7	NA	NA	NA	12	NA	NA	NA	NA	5	NA	0.006238	0.003494	NA	NA	NA	0.006238	NA	NA	NA	NA	0.005599	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured marine bacterium"	"S"	56765	2	2	NA	2	NA	1	NA	NA	1	NA	2	NA	0.00224	0.0009982	NA	0.001232	NA	0.0005199	NA	NA	0.0005501	NA	0.00224	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured rumen bacterium"	"S"	136703	32	1	NA	NA	NA	3	NA	NA	32	NA	7	NA	0.0176	0.0004991	NA	NA	NA	0.00156	NA	NA	0.0176	NA	0.007839	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
"uncultured forest soil bacterium"	"S"	169009	1	1	NA	1	NA	1	NA	NA	NA	NA	1	NA	0.00112	0.0004991	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	0.00112	NA	"cellular&nbsp;organisms>Bacteria>environmental&nbsp;samples"
