"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.cladeReads"	"kraken2_classification_june_BC02.cladeReads"	"kraken2_classification_june_BC03.cladeReads"	"kraken2_classification_june_BC04.cladeReads"	"kraken2_classification_june_BC05.cladeReads"	"kraken2_classification_june_BC06.cladeReads"	"kraken2_classification_june_BC07.cladeReads"	"kraken2_classification_june_BC08.cladeReads"	"kraken2_classification_june_BC09.cladeReads"	"kraken2_classification_june_BC10.cladeReads"	"kraken2_classification_june_BC11.cladeReads"	"kraken2_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.cladeReads.."	"kraken2_classification_june_BC02.cladeReads.."	"kraken2_classification_june_BC03.cladeReads.."	"kraken2_classification_june_BC04.cladeReads.."	"kraken2_classification_june_BC05.cladeReads.."	"kraken2_classification_june_BC06.cladeReads.."	"kraken2_classification_june_BC07.cladeReads.."	"kraken2_classification_june_BC08.cladeReads.."	"kraken2_classification_june_BC09.cladeReads.."	"kraken2_classification_june_BC10.cladeReads.."	"kraken2_classification_june_BC11.cladeReads.."	"kraken2_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	141	141	92	105	37	100	49	21	26	49	22	57	77	45.83	0.07037	1.311	0.06466	40.22	0.05199	43.75	32.81	0.0143	40.83	39.29	0.06383	45.83	"unclassified"
"root"	"-"	1	200230	200229	6928	162294	55	192255	63	43	181763	71	34	89239	91	99.99	99.93	98.69	99.94	59.78	99.95	56.25	67.19	99.99	59.17	60.71	99.94	54.17	"root"
"cellular organisms"	"-"	131567	200230	200229	6928	162294	55	192255	63	43	181763	71	34	89239	91	99.99	99.93	98.69	99.94	59.78	99.95	56.25	67.19	99.99	59.17	60.71	99.94	54.17	"root"
"Bacteria"	"D"	2	200230	200227	6928	162293	55	192252	62	43	181763	70	34	89239	91	99.99	99.93	98.69	99.93	59.78	99.95	55.36	67.19	99.99	58.33	60.71	99.94	54.17	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	166160	166163	4363	144293	13	108806	15	22	73709	14	7	11734	23	88.85	82.93	62.15	88.85	14.13	56.57	13.39	34.38	40.55	11.67	12.5	13.14	13.69	"cellular&nbsp;organisms>Bacteria"
"Cyanobacteria/Melainabacteria group"	"-"	1798711	145460	145455	3776	127399	6	94009	5	10	15	3	1	6009	5	78.45	72.59	53.79	78.45	6.522	48.87	4.464	15.62	0.008251	2.5	1.786	6.729	2.976	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Cyanobacteria"	"P"	1117	145460	145455	3776	127399	6	94009	5	10	15	3	1	6009	5	78.45	72.59	53.79	78.45	6.522	48.87	4.464	15.62	0.008251	2.5	1.786	6.729	2.976	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group"
"Synechococcales"	"O"	1890424	80195	80195	2082	70570	5	53110	3	3	5	NA	1	3387	2	43.45	40.02	29.66	43.45	5.435	27.61	2.679	4.688	0.00275	NA	1.786	3.793	1.19	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Prochloraceae"	"F"	1213	41887	41887	1111	36936	3	27850	1	3	3	NA	NA	1750	NA	22.74	20.9	15.83	22.74	3.261	14.48	0.8929	4.688	0.00165	NA	NA	1.96	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales"
"Prochlorococcus"	"G"	1218	41887	41887	1111	36936	3	27850	1	3	3	NA	NA	1750	NA	22.74	20.9	15.83	22.74	3.261	14.48	0.8929	4.688	0.00165	NA	NA	1.96	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae"
"Prochlorococcus marinus"	"S"	1219	2398	2398	61	2118	NA	1597	NA	NA	NA	NA	NA	95	NA	1.304	1.197	0.8689	1.304	NA	0.8302	NA	NA	NA	NA	NA	0.1064	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus"
"Prochlorococcus marinus subsp. marinus"	"-"	142554	2194	2194	50	1944	NA	1441	NA	NA	NA	NA	NA	89	NA	1.197	1.095	0.7123	1.197	NA	0.7491	NA	NA	NA	NA	NA	0.09967	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
"Prochlorococcus marinus subsp. marinus str. CCMP1375"	"-"	167539	2194	2194	50	1944	NA	1441	NA	NA	NA	NA	NA	89	NA	1.197	1.095	0.7123	1.197	NA	0.7491	NA	NA	NA	NA	NA	0.09967	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus>Prochlorococcus&nbsp;marinus&nbsp;subsp.&nbsp;marinus"
"Prochlorococcus marinus str. NATL1A"	"-"	167555	199	199	11	166	NA	153	NA	NA	NA	NA	NA	6	NA	0.1567	0.09932	0.1567	0.1022	NA	0.07954	NA	NA	NA	NA	NA	0.006719	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Prochloraceae>Prochlorococcus>Prochlorococcus&nbsp;marinus"
