"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_june_BC01.cladeReads"	"kraken2_16s_classification_june_BC02.cladeReads"	"kraken2_16s_classification_june_BC03.cladeReads"	"kraken2_16s_classification_june_BC04.cladeReads"	"kraken2_16s_classification_june_BC05.cladeReads"	"kraken2_16s_classification_june_BC06.cladeReads"	"kraken2_16s_classification_june_BC07.cladeReads"	"kraken2_16s_classification_june_BC08.cladeReads"	"kraken2_16s_classification_june_BC09.cladeReads"	"kraken2_16s_classification_june_BC10.cladeReads"	"kraken2_16s_classification_june_BC11.cladeReads"	"kraken2_16s_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_june_BC01.cladeReads.."	"kraken2_16s_classification_june_BC02.cladeReads.."	"kraken2_16s_classification_june_BC03.cladeReads.."	"kraken2_16s_classification_june_BC04.cladeReads.."	"kraken2_16s_classification_june_BC05.cladeReads.."	"kraken2_16s_classification_june_BC06.cladeReads.."	"kraken2_16s_classification_june_BC07.cladeReads.."	"kraken2_16s_classification_june_BC08.cladeReads.."	"kraken2_16s_classification_june_BC09.cladeReads.."	"kraken2_16s_classification_june_BC10.cladeReads.."	"kraken2_16s_classification_june_BC11.cladeReads.."	"kraken2_16s_classification_june_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	160	92	160	79	64	55	83	37	40	94	49	58	140	87.5	0.04592	2.279	0.04865	69.57	0.02859	74.11	57.81	0.022	78.33	87.5	0.06495	83.33	"unclassified"
"root"	"-"	1	200280	200278	6860	162320	28	192300	29	27	181749	26	7	89238	28	99.98	99.95	97.72	99.95	30.43	99.97	25.89	42.19	99.98	21.67	12.5	99.94	16.67	"root"
"Bacteria"	"D"	3	200270	200269	6853	162308	26	192289	27	27	181744	26	7	89235	23	99.98	99.95	97.62	99.94	28.26	99.97	24.11	42.19	99.98	21.67	12.5	99.93	13.69	"root"
"Cyanobacteria"	"P"	1500	173960	173955	4536	151446	8	114467	5	13	306	6	4	7319	3	93.26	86.82	64.62	93.26	8.696	59.51	4.464	20.31	0.1683	5	7.143	8.196	1.786	"Bacteria"
"Oxyphotobacteria"	"C"	25227	173940	173942	4536	151436	8	114458	5	13	306	6	4	7305	3	93.25	86.81	64.62	93.25	8.696	59.5	4.464	20.31	0.1683	5	7.143	8.181	1.786	"Bacteria>Cyanobacteria"
"Chloroplast"	"O"	25228	173900	173905	4535	151411	7	114444	5	13	305	6	4	7181	3	93.23	86.79	64.6	93.23	7.609	59.5	4.464	20.31	0.1678	5	7.143	8.042	1.786	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Nostocales"	"O"	25273	69	24	NA	19	1	5	NA	NA	NA	NA	NA	69	NA	1.087	0.01198	NA	0.0117	1.087	0.002599	NA	NA	NA	NA	NA	0.07727	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria"
"Phormidiaceae"	"F"	25433	8	7	NA	8	NA	2	NA	NA	NA	NA	NA	6	NA	0.006719	0.003494	NA	0.004926	NA	0.00104	NA	NA	NA	NA	NA	0.006719	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Tychonema CCAP 1459-11B"	"G"	25443	7	6	NA	7	NA	1	NA	NA	NA	NA	NA	3	NA	0.00431	0.002994	NA	0.00431	NA	0.0005199	NA	NA	NA	NA	NA	0.00336	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Kamptonema PCC-6407"	"G"	25437	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Phormidiaceae"
"Nostocaceae"	"F"	25335	58	5	NA	1	NA	1	NA	NA	NA	NA	NA	58	NA	0.06495	0.002495	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	0.06495	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"uncultured"	"G"	25404	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Desmonostoc PCC-7422"	"G"	25365	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00112	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00112	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Nodularia PCC-9350"	"G"	25380	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	0.00336	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00336	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Aphanizomenon NIES81"	"G"	25346	25	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	0.028	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.028	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Nostocaceae"
"Chroococcidiopsaceae"	"F"	25276	3	3	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001497	0.001497	NA	0.0006158	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Chroococcidiopsis PCC 7203"	"G"	25280	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006158	0.0004991	NA	0.0006158	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Crinalium SAG 22.89"	"G"	25282	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004991	0.0004991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"uncultured"	"G"	25286	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0005199	0.0004991	NA	NA	NA	0.0005199	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Chroococcidiopsaceae"
"Cyanobacteriaceae"	"F"	25300	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001497	0.001497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
"Geminocystis PCC-6308"	"G"	25307	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001497	0.001497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales>Cyanobacteriaceae"
"Oscillatoriaceae"	"F"	25415	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009982	0.0009982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Cyanobacteria>Oxyphotobacteria>Nostocales"
