"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_loman_loman_bracken.kreport.cladeReads"	"Max.1"	"kraken2_16s_classification_loman_loman_bracken.kreport.cladeReads.."	"lineage"
"unclassified"	"U"	0	2978300	2978314	95.91	95.91	"unclassified"
"root"	"-"	1	148000	147998	4.766	4.766	"root"
"Bacteria"	"D"	3	111660	111655	3.596	3.596	"root"
"Firmicutes"	"P"	1672	51826	51826	1.669	1.669	"Bacteria"
"Bacilli"	"C"	1673	42480	42480	1.368	1.368	"Bacteria>Firmicutes"
"Bacillales"	"O"	1674	22602	22602	0.7278	0.7278	"Bacteria>Firmicutes>Bacilli"
"Bacillaceae"	"F"	1680	13299	13299	0.4283	0.4283	"Bacteria>Firmicutes>Bacilli>Bacillales"
"Bacillus"	"G"	1688	12579	12579	0.4051	0.4051	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Halobacillus"	"G"	1700	287	287	0.009242	0.009242	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Anoxybacillus"	"G"	1686	85	85	0.002737	0.002737	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Oceanobacillus"	"G"	1707	74	74	0.002383	0.002383	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Geobacillus"	"G"	1696	66	66	0.002125	0.002125	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Virgibacillus"	"G"	1727	34	34	0.001095	0.001095	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Aeribacillus"	"G"	1681	10	10	0.000322	0.000322	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Anaerobacillus"	"G"	1685	10	10	0.000322	0.000322	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Vulcanibacillus"	"G"	1728	8	8	0.0002576	0.0002576	"Bacteria>Firmicutes>Bacilli>Bacillales>Bacillaceae"
