"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_loman_loman.kreport.cladeReads"	"Max.1"	"centrifuge_16s_classification_loman_loman.kreport.cladeReads.."	"lineage"
"unclassified"	"U"	0	3049600	3049620	97.55	97.55	"unclassified"
"root"	"-"	1	76692	76692	2.453	2.453	"root"
"cellular organisms"	"-"	131567	67199	67199	2.149	2.149	"root"
"Bacteria"	"D"	2	45550	45550	1.457	1.457	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	27681	27681	0.8854	0.8854	"cellular&nbsp;organisms>Bacteria"
"Firmicutes"	"P"	1239	26972	26972	0.8627	0.8627	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Bacilli"	"C"	91061	26269	26269	0.8403	0.8403	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes"
"Lactobacillales"	"O"	186826	15048	15048	0.4813	0.4813	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli"
"Streptococcaceae"	"F"	1300	11778	11778	0.3767	0.3767	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales"
"Streptococcus"	"G"	1301	11745	11745	0.3757	0.3757	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae"
"Streptococcus pneumoniae"	"S"	1313	9879	9879	0.316	0.316	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pneumoniae England14-9"	"-"	1069625	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus pneumoniae SPAR48"	"-"	1159210	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;pneumoniae"
"Streptococcus agalactiae"	"S"	1311	1751	1751	0.05601	0.05601	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus agalactiae SS1219"	"-"	1265684	1749	1749	0.05594	0.05594	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;agalactiae"
"Streptococcus agalactiae 18RS21"	"-"	342613	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;agalactiae"
"environmental samples"	"-"	83426	6	6	0.0001919	0.0001919	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
