"name"	"taxRank"	"taxID"	"Max"	"Loman_centrifuge.kreport.cladeReads"	"Max.1"	"Loman_centrifuge.kreport.cladeReads.."	"lineage"
"unclassified"	"U"	0	254410	254406	8.138	8.138	"unclassified"
"root"	"-"	1	2871900	2871906	91.86	91.86	"root"
"cellular organisms"	"-"	131567	2871900	2871906	91.86	91.86	"root"
"Bacteria"	"D"	2	2868300	2868255	91.75	91.75	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	2239700	2239711	71.64	71.64	"cellular&nbsp;organisms>Bacteria"
"Firmicutes"	"P"	1239	2223200	2223186	71.11	71.11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Bacilli"	"C"	91061	2212300	2212268	70.76	70.76	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes"
"Bacillales"	"O"	1385	1429700	1429695	45.73	45.73	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli"
"Bacillaceae"	"F"	186817	624520	624515	19.98	19.98	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales"
"Bacillus"	"G"	1386	623150	623153	19.93	19.93	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Bacillus subtilis group"	"S"	653685	614000	613996	19.64	19.64	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus subtilis"	"S"	1423	610230	610233	19.52	19.52	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus subtilis subsp. spizizenii"	"-"	96241	593460	593456	18.98	18.98	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis"
"Bacillus subtilis subsp. spizizenii str. W23"	"-"	655816	592320	592318	18.95	18.95	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis>Bacillus&nbsp;subtilis&nbsp;subsp.&nbsp;spizizenii"
"Bacillus subtilis subsp. spizizenii TU-B-10"	"-"	1052585	508	508	0.01625	0.01625	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis>Bacillus&nbsp;subtilis&nbsp;subsp.&nbsp;spizizenii"
"Bacillus subtilis subsp. inaquosorum"	"-"	483913	775	775	0.02479	0.02479	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis"
"Bacillus subtilis subsp. subtilis"	"-"	135461	541	541	0.0173	0.0173	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis"
"Bacillus subtilis subsp. subtilis str. BSP1"	"-"	1192196	87	87	0.002783	0.002783	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis>Bacillus&nbsp;subtilis&nbsp;subsp.&nbsp;subtilis"
