"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC03.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC03.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	357680	15011	18004	238916	336831	2221	224974	251127	357677	242832	322023	226851	531	95.01	94.72	95.01	92.97	89.74	93.87	94.11	93.6	91.64	93.91	91.69	94.52	94.65	"unclassified"
"root"	"-"	1	38499	837	946	18079	38499	145	14074	17168	32609	15752	29172	13141	30	10.26	5.281	4.992	7.035	10.26	6.128	5.888	6.399	8.355	6.092	8.306	5.476	5.348	"root"
"Bacteria"	"D"	3	38402	830	943	18017	38402	144	14007	17075	32544	15667	29099	13084	29	10.23	5.237	4.976	7.011	10.23	6.086	5.859	6.364	8.339	6.059	8.286	5.452	5.169	"root"
"Proteobacteria"	"P"	2375	13148	287	308	5693	12924	53	2696	4259	13148	2604	9139	3068	7	3.443	1.811	1.625	2.215	3.443	2.24	1.128	1.587	3.369	1.007	2.602	1.278	1.248	"Bacteria"
"Gammaproteobacteria"	"C"	3303	12361	233	264	3349	4400	36	1877	2872	12361	1856	5947	2333	5	3.167	1.47	1.393	1.303	1.172	1.522	0.7852	1.07	3.167	0.7178	1.693	0.9721	0.8913	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	4079	154	181	2062	1954	17	1246	1969	195	1259	4079	1622	1	1.161	0.9717	0.9551	0.8024	0.5206	0.7185	0.5212	0.7339	0.04996	0.4869	1.161	0.6759	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	2770	109	131	1353	1113	12	844	1359	125	933	2770	1205	1	0.7887	0.6878	0.6913	0.5265	0.2965	0.5072	0.3531	0.5065	0.03203	0.3608	0.7887	0.5021	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Massilia"	"G"	26414	569	32	25	220	243	3	208	265	14	203	569	312	NA	0.2019	0.2019	0.1319	0.0856	0.06474	0.1268	0.08701	0.09877	0.003587	0.0785	0.162	0.13	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	213	13	4	75	106	1	82	115	2	83	213	113	NA	0.08203	0.08203	0.02111	0.02918	0.02824	0.04227	0.0343	0.04286	0.0005124	0.0321	0.06065	0.04708	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	174	6	2	115	72	2	32	60	14	52	174	69	1	0.1783	0.03786	0.01055	0.04475	0.01918	0.08453	0.01339	0.02236	0.003587	0.02011	0.04955	0.02875	0.1783	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	91	4	3	40	38	NA	19	49	3	37	91	32	NA	0.02591	0.02524	0.01583	0.01556	0.01012	NA	0.007948	0.01826	0.0007687	0.01431	0.02591	0.01333	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	86	3	3	31	29	NA	23	36	4	27	86	30	NA	0.02449	0.01893	0.01583	0.01206	0.007727	NA	0.009621	0.01342	0.001025	0.01044	0.02449	0.0125	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	68	3	3	57	26	NA	20	32	5	26	68	27	NA	0.02218	0.01893	0.01583	0.02218	0.006927	NA	0.008367	0.01193	0.001281	0.01005	0.01936	0.01125	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	146	3	3	40	46	NA	44	68	3	47	146	63	NA	0.04157	0.01893	0.01583	0.01556	0.01226	NA	0.01841	0.02535	0.0007687	0.01818	0.04157	0.02625	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	37	2	1	22	10	NA	10	14	1	12	37	14	NA	0.01262	0.01262	0.005277	0.00856	0.002664	NA	0.004183	0.005218	0.0002562	0.004641	0.01054	0.005834	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	33	2	2	9	6	NA	7	12	NA	5	33	7	NA	0.01262	0.01262	0.01055	0.003502	0.001599	NA	0.002928	0.004473	NA	0.001934	0.009396	0.002917	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	14	2	2	7	5	1	4	5	NA	5	14	3	NA	0.04227	0.01262	0.01055	0.002724	0.001332	0.04227	0.001673	0.001864	NA	0.001934	0.003986	0.00125	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	42	1	2	14	16	NA	11	16	4	17	42	10	NA	0.01196	0.00631	0.01055	0.005448	0.004263	NA	0.004602	0.005964	0.001025	0.006574	0.01196	0.004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	69	1	2	24	33	NA	12	15	NA	18	69	21	NA	0.01965	0.00631	0.01055	0.009339	0.008792	NA	0.00502	0.005591	NA	0.006961	0.01965	0.00875	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	23	1	1	23	5	NA	4	6	NA	6	20	4	NA	0.00895	0.00631	0.005277	0.00895	0.001332	NA	0.001673	0.002236	NA	0.00232	0.005695	0.001667	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Leptothrix"	"G"	26408	3	1	NA	3	1	NA	2	3	1	NA	2	2	NA	0.00631	0.00631	NA	0.001167	0.0002664	NA	0.0008367	0.001118	0.0002562	NA	0.0005695	0.0008334	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnohabitans"	"G"	26410	21	1	2	5	4	NA	6	12	7	11	21	13	NA	0.01055	0.00631	0.01055	0.001946	0.001066	NA	0.00251	0.004473	0.001794	0.004254	0.00598	0.005417	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parasutterella"	"G"	26429	6	1	NA	1	6	NA	3	3	1	1	5	1	NA	0.00631	0.00631	NA	0.0003891	0.001599	NA	0.001255	0.001118	0.0002562	0.0003867	0.001424	0.0004167	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhodoferax"	"G"	26446	17	1	NA	5	15	NA	3	15	1	6	17	6	NA	0.00631	0.00631	NA	0.001946	0.003996	NA	0.001255	0.005591	0.0002562	0.00232	0.004841	0.0025	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	43	1	1	20	24	NA	6	18	NA	5	43	11	NA	0.01224	0.00631	0.005277	0.007782	0.006394	NA	0.00251	0.006709	NA	0.001934	0.01224	0.004583	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Neisseriaceae"	"F"	26526	179	8	7	82	85	NA	65	97	17	54	179	78	NA	0.05097	0.05048	0.03694	0.03191	0.02265	NA	0.02719	0.03615	0.004356	0.02088	0.05097	0.0325	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Kingella"	"G"	26531	152	5	6	62	56	NA	56	81	2	43	152	71	NA	0.04328	0.03155	0.03166	0.02412	0.01492	NA	0.02343	0.03019	0.0005124	0.01663	0.04328	0.02958	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Neisseriaceae"
