"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_april_BC01.cladeReads"	"kraken2_classification_april_BC02.cladeReads"	"kraken2_classification_april_BC03.cladeReads"	"kraken2_classification_april_BC04.cladeReads"	"kraken2_classification_april_BC05.cladeReads"	"kraken2_classification_april_BC06.cladeReads"	"kraken2_classification_april_BC07.cladeReads"	"kraken2_classification_april_BC08.cladeReads"	"kraken2_classification_april_BC09.cladeReads"	"kraken2_classification_april_BC10.cladeReads"	"kraken2_classification_april_BC11.cladeReads"	"kraken2_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_classification_april_BC01.cladeReads.."	"kraken2_classification_april_BC02.cladeReads.."	"kraken2_classification_april_BC03.cladeReads.."	"kraken2_classification_april_BC04.cladeReads.."	"kraken2_classification_april_BC05.cladeReads.."	"kraken2_classification_april_BC06.cladeReads.."	"kraken2_classification_april_BC07.cladeReads.."	"kraken2_classification_april_BC08.cladeReads.."	"kraken2_classification_april_BC09.cladeReads.."	"kraken2_classification_april_BC10.cladeReads.."	"kraken2_classification_april_BC11.cladeReads.."	"kraken2_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1320	76	148	743	1206	61	1320	841	121	978	874	1038	61	12.01	0.5017	0.8048	0.3047	0.348	2.88	0.5887	0.3311	0.03105	0.4036	0.2628	0.4561	12.01	"unclassified"
"root"	"-"	1	390160	15772	18801	256251	374123	2305	237727	267454	390165	257606	350320	238953	500	108.8	104.1	102.2	105.1	108	108.8	106	105.3	100.1	106.3	105.3	105	98.43	"root"
"cellular organisms"	"-"	131567	390160	15772	18801	256251	374123	2305	237727	267454	390165	257606	350320	238953	500	108.8	104.1	102.2	105.1	108	108.8	106	105.3	100.1	106.3	105.3	105	98.43	"root"
"Bacteria"	"D"	2	390160	15771	18800	256241	374093	2304	237697	267427	390164	257580	350301	238933	500	108.8	104.1	102.2	105.1	107.9	108.8	106	105.3	100.1	106.3	105.3	105	98.43	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	279960	10845	15609	183254	276391	1434	111460	160268	240203	113647	279963	125504	312	84.88	71.59	84.88	75.15	79.75	67.71	49.71	63.1	61.63	46.9	84.17	55.14	61.42	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	209930	7558	13110	99426	76595	702	64941	113306	1196	66708	209927	85187	153	71.29	49.89	71.29	40.77	22.1	33.14	28.96	44.61	0.3069	27.53	63.11	37.43	30.12	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	201320	6827	12701	80324	59440	646	61433	108966	1119	64032	201317	80043	143	69.06	45.07	69.06	32.94	17.15	30.5	27.4	42.9	0.2871	26.43	60.52	35.17	28.15	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	165200	5377	11570	56864	42698	518	49200	95321	925	53287	165201	63037	117	62.91	35.49	62.91	23.32	12.32	24.46	21.94	37.53	0.2373	21.99	49.67	27.7	23.03	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Limnohabitans"	"G"	665874	51800	1677	3778	16654	14987	154	17364	34871	329	19790	51800	22309	50	20.54	11.07	20.54	6.83	4.325	7.271	7.744	13.73	0.08441	8.168	15.57	9.802	9.843	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	37602	1120	2460	10895	9299	99	10862	22418	218	12615	37602	14607	28	13.38	7.393	13.38	4.468	2.683	4.674	4.844	8.826	0.05593	5.206	11.3	6.418	5.512	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. 103DPR2"	"S"	1678129	14198	557	1317	5759	5688	55	6501	12453	110	7174	14198	7702	21	7.162	3.677	7.162	2.362	1.641	2.597	2.899	4.903	0.02822	2.961	4.268	3.384	4.134	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Acidovorax"	"G"	12916	35503	1087	2315	11117	7700	105	8773	16585	164	9624	35503	11674	9	12.59	7.175	12.59	4.559	2.222	4.958	3.912	6.53	0.04208	3.972	10.67	5.129	1.772	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Acidovorax avenae"	"S"	80867	8926	254	515	3364	2171	27	2501	4841	33	2522	8926	3213	8	2.8	1.677	2.8	1.38	0.6264	1.275	1.115	1.906	0.008467	1.041	2.683	1.412	1.575	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax carolinensis"	"S"	553814	26185	813	1762	7600	5488	76	6249	11556	130	7061	26185	8352	1	9.581	5.367	9.581	3.117	1.584	3.588	2.787	4.55	0.03336	2.914	7.872	3.67	0.1969	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. KKS102"	"S"	358220	293	19	31	129	1	NA	NA	145	NA	17	293	66	NA	0.1686	0.1254	0.1686	0.0529	0.0002886	NA	NA	0.05709	NA	0.007016	0.08809	0.029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Rhodoferax"	"G"	28065	10690	414	980	3831	2832	33	3577	7441	65	3320	10690	4687	7	5.329	2.733	5.329	1.571	0.8172	1.558	1.595	2.93	0.01668	1.37	3.214	2.059	1.378	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rhodoferax antarcticus"	"S"	81479	2549	89	199	916	614	5	710	1317	14	764	2549	1090	NA	1.082	0.5875	1.082	0.3756	0.1772	0.2361	0.3166	0.5185	0.003592	0.3153	0.7663	0.4789	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens"	"S"	192843	7463	296	731	2532	1993	21	2664	5724	50	2370	7463	3369	7	3.975	1.954	3.975	1.038	0.5751	0.9915	1.188	2.254	0.01283	0.9782	2.244	1.48	1.378	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax saidenbachensis"	"S"	1484693	440	17	13	307	146	6	132	227	NA	101	440	122	NA	0.2833	0.1122	0.07069	0.1259	0.04213	0.2833	0.05887	0.08937	NA	0.04168	0.1323	0.0536	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	238	11	36	75	78	NA	71	173	1	84	238	104	NA	0.1958	0.07261	0.1958	0.03076	0.02251	NA	0.03166	0.06811	0.0002566	0.03467	0.07155	0.0457	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Polaromonas"	"G"	52972	14594	413	1091	4029	4811	45	4526	10098	77	5384	14594	6032	15	5.933	2.726	5.933	1.652	1.388	2.125	2.018	3.976	0.01976	2.222	4.387	2.65	2.953	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Polaromonas naphthalenivorans"	"S"	216465	6386	192	528	1581	1661	20	1832	4373	37	1807	6386	2567	5	2.871	1.267	2.871	0.6484	0.4793	0.9443	0.817	1.722	0.009493	0.7458	1.92	1.128	0.9843	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
