"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_april_BC01.cladeReads"	"kraken2_16s_k21_classification_april_BC02.cladeReads"	"kraken2_16s_k21_classification_april_BC03.cladeReads"	"kraken2_16s_k21_classification_april_BC04.cladeReads"	"kraken2_16s_k21_classification_april_BC05.cladeReads"	"kraken2_16s_k21_classification_april_BC06.cladeReads"	"kraken2_16s_k21_classification_april_BC07.cladeReads"	"kraken2_16s_k21_classification_april_BC08.cladeReads"	"kraken2_16s_k21_classification_april_BC09.cladeReads"	"kraken2_16s_k21_classification_april_BC10.cladeReads"	"kraken2_16s_k21_classification_april_BC11.cladeReads"	"kraken2_16s_k21_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_april_BC01.cladeReads.."	"kraken2_16s_k21_classification_april_BC02.cladeReads.."	"kraken2_16s_k21_classification_april_BC03.cladeReads.."	"kraken2_16s_k21_classification_april_BC04.cladeReads.."	"kraken2_16s_k21_classification_april_BC05.cladeReads.."	"kraken2_16s_k21_classification_april_BC06.cladeReads.."	"kraken2_16s_k21_classification_april_BC07.cladeReads.."	"kraken2_16s_k21_classification_april_BC08.cladeReads.."	"kraken2_16s_k21_classification_april_BC09.cladeReads.."	"kraken2_16s_k21_classification_april_BC10.cladeReads.."	"kraken2_16s_k21_classification_april_BC11.cladeReads.."	"kraken2_16s_k21_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	79	19	79	38	59	76	41	29	8	33	34	53	72	13.66	0.133	0.4779	0.01641	0.01745	3.519	0.01829	0.01187	0.002085	0.01367	0.01096	0.02394	13.66	"unclassified"
"root"	"-"	1	390280	15829	18871	256957	375271	2290	239007	268266	390278	258551	351161	239939	489	114.2	110.8	114.2	110.9	111	106	106.6	109.8	101.7	107.1	113.2	108.4	92.79	"root"
"Bacteria"	"D"	3	390280	15829	18871	256957	375266	2290	239005	268265	390277	258549	351158	239938	489	114.2	110.8	114.2	110.9	111	106	106.6	109.8	101.7	107.1	113.2	108.4	92.79	"root"
"Proteobacteria"	"P"	2375	270320	9652	14383	147719	261096	1204	75860	137576	240609	75930	270320	97580	255	87.18	67.54	87.01	63.78	77.23	55.74	33.84	56.31	62.7	31.45	87.18	44.07	48.39	"Bacteria"
"Gammaproteobacteria"	"C"	3303	240390	8900	14026	113799	126816	986	67837	120024	240393	68990	228440	91091	211	84.85	62.28	84.85	49.13	37.51	45.65	30.26	49.12	62.64	28.57	73.67	41.14	40.04	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	212470	7676	13303	100911	77573	723	63412	113220	1312	65308	212470	84684	147	80.48	53.71	80.48	43.57	22.94	33.47	28.29	46.34	0.3419	27.05	68.52	38.25	27.89	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	203740	7041	13088	84223	63020	670	60647	110002	1243	63642	203744	81456	131	79.18	49.27	79.18	36.36	18.64	31.02	27.05	45.02	0.3239	26.36	65.71	36.79	24.86	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Rhodoferax"	"G"	26446	24018	840	1786	7811	6140	79	7490	15133	151	7559	24018	9582	14	10.8	5.878	10.8	3.372	1.816	3.657	3.341	6.194	0.03935	3.131	7.746	4.328	2.657	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnohabitans"	"G"	26410	19402	643	1460	6282	5261	62	6043	12174	135	6805	19402	8071	14	8.832	4.499	8.832	2.712	1.556	2.87	2.696	4.983	0.03518	2.818	6.257	3.645	2.657	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	17350	594	1300	6454	4739	63	5161	10166	101	5579	17350	6611	5	7.864	4.156	7.864	2.787	1.402	2.917	2.302	4.161	0.02632	2.311	5.595	2.986	0.9488	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	20240	570	1055	7015	4073	46	4556	8456	92	4907	20240	6217	9	6.527	3.989	6.382	3.029	1.205	2.13	2.032	3.461	0.02397	2.032	6.527	2.808	1.708	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	8527	376	469	6219	4477	38	2735	4684	63	2730	8527	3917	5	2.837	2.631	2.837	2.685	1.324	1.759	1.22	1.917	0.01642	1.131	2.75	1.769	0.9488	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Massilia"	"G"	26414	9234	334	406	3805	3704	37	3099	4749	51	3250	9234	4627	6	2.978	2.337	2.456	1.643	1.096	1.713	1.382	1.944	0.01329	1.346	2.978	2.09	1.139	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	10369	286	369	4067	2757	27	2647	3272	51	2550	10369	3463	7	3.344	2.001	2.232	1.756	0.8154	1.25	1.181	1.339	0.01329	1.056	3.344	1.564	1.328	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	5596	221	430	2270	1684	10	1888	3462	45	1745	5596	2250	5	2.601	1.546	2.601	0.9801	0.4981	0.463	0.8422	1.417	0.01173	0.7227	1.805	1.016	0.9488	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	6512	195	410	1987	2124	18	1960	3969	45	2259	6512	2494	8	2.48	1.364	2.48	0.8579	0.6282	0.8333	0.8743	1.624	0.01173	0.9356	2.1	1.126	1.518	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	5016	180	357	1985	1512	15	1513	2914	36	1710	5016	1929	4	2.16	1.26	2.16	0.857	0.4472	0.6944	0.6749	1.193	0.009381	0.7082	1.618	0.8713	0.759	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	5234	177	315	2496	1728	27	1615	2717	23	1609	5234	1942	3	1.906	1.239	1.906	1.078	0.5111	1.25	0.7204	1.112	0.005993	0.6664	1.688	0.8771	0.5693	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	4237	161	267	1751	1233	22	1092	2134	28	1171	4237	1408	3	1.615	1.127	1.615	0.756	0.3647	1.019	0.4871	0.8734	0.007296	0.485	1.366	0.6359	0.5693	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	4080	146	261	1512	1075	16	1130	2318	19	1232	4080	1533	3	1.579	1.022	1.579	0.6528	0.318	0.7407	0.5041	0.9487	0.004951	0.5103	1.316	0.6924	0.5693	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
