"name"	"taxRank"	"taxID"	"Max"	"BC01.cladeReads"	"BC02.cladeReads"	"BC03.cladeReads"	"BC04.cladeReads"	"BC05.cladeReads"	"BC06.cladeReads"	"BC07.cladeReads"	"BC08.cladeReads"	"BC09.cladeReads"	"BC10.cladeReads"	"BC11.cladeReads"	"BC12.cladeReads"	"Max.1"	"BC01.cladeReads.."	"BC02.cladeReads.."	"BC03.cladeReads.."	"BC04.cladeReads.."	"BC05.cladeReads.."	"BC06.cladeReads.."	"BC07.cladeReads.."	"BC08.cladeReads.."	"BC09.cladeReads.."	"BC10.cladeReads.."	"BC11.cladeReads.."	"BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	3879	234	358	2302	3686	90	3879	2877	1753	3128	3258	3407	65	11.59	1.477	1.889	0.8957	0.9821	3.804	1.623	1.072	0.4492	1.21	0.9277	1.42	11.59	"unclassified"
"root"	"-"	1	388530	15614	18592	254693	371644	2276	235169	265418	388533	255456	347937	236585	496	99.55	98.52	98.11	99.1	99.02	96.2	98.38	98.93	99.55	98.79	99.07	98.58	88.41	"root"
"cellular organisms"	"-"	131567	388530	15614	18592	254693	371644	2276	235169	265418	388533	255456	347937	236585	496	99.55	98.52	98.11	99.1	99.02	96.2	98.38	98.93	99.55	98.79	99.07	98.58	88.41	"root"
"Bacteria"	"D"	2	388520	15603	18583	254611	371464	2273	234816	265252	388523	255220	347830	236414	495	99.55	98.45	98.06	99.07	98.97	96.07	98.23	98.87	99.55	98.7	99.04	98.51	88.24	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	259000	10150	14296	171746	255455	1349	108256	152420	238145	110784	258997	120563	302	75.44	64.05	75.44	66.83	68.06	57.02	45.29	56.81	61.02	42.84	73.75	50.24	53.83	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	181310	6531	10963	85601	69293	620	56204	98743	2771	57463	181314	73855	131	57.85	41.21	57.85	33.31	18.46	26.2	23.51	36.8	0.71	22.22	51.63	30.77	23.35	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	153740	4968	9385	55715	43451	503	45737	83676	1804	48222	153737	59609	107	49.53	31.35	49.53	21.68	11.58	21.26	19.13	31.19	0.4622	18.65	43.78	24.84	19.07	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	116890	3645	7715	37370	29382	353	34491	68302	1002	37278	116894	44136	82	40.71	23	40.71	14.54	7.828	14.92	14.43	25.46	0.2567	14.42	33.28	18.39	14.62	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Limnohabitans"	"G"	665874	41435	1109	2567	11555	10343	120	12685	26338	353	14726	41435	16492	20	13.55	6.998	13.55	4.496	2.756	5.072	5.306	9.817	0.09045	5.695	11.8	6.872	3.565	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	34278	865	2004	8711	7695	86	9501	20132	282	11095	34278	12770	12	10.58	5.458	10.58	3.39	2.05	3.635	3.975	7.504	0.07225	4.291	9.76	5.321	2.139	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. 103DPR2"	"S"	1678129	7154	244	563	2844	2648	34	3181	6203	71	3628	7154	3722	8	2.971	1.54	2.971	1.107	0.7055	1.437	1.331	2.312	0.01819	1.403	2.037	1.551	1.426	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Rhodoferax"	"G"	28065	19395	716	1601	7113	4982	49	6422	13419	203	5834	19395	8013	15	8.449	4.518	8.449	2.768	1.327	2.071	2.686	5.002	0.05201	2.256	5.523	3.339	2.674	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rhodoferax ferrireducens"	"S"	192843	7909	277	642	2687	1990	16	2499	5533	85	2291	7909	3298	6	3.388	1.748	3.388	1.046	0.5302	0.6762	1.045	2.062	0.02178	0.886	2.252	1.374	1.07	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
