"name"	"taxRank"	"taxID"	"Max"	"BC01.cladeReads"	"BC02.cladeReads"	"BC03.cladeReads"	"BC04.cladeReads"	"BC05.cladeReads"	"BC06.cladeReads"	"BC07.cladeReads"	"BC08.cladeReads"	"BC09.cladeReads"	"BC10.cladeReads"	"BC11.cladeReads"	"BC12.cladeReads"	"Max.1"	"BC01.cladeReads.."	"BC02.cladeReads.."	"BC03.cladeReads.."	"BC04.cladeReads.."	"BC05.cladeReads.."	"BC06.cladeReads.."	"BC07.cladeReads.."	"BC08.cladeReads.."	"BC09.cladeReads.."	"BC10.cladeReads.."	"BC11.cladeReads.."	"BC12.cladeReads.."	"lineage"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	34278	865	2004	8711	7695	86	9501	20132	282	11095	34278	12770	12	14.13	7.254	14.13	4.446	2.824	5.062	5.703	10.09	0.07592	5.883	13.01	7.287	3.15	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. 103DPR2"	"S"	1678129	7154	244	563	2844	2648	34	3181	6203	71	3628	7154	3722	8	3.97	2.046	3.97	1.451	0.9719	2.001	1.909	3.108	0.01911	1.924	2.715	2.124	2.1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Rhodoferax ferrireducens"	"S"	192843	7909	277	642	2687	1990	16	2499	5533	85	2291	7909	3298	6	4.528	2.323	4.528	1.371	0.7304	0.9417	1.5	2.772	0.02288	1.215	3.002	1.882	1.575	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax saidenbachensis"	"S"	1484693	4221	196	394	1730	1218	13	1626	3391	46	1384	4221	1806	3	2.779	1.644	2.779	0.8829	0.4471	0.7652	0.976	1.699	0.01238	0.7338	1.602	1.031	0.7874	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax antarcticus"	"S"	81479	4205	136	292	1502	938	13	1241	2526	36	1137	4205	1659	4	2.059	1.141	2.059	0.7665	0.3443	0.7652	0.7449	1.266	0.009692	0.6029	1.596	0.9467	1.05	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	1463	48	122	624	436	2	483	935	13	480	1463	572	2	0.8604	0.4025	0.8604	0.3185	0.16	0.1177	0.2899	0.4685	0.0035	0.2545	0.5553	0.3264	0.5249	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Acidovorax sp. RAC01"	"S"	1842533	2211	60	134	637	469	8	550	1237	12	582	2211	714	1	0.945	0.5032	0.945	0.3251	0.1721	0.4709	0.3301	0.6198	0.003231	0.3086	0.8392	0.4074	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. NA2"	"S"	1662456	715	39	74	246	215	1	230	412	2	262	715	302	NA	0.5219	0.3271	0.5219	0.1255	0.07891	0.05886	0.1381	0.2064	0.0005384	0.1389	0.2714	0.1723	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. T1"	"S"	1858609	485	11	8	126	49	NA	46	153	3	46	485	94	1	0.2625	0.09225	0.05642	0.0643	0.01799	NA	0.02761	0.07666	0.0008077	0.02439	0.1841	0.05364	0.2625	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. NA3"	"S"	553814	334	7	1	70	18	NA	36	41	2	31	334	52	NA	0.1268	0.05871	0.007052	0.03572	0.006607	NA	0.02161	0.02054	0.0005384	0.01644	0.1268	0.02967	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
