"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_april_BC01.cladeReads"	"kraken2_classification_april_BC02.cladeReads"	"kraken2_classification_april_BC03.cladeReads"	"kraken2_classification_april_BC04.cladeReads"	"kraken2_classification_april_BC05.cladeReads"	"kraken2_classification_april_BC06.cladeReads"	"kraken2_classification_april_BC07.cladeReads"	"kraken2_classification_april_BC08.cladeReads"	"kraken2_classification_april_BC09.cladeReads"	"kraken2_classification_april_BC10.cladeReads"	"kraken2_classification_april_BC11.cladeReads"	"kraken2_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_classification_april_BC01.cladeReads.."	"kraken2_classification_april_BC02.cladeReads.."	"kraken2_classification_april_BC03.cladeReads.."	"kraken2_classification_april_BC04.cladeReads.."	"kraken2_classification_april_BC05.cladeReads.."	"kraken2_classification_april_BC06.cladeReads.."	"kraken2_classification_april_BC07.cladeReads.."	"kraken2_classification_april_BC08.cladeReads.."	"kraken2_classification_april_BC09.cladeReads.."	"kraken2_classification_april_BC10.cladeReads.."	"kraken2_classification_april_BC11.cladeReads.."	"kraken2_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1320	76	148	743	1206	61	1320	841	121	978	874	1038	61	10.87	0.4796	0.781	0.2891	0.3213	2.578	0.5522	0.3135	0.031	0.3782	0.2489	0.4325	10.87	"unclassified"
"root"	"-"	1	390160	15772	18802	256252	374124	2305	237728	267454	390165	257606	350321	238954	500	99.97	99.52	99.22	99.71	99.68	97.42	99.45	99.69	99.97	99.62	99.75	99.57	89.13	"root"
"cellular organisms"	"-"	131567	390160	15772	18802	256252	374124	2305	237728	267454	390165	257606	350321	238954	500	99.97	99.52	99.22	99.71	99.68	97.42	99.45	99.69	99.97	99.62	99.75	99.57	89.13	"root"
"Bacteria"	"D"	2	390160	15771	18801	256242	374094	2304	237698	267427	390164	257580	350302	238934	500	99.97	99.51	99.21	99.71	99.67	97.38	99.44	99.68	99.97	99.61	99.75	99.56	89.13	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	276380	10683	15443	180331	270307	1384	106259	156529	239771	109340	276384	121861	300	81.49	67.41	81.49	70.17	72.02	58.5	44.45	58.34	61.43	42.28	78.7	50.78	53.48	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	208660	7525	13059	98769	76310	701	64284	112544	1196	66035	208657	84618	153	68.91	47.48	68.91	38.43	20.33	29.63	26.89	41.95	0.3064	25.54	59.41	35.26	27.27	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	197370	6626	12438	77335	57651	625	59833	106838	1093	62488	197374	78097	136	65.64	41.81	65.64	30.09	15.36	26.42	25.03	39.82	0.2801	24.17	56.2	32.54	24.24	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	158300	5046	11059	52689	40264	476	46841	91752	880	50868	158298	60052	103	58.36	31.84	58.36	20.5	10.73	20.12	19.59	34.2	0.2255	19.67	45.07	25.02	18.36	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Limnohabitans"	"G"	665874	35920	1097	2448	10831	9816	99	11788	23820	225	13791	35920	15102	23	12.92	6.922	12.92	4.214	2.615	4.184	4.931	8.878	0.05765	5.333	10.23	6.293	4.1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	25351	693	1522	6679	5703	58	7062	14772	142	8468	25351	9479	12	8.032	4.373	8.032	2.599	1.519	2.451	2.954	5.506	0.03638	3.275	7.218	3.95	2.139	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
