"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_april_BC01.cladeReads"	"kraken2_16s_k21_classification_april_BC02.cladeReads"	"kraken2_16s_k21_classification_april_BC03.cladeReads"	"kraken2_16s_k21_classification_april_BC04.cladeReads"	"kraken2_16s_k21_classification_april_BC05.cladeReads"	"kraken2_16s_k21_classification_april_BC06.cladeReads"	"kraken2_16s_k21_classification_april_BC07.cladeReads"	"kraken2_16s_k21_classification_april_BC08.cladeReads"	"kraken2_16s_k21_classification_april_BC09.cladeReads"	"kraken2_16s_k21_classification_april_BC10.cladeReads"	"kraken2_16s_k21_classification_april_BC11.cladeReads"	"kraken2_16s_k21_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_april_BC01.cladeReads.."	"kraken2_16s_k21_classification_april_BC02.cladeReads.."	"kraken2_16s_k21_classification_april_BC03.cladeReads.."	"kraken2_16s_k21_classification_april_BC04.cladeReads.."	"kraken2_16s_k21_classification_april_BC05.cladeReads.."	"kraken2_16s_k21_classification_april_BC06.cladeReads.."	"kraken2_16s_k21_classification_april_BC07.cladeReads.."	"kraken2_16s_k21_classification_april_BC08.cladeReads.."	"kraken2_16s_k21_classification_april_BC09.cladeReads.."	"kraken2_16s_k21_classification_april_BC10.cladeReads.."	"kraken2_16s_k21_classification_april_BC11.cladeReads.."	"kraken2_16s_k21_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	79	19	79	38	59	76	41	29	8	33	34	53	72	12.83	0.1199	0.4169	0.01479	0.01572	3.212	0.01715	0.01081	0.00205	0.01276	0.009681	0.02208	12.83	"unclassified"
"root"	"-"	1	390280	15829	18871	256957	375271	2290	239007	268266	390278	258551	351161	239939	489	100	99.88	99.58	99.99	99.98	96.79	99.98	99.99	100	99.99	99.99	99.98	87.17	"root"
"Bacteria"	"D"	3	390280	15829	18871	256957	375266	2290	239005	268265	390277	258549	351158	239938	489	100	99.88	99.58	99.99	99.98	96.79	99.98	99.99	100	99.99	99.99	99.98	87.17	"root"
"Proteobacteria"	"P"	2375	270320	9652	14383	147719	261096	1204	75860	137576	240609	75930	270320	97580	255	76.97	60.9	75.9	57.48	69.56	50.89	31.73	51.28	61.65	29.36	76.97	40.66	45.45	"Bacteria"
"Gammaproteobacteria"	"C"	3303	240390	8900	14026	113799	126816	986	67837	120024	240393	68990	228440	91091	211	74.02	56.16	74.02	44.28	33.79	41.67	28.38	44.74	61.59	26.68	65.05	37.96	37.61	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	212470	7676	13303	100911	77573	723	63412	113220	1312	65308	212470	84684	147	70.2	48.44	70.2	39.27	20.67	30.56	26.53	42.2	0.3362	25.26	60.5	35.29	26.2	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	203740	7041	13088	84223	63020	670	60647	110002	1243	63642	203744	81456	131	69.07	44.43	69.07	32.77	16.79	28.32	25.37	41	0.3185	24.61	58.01	33.94	23.35	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Rhodoferax"	"G"	26446	24018	840	1786	7811	6140	79	7490	15133	151	7559	24018	9582	14	9.425	5.3	9.425	3.039	1.636	3.339	3.133	5.64	0.03869	2.923	6.839	3.993	2.496	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnohabitans"	"G"	26410	19402	643	1460	6282	5261	62	6043	12174	135	6805	19402	8071	14	7.704	4.057	7.704	2.444	1.402	2.62	2.528	4.538	0.03459	2.632	5.525	3.363	2.496	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	17350	594	1300	6454	4739	63	5161	10166	101	5579	17350	6611	5	6.86	3.748	6.86	2.511	1.263	2.663	2.159	3.789	0.02588	2.158	4.94	2.755	0.8913	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	20240	570	1055	7015	4073	46	4556	8456	92	4907	20240	6217	9	5.763	3.597	5.567	2.73	1.085	1.944	1.906	3.152	0.02357	1.898	5.763	2.591	1.604	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	8527	376	469	6219	4477	38	2735	4684	63	2730	8527	3917	5	2.475	2.373	2.475	2.42	1.193	1.606	1.144	1.746	0.01614	1.056	2.428	1.632	0.8913	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Massilia"	"G"	26414	9234	334	406	3805	3704	37	3099	4749	51	3250	9234	4627	6	2.629	2.108	2.142	1.481	0.9869	1.564	1.296	1.77	0.01307	1.257	2.629	1.928	1.07	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	10369	286	369	4067	2757	27	2647	3272	51	2550	10369	3463	7	2.952	1.805	1.947	1.583	0.7346	1.141	1.107	1.22	0.01307	0.9861	2.952	1.443	1.248	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	5596	221	430	2270	1684	10	1888	3462	45	1745	5596	2250	5	2.269	1.394	2.269	0.8833	0.4487	0.4227	0.7898	1.29	0.01153	0.6748	1.593	0.9375	0.8913	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	6512	195	410	1987	2124	18	1960	3969	45	2259	6512	2494	8	2.164	1.23	2.164	0.7732	0.5659	0.7608	0.8199	1.479	0.01153	0.8736	1.854	1.039	1.426	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	5016	180	357	1985	1512	15	1513	2914	36	1710	5016	1929	4	1.884	1.136	1.884	0.7724	0.4028	0.634	0.6329	1.086	0.009224	0.6613	1.428	0.8038	0.713	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	5234	177	315	2496	1728	27	1615	2717	23	1609	5234	1942	3	1.662	1.117	1.662	0.9712	0.4604	1.141	0.6756	1.013	0.005893	0.6222	1.49	0.8092	0.5348	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	4237	161	267	1751	1233	22	1092	2134	28	1171	4237	1408	3	1.409	1.016	1.409	0.6813	0.3285	0.9298	0.4568	0.7954	0.007174	0.4529	1.206	0.5867	0.5348	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	4080	146	261	1512	1075	16	1130	2318	19	1232	4080	1533	3	1.377	0.9213	1.377	0.5883	0.2864	0.6762	0.4727	0.864	0.004868	0.4764	1.162	0.6388	0.5348	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	5150	140	238	1423	1259	13	1185	1951	22	1304	5150	1601	4	1.466	0.8834	1.256	0.5537	0.3354	0.5495	0.4957	0.7272	0.005637	0.5043	1.466	0.6671	0.713	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	1990	130	124	1020	1153	8	1006	1449	15	917	1538	1990	3	0.8292	0.8203	0.6544	0.3969	0.3072	0.3381	0.4208	0.5401	0.003843	0.3546	0.4379	0.8292	0.5348	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	3640	114	226	1327	991	10	1050	2004	12	1162	3640	1347	4	1.193	0.7193	1.193	0.5164	0.264	0.4227	0.4392	0.7469	0.003075	0.4494	1.036	0.5613	0.713	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	3192	105	178	1801	1321	12	999	1321	18	974	3192	1473	2	0.9393	0.6625	0.9393	0.7008	0.352	0.5072	0.4179	0.4924	0.004612	0.3767	0.9089	0.6138	0.3565	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
