readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
de3b2866-70a7-4e9c-bd7d-6b491db3e9f3	cid|79329	79329	2401	289	64	1398	1
c54fe9b8-627c-45a7-8ec0-81500b764844	cid|467094	467094	2500	2500	65	1454	2
c54fe9b8-627c-45a7-8ec0-81500b764844	cid|84163	84163	2500	2500	65	1454	2
67289fe9-41f4-46f5-b70f-1179bc4bbddc	cid|1763535	1763535	1883	0	116	1473	1
bface3cc-b7f4-4fd2-8083-06434c03bf02	cid|1842533	1842533	1681	0	56	1460	1
63cf6ed3-963f-4e8f-9fc1-42ea965d130b	cid|34018	34018	1681	0	56	1446	1
6687a2b3-8ee3-4e71-8b00-84158790c1b2	cid|153948	153948	610	256	62	1382	1
3cd10c01-2c5b-44f1-a11f-f6fa2cd1f18c	cid|55197	55197	4148	0	116	1460	1
ff5aa7c6-1085-46a0-9714-4fee0a1fdf40	cid|341045	341045	961	0	46	1439	1
d7a75aa5-4ba6-42ed-b601-7391ccefa037	cid|1173263	1173263	676	0	41	1420	1
ae0ee897-7566-4573-9e46-ab665ba5ba32	cid|948519	948519	2916	0	69	1507	1
ea6ebfa5-9808-4270-9e5a-5069e50a9a50	cid|994696	994696	1868	1868	146	1444	2
ea6ebfa5-9808-4270-9e5a-5069e50a9a50	cid|994695	994695	1868	1868	146	1444	2
7b4b16e2-659e-4fae-ba3a-6276e58a054b	cid|168169	168169	1024	0	47	1435	1
7960f0be-c70c-41f8-8516-d2a8956565d3	cid|1662456	1662456	1369	1369	52	1477	5
7960f0be-c70c-41f8-8516-d2a8956565d3	cid|1662458	1662458	1369	1369	52	1477	5
7960f0be-c70c-41f8-8516-d2a8956565d3	cid|1662457	1662457	1369	1369	52	1477	5
7960f0be-c70c-41f8-8516-d2a8956565d3	cid|1842533	1842533	1369	1369	52	1477	5
7960f0be-c70c-41f8-8516-d2a8956565d3	cid|553814	553814	1369	1369	52	1477	5
1310d59f-fff8-4592-bbef-5d86a95632e5	cid|649841	649841	5776	0	91	1416	1
08a97868-599e-4199-82c5-4f4319ba72f9	cid|28087	28087	1764	1444	57	1376	1
3d1beac4-b894-47ba-af2b-e0c17fb3b950	cid|2109915	2109915	9962	0	170	1476	1
fe45df80-3d84-40c4-80f6-36569392a49b	cid|81479	81479	1681	0	56	1490	1
9e953308-94ca-4eb4-9aac-4d9d43162e19	cid|192843	192843	932	0	72	1455	1
cb702128-8106-4339-8ac0-5ce7fe775194	cid|1858609	1858609	5397	0	162	1519	1
ffc1a51f-a241-4a95-8f18-3c14a4b47fce	cid|1678128	1678128	1781	0	112	1175	1
1a350600-47a7-4ec6-8be3-20656853fbf9	cid|192843	192843	3485	0	99	1075	1
bfc90ed0-db3f-48b1-9cc3-2753e495817c	cid|316068	316068	1210	845	74	1418	1
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	cid|75906	75906	1089	1089	48	1321	5
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	cid|136094	136094	1089	1089	48	1321	5
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	cid|940	940	1089	1089	48	1321	5
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	cid|63363	63363	1089	1089	48	1321	5
932c9c1e-b89a-4a59-b8bc-5bafe38fdeaa	cid|309805	309805	1089	1089	48	1321	5
0106534f-fd06-43e8-b617-1dd21a5ca2bb	cid|2350	2350	10289	0	551	1441	1
290f0dd6-eae8-4dfa-ba0e-4d9eb9cd02d3	cid|1002672	1002672	3025	3025	70	1333	2
290f0dd6-eae8-4dfa-ba0e-4d9eb9cd02d3	cid|1182568	1182568	3025	3025	70	1333	2
8baf6925-bb40-468f-b6c8-93b0085f6b48	cid|63	63	576	576	39	1449	2
8baf6925-bb40-468f-b6c8-93b0085f6b48	cid|337	337	576	576	39	1449	2
cf605c27-d62c-48c7-84db-4ff43d7b4ec0	cid|418699	418699	9169	9169	157	1481	2
cf605c27-d62c-48c7-84db-4ff43d7b4ec0	cid|62928	62928	9169	9169	157	1481	2
246a1b18-7279-4e0c-80b1-f34729b55bda	cid|643674	643674	1296	0	51	1417	1
15b5f1ef-56cb-46c0-834e-54d77ebe073e	cid|1678128	1678128	2209	0	62	2957	1
33e88321-33f2-43bc-866a-a7a12680139c	cid|296591	296591	841	0	44	1344	1
7051de19-d3db-45e1-855d-252ca9a0aa83	cid|192843	192843	3546	0	114	1497	1
23d2c600-0198-49b8-bcfc-3632ef568cd6	cid|853	853	841	0	44	1440	1
e0347df4-7532-4346-9ae8-c4c5036cbb1e	cid|285	285	11664	0	123	1990	1
45678018-7d93-4db7-8807-a4599dd3ba69	cid|948519	948519	1764	0	57	1453	1
9541d721-e51d-4811-8a4e-d3054808d47d	cid|1842537	1842537	986	0	97	1413	1
a1ddabed-23ef-4afa-b019-8bd5f1956d0a	cid|2033869	2033869	4761	0	84	2617	1
372372e4-26c1-4e7f-ac9f-b58ae9cc2541	cid|1834519	1834519	900	484	45	1093	1
debdebf7-5a8a-4876-a907-66bc0d402c0d	cid|359408	359408	2938	2938	104	1485	2
debdebf7-5a8a-4876-a907-66bc0d402c0d	cid|1055487	1055487	2938	2938	104	1485	2
5c5be6e2-15c0-404d-952c-fe3d4e2233dc	cid|944547	944547	4312	0	253	1429	1
38a6e754-71d6-46ff-804c-5399760af93b	cid|1850250	1850250	484	0	37	1304	1
0a281040-911a-4da1-9af0-21eccaf118ac	cid|92947	92947	5776	0	91	1424	1
540277f2-5f1a-448c-ae7a-2789939364d5	cid|1850254	1850254	1777	0	118	1488	1
d514d1cb-1527-4e6a-b1ad-f8636b96024a	cid|959	959	1681	808	56	1488	1
aba78896-2fb3-436d-b12c-37104e317390	cid|1768242	1768242	729	0	42	1522	1
a00236a3-f425-45cc-9c78-3456bcf533ee	cid|187101	187101	484	0	37	1314	1
1b9a7af2-c3df-4111-b35b-958344049069	cid|192843	192843	5329	0	88	2887	1
2f07493c-f42b-4df1-9e61-e4ce4766ffef	cid|1678129	1678129	1024	1024	47	1444	2
2f07493c-f42b-4df1-9e61-e4ce4766ffef	cid|1842537	1842537	1024	1024	47	1444	2
7867986b-da1d-43a6-8b96-1cf06101bafe	cid|2743	2743	529	529	38	1438	4
7867986b-da1d-43a6-8b96-1cf06101bafe	cid|330734	330734	529	529	38	1438	4
7867986b-da1d-43a6-8b96-1cf06101bafe	cid|1749259	1749259	529	529	38	1438	4
7867986b-da1d-43a6-8b96-1cf06101bafe	cid|490759	490759	529	529	38	1438	4
7a075e84-bb5a-4c8f-ae3f-fdcc8e9da33d	cid|29546	29546	1156	1156	49	1440	2
7a075e84-bb5a-4c8f-ae3f-fdcc8e9da33d	cid|45663	45663	1156	1156	49	1440	2
b289fe93-889c-40aa-9e77-e2c69ad1738b	cid|985	985	1898	361	90	1168	1
96960afb-add3-4569-b592-2b0e99c75c38	cid|1662456	1662456	5369	5369	162	1441	3
96960afb-add3-4569-b592-2b0e99c75c38	cid|1858609	1858609	5369	5369	162	1441	3
96960afb-add3-4569-b592-2b0e99c75c38	cid|553814	553814	5369	5369	162	1441	3
c8dec78f-2aed-4eb4-9a61-92fc63218957	species	1644131	361	361	34	1438	5
c8dec78f-2aed-4eb4-9a61-92fc63218957	species	368607	361	361	34	1438	5
c8dec78f-2aed-4eb4-9a61-92fc63218957	genus	149698	361	361	34	1438	5
c8dec78f-2aed-4eb4-9a61-92fc63218957	species	55508	361	361	34	1438	5
c8dec78f-2aed-4eb4-9a61-92fc63218957	species	1938606	361	361	34	1438	5
191317a0-c349-40cc-84e3-3a1878c79f05	cid|81479	81479	1763	0	106	1540	1
e594aedf-bc07-4413-9d0e-550410bcdced	cid|60520	60520	784	676	43	1047	1
754e9d1a-bd00-4d8b-b43d-efd916a25a8f	cid|1134687	1134687	784	784	43	1155	2
754e9d1a-bd00-4d8b-b43d-efd916a25a8f	cid|29484	29484	784	784	43	1155	2
d7d5577f-4ad3-426f-b9ba-762960f7f0b0	cid|576610	576610	5594	5594	132	1488	3
d7d5577f-4ad3-426f-b9ba-762960f7f0b0	cid|576611	576611	5594	5594	132	1488	3
d7d5577f-4ad3-426f-b9ba-762960f7f0b0	cid|543913	543913	5594	5594	132	1488	3
2d1254f1-c0c7-46da-83c8-6182d150ddee	cid|76731	76731	2809	2809	68	1485	2
2d1254f1-c0c7-46da-83c8-6182d150ddee	cid|358220	358220	2809	2809	68	1485	2
fffb5fdb-c3c4-46dd-a4a1-5edd38942934	cid|1147129	1147129	676	676	41	1513	2
fffb5fdb-c3c4-46dd-a4a1-5edd38942934	cid|1131462	1131462	676	676	41	1513	2
3599b63a-724a-4e3a-8c35-6a0581f43aab	cid|296591	296591	324	324	33	1407	4
3599b63a-724a-4e3a-8c35-6a0581f43aab	cid|1620215	1620215	324	324	33	1407	4
3599b63a-724a-4e3a-8c35-6a0581f43aab	cid|1581557	1581557	324	324	33	1407	4
3599b63a-724a-4e3a-8c35-6a0581f43aab	cid|216465	216465	324	324	33	1407	4
ff457919-6b91-4323-a1fe-8f64fac43ab0	cid|1379909	1379909	845	0	71	1452	1
514b6516-a90e-4af8-936f-977330169476	cid|1678128	1678128	4719	0	187	1484	1
921fa54a-ef00-4e02-aeee-b8236e47605a	cid|44574	44574	2704	0	67	1302	1
66f65354-a1a6-4c4b-821b-2c57fe845058	cid|28251	28251	484	484	37	1275	2
66f65354-a1a6-4c4b-821b-2c57fe845058	cid|1014	1014	484	484	37	1275	2
279ff73b-e5c1-43c5-a517-e8f476cc63e7	cid|1768242	1768242	629	0	63	1043	1
7e09a1ef-4547-46a9-b2a0-336ecb6e8d52	cid|1678128	1678128	3200	0	94	1461	1
f5b74c18-f269-4fdd-b6f4-ae5d6d19f6ce	cid|985	985	1764	0	57	1244	1
fc1b8c8c-1018-4264-9d94-8471647a3429	cid|1842533	1842533	1460	0	84	1473	1
b5b26f82-0a28-499e-9b8f-cea5f5d0dd7a	cid|673862	673862	400	0	35	1506	1
bc5a07a1-25bb-4995-8cdd-547cccde3a2c	cid|2033869	2033869	1890	0	117	1401	1
6c42cedd-ea94-43bd-b7fc-52f74ed5a185	cid|1842727	1842727	2809	2809	68	1462	2
6c42cedd-ea94-43bd-b7fc-52f74ed5a185	cid|1795631	1795631	2809	2809	68	1462	2
095f091d-cbb4-44f2-8639-1b5ba4fc43aa	cid|1842537	1842537	4761	0	84	1382	1
1035030f-6b32-4cdf-a83a-dd370ef00f33	cid|2029983	2029983	529	529	38	2794	2
1035030f-6b32-4cdf-a83a-dd370ef00f33	cid|79329	79329	529	529	38	2794	2
a67f536f-b5d7-42df-908b-418119726156	cid|1678129	1678129	1024	0	47	1488	1
b8fd17fd-8674-4740-a06b-bb6894c724c9	cid|1938604	1938604	1089	625	48	1484	1
05be1e0c-72ca-4b15-9a8e-f70968cb2ad8	cid|1727163	1727163	841	0	44	1322	1
362c8f4b-1b30-4646-9910-729dc40aa663	cid|564064	564064	361	361	34	1459	2
362c8f4b-1b30-4646-9910-729dc40aa663	cid|1379870	1379870	361	361	34	1459	2
