"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_august_BC01.cladeReads"	"centrifuge_16s_classification_august_BC02.cladeReads"	"centrifuge_16s_classification_august_BC03.cladeReads"	"centrifuge_16s_classification_august_BC04.cladeReads"	"centrifuge_16s_classification_august_BC05.cladeReads"	"centrifuge_16s_classification_august_BC06.cladeReads"	"centrifuge_16s_classification_august_BC07.cladeReads"	"centrifuge_16s_classification_august_BC08.cladeReads"	"centrifuge_16s_classification_august_BC09.cladeReads"	"centrifuge_16s_classification_august_BC10.cladeReads"	"centrifuge_16s_classification_august_BC11.cladeReads"	"centrifuge_16s_classification_august_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_august_BC01.cladeReads.."	"centrifuge_16s_classification_august_BC02.cladeReads.."	"centrifuge_16s_classification_august_BC03.cladeReads.."	"centrifuge_16s_classification_august_BC04.cladeReads.."	"centrifuge_16s_classification_august_BC05.cladeReads.."	"centrifuge_16s_classification_august_BC06.cladeReads.."	"centrifuge_16s_classification_august_BC07.cladeReads.."	"centrifuge_16s_classification_august_BC08.cladeReads.."	"centrifuge_16s_classification_august_BC09.cladeReads.."	"centrifuge_16s_classification_august_BC10.cladeReads.."	"centrifuge_16s_classification_august_BC11.cladeReads.."	"centrifuge_16s_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1579900	303392	47471	805	1311	836906	801710	672237	1579870	790	141260	875053	45328	96.54	89.16	91.7	92.96	96.54	88.96	85.73	86.59	92.39	95.18	94.42	95.14	93.73	"unclassified"
"root"	"-"	1	133460	36886	4294	61	47	103874	133455	104082	130056	40	8344	44733	3034	14.27	10.84	8.295	7.044	3.461	11.04	14.27	13.41	7.606	4.819	5.577	4.863	6.274	"root"
"Bacteria"	"D"	3	133170	36752	4268	59	42	103618	133167	103821	129770	38	8286	44308	3019	14.24	10.8	8.245	6.813	3.093	11.01	14.24	13.37	7.589	4.578	5.539	4.817	6.243	"root"
"Verrucomicrobia"	"P"	3982	64414	11570	936	7	14	43325	64414	49461	364	6	336	1814	128	6.888	3.4	1.808	0.8083	1.031	4.605	6.888	6.371	0.02129	0.7229	0.2246	0.1972	0.2647	"Bacteria"
"Verrucomicrobiae"	"C"	4029	64414	11570	936	7	14	43325	64414	49461	364	6	336	1814	128	6.888	3.4	1.808	0.8083	1.031	4.605	6.888	6.371	0.02129	0.7229	0.2246	0.1972	0.2647	"Bacteria>Verrucomicrobia"
"uncultured"	"O"	27008	6323	1141	87	1	NA	4310	6323	5027	19	NA	29	155	13	0.6761	0.3353	0.1681	0.1155	NA	0.4581	0.6761	0.6475	0.001111	NA	0.01938	0.01685	0.02688	"Bacteria>Verrucomicrobia>Verrucomicrobiae"
"Verrucomicrobiales"	"O"	4030	2222	370	29	1	NA	1555	2222	1823	40	NA	27	324	22	0.2376	0.1087	0.05602	0.1155	NA	0.1653	0.2376	0.2348	0.002339	NA	0.01805	0.03523	0.04549	"Bacteria>Verrucomicrobia>Verrucomicrobiae"
"Verrucomicrobiaceae"	"F"	4036	1888	346	25	1	NA	1269	1888	1389	14	NA	8	34	3	0.2019	0.1017	0.0483	0.1155	NA	0.1349	0.2019	0.1789	0.0008187	NA	0.005347	0.003697	0.006203	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales"
"Prosthecobacter"	"G"	4042	213	39	4	NA	NA	151	213	148	1	NA	1	3	NA	0.02278	0.01146	0.007727	NA	NA	0.01605	0.02278	0.01906	5.848e-05	NA	0.0006684	0.0003262	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Verrucomicrobiaceae"
"Roseimicrobium"	"G"	4044	208	34	4	NA	NA	157	208	180	NA	NA	1	6	NA	0.02319	0.009992	0.007727	NA	NA	0.01669	0.02224	0.02319	NA	NA	0.0006684	0.0006523	NA	"Bacteria>Verrucomicrobia>Verrucomicrobiae>Verrucomicrobiales>Verrucomicrobiaceae"
