"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_classification_august_BC01.cladeReads.."	"kraken2_classification_august_BC02.cladeReads.."	"kraken2_classification_august_BC03.cladeReads.."	"kraken2_classification_august_BC04.cladeReads.."	"kraken2_classification_august_BC05.cladeReads.."	"kraken2_classification_august_BC06.cladeReads.."	"kraken2_classification_august_BC07.cladeReads.."	"kraken2_classification_august_BC08.cladeReads.."	"kraken2_classification_august_BC09.cladeReads.."	"kraken2_classification_august_BC10.cladeReads.."	"kraken2_classification_august_BC11.cladeReads.."	"kraken2_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1909	1349	651	263	559	1393	1909	1052	557	260	352	1297	768	44.29	0.4519	1.394	34.33	44.29	0.1665	0.2384	0.1533	0.03259	33.29	0.2467	0.1457	1.702	"unclassified"
"root"	"-"	1	1709400	338928	51113	602	798	939387	933256	775267	1709368	570	149251	918489	47594	116.6	113.5	109.4	78.59	63.23	112.3	116.6	113	100	72.98	104.6	103.2	105.5	"root"
"cellular organisms"	"-"	131567	1709400	338928	51113	602	798	939387	933256	775267	1709368	570	149251	918489	47594	116.6	113.5	109.4	78.59	63.23	112.3	116.6	113	100	72.98	104.6	103.2	105.5	"root"
"Bacteria"	"D"	2	1709400	338913	51105	600	797	939344	933171	775199	1709366	569	149248	918472	47589	116.5	113.5	109.4	78.33	63.15	112.3	116.5	113	100	72.86	104.6	103.1	105.5	"cellular&nbsp;organisms"
"FCB group"	"-"	1783270	445360	132564	15829	185	154	207000	250356	141003	1087	83	60863	445356	22206	50.02	44.41	33.89	24.15	12.2	24.74	31.27	20.55	0.0636	10.63	42.66	50.02	49.22	"cellular&nbsp;organisms>Bacteria"
"Bacteroidetes/Chlorobi group"	"-"	68336	445100	131826	15686	184	152	205435	249383	139964	1075	82	60787	445103	22195	49.99	44.16	33.59	24.02	12.04	24.55	31.14	20.4	0.0629	10.5	42.61	49.99	49.19	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group"
"Bacteroidetes"	"P"	976	445000	131775	15674	184	151	205233	249165	139813	1074	82	60775	444995	22186	49.98	44.15	33.56	24.02	11.97	24.53	31.12	20.38	0.06284	10.5	42.6	49.98	49.17	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group"
"Cytophagia"	"C"	768503	384860	86661	10085	80	66	114747	131531	94124	825	34	50688	384859	16288	43.22	29.03	21.59	10.44	5.23	13.71	16.43	13.72	0.04827	4.353	35.53	43.22	36.1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes"
"Cytophagales"	"O"	768507	384860	86661	10085	80	66	114747	131531	94124	825	34	50688	384859	16288	43.22	29.03	21.59	10.44	5.23	13.71	16.43	13.72	0.04827	4.353	35.53	43.22	36.1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia"
"Cytophagaceae"	"F"	89373	375190	77138	8894	57	57	93397	102018	83142	784	31	49426	375191	15288	42.14	25.84	19.04	7.441	4.517	11.16	12.74	12.12	0.04587	3.969	34.64	42.14	33.89	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Pseudarcicella"	"G"	1664383	367170	70441	8168	40	48	80566	85868	76551	765	28	48337	367167	14707	41.23	23.6	17.49	5.222	3.803	9.628	10.72	11.16	0.04476	3.585	33.88	41.23	32.6	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Pseudarcicella sp. HME7025"	"S"	2183547	367170	70441	8168	40	48	80566	85868	76551	765	28	48337	367167	14707	41.23	23.6	17.49	5.222	3.803	9.628	10.72	11.16	0.04476	3.585	33.88	41.23	32.6	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Pseudarcicella"
"Spirosoma"	"G"	107	13394	5691	605	13	6	10700	13394	4945	7	2	602	4262	362	1.907	1.907	1.295	1.697	0.4754	1.279	1.673	0.7207	0.0004096	0.2561	0.422	0.4786	0.8024	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Spirosoma pollinicola"	"S"	2057025	100	39	4	NA	1	88	100	36	NA	NA	3	29	6	0.07924	0.01307	0.008565	NA	0.07924	0.01052	0.01249	0.005247	NA	NA	0.002103	0.003257	0.0133	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma rigui"	"S"	564064	39	8	1	NA	NA	14	30	23	NA	NA	8	39	NA	0.005607	0.00268	0.002141	NA	NA	0.001673	0.003747	0.003352	NA	NA	0.005607	0.00438	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma aerolatum"	"S"	1211326	14	6	NA	NA	NA	8	9	8	NA	NA	3	14	1	0.002216	0.00201	NA	NA	NA	0.000956	0.001124	0.001166	NA	NA	0.002103	0.001572	0.002216	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma montaniterrae"	"S"	1178516	10	3	1	NA	NA	10	6	5	NA	NA	NA	9	NA	0.002141	0.001005	0.002141	NA	NA	0.001195	0.0007493	0.0007287	NA	NA	NA	0.001011	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma radiotolerans"	"S"	1379870	4	1	NA	NA	NA	1	4	2	NA	NA	NA	1	NA	0.0004995	0.000335	NA	NA	NA	0.0001195	0.0004995	0.0002915	NA	NA	NA	0.0001123	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Fibrella"	"G"	861914	2005	356	52	1	NA	572	760	402	5	NA	227	2005	72	0.2252	0.1193	0.1113	0.1305	NA	0.06835	0.09491	0.05859	0.0002925	NA	0.1591	0.2252	0.1596	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Fibrella sp. ES10-3-2-2"	"S"	1834519	1984	352	50	1	NA	553	736	360	5	NA	227	1984	69	0.2228	0.1179	0.1071	0.1305	NA	0.06608	0.09192	0.05247	0.0002925	NA	0.1591	0.2228	0.1529	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella"
"Fibrella aestuarina"	"S"	651143	38	1	2	NA	NA	9	12	38	NA	NA	NA	15	NA	0.005538	0.000335	0.004282	NA	NA	0.001075	0.001499	0.005538	NA	NA	NA	0.001685	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella"
"Cytophaga"	"G"	978	841	262	26	NA	NA	633	841	559	3	NA	46	383	18	0.105	0.08777	0.05567	NA	NA	0.07564	0.105	0.08147	0.0001755	NA	0.03224	0.04301	0.0399	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Cytophaga hutchinsonii"	"S"	985	841	262	26	NA	NA	633	841	559	3	NA	46	383	18	0.105	0.08777	0.05567	NA	NA	0.07564	0.105	0.08147	0.0001755	NA	0.03224	0.04301	0.0399	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga"
"Leadbetterella"	"G"	319458	293	44	2	NA	1	143	189	293	NA	NA	13	137	44	0.09752	0.01474	0.004282	NA	0.07924	0.01709	0.0236	0.0427	NA	NA	0.009112	0.01539	0.09752	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Leadbetterella byssophila"	"S"	316068	293	44	2	NA	1	143	189	293	NA	NA	13	137	44	0.09752	0.01474	0.004282	NA	0.07924	0.01709	0.0236	0.0427	NA	NA	0.009112	0.01539	0.09752	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Leadbetterella"
"Runella"	"G"	105	209	37	5	3	1	209	130	28	1	NA	59	72	30	0.3916	0.0124	0.01071	0.3916	0.07924	0.02498	0.01624	0.004081	5.851e-05	NA	0.04135	0.008086	0.06649	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Runella slithyformis"	"S"	106	50	13	NA	NA	NA	50	20	6	NA	NA	21	12	10	0.02216	0.004355	NA	NA	NA	0.005975	0.002498	0.0008745	NA	NA	0.01472	0.001348	0.02216	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Runella sp. SP2"	"S"	2268026	104	11	3	2	1	104	63	2	1	NA	31	26	12	0.2611	0.003685	0.006424	0.2611	0.07924	0.01243	0.007868	0.0002915	5.851e-05	NA	0.02173	0.00292	0.0266	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Runella sp. HYN0085"	"S"	2259595	18	3	1	NA	NA	18	7	4	NA	NA	1	17	3	0.006649	0.001005	0.002141	NA	NA	0.002151	0.0008742	0.000583	NA	NA	0.0007009	0.001909	0.006649	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
