"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_august_BC01.cladeReads"	"kraken2_16s_classification_august_BC02.cladeReads"	"kraken2_16s_classification_august_BC03.cladeReads"	"kraken2_16s_classification_august_BC04.cladeReads"	"kraken2_16s_classification_august_BC05.cladeReads"	"kraken2_16s_classification_august_BC06.cladeReads"	"kraken2_16s_classification_august_BC07.cladeReads"	"kraken2_16s_classification_august_BC08.cladeReads"	"kraken2_16s_classification_august_BC09.cladeReads"	"kraken2_16s_classification_august_BC10.cladeReads"	"kraken2_16s_classification_august_BC11.cladeReads"	"kraken2_16s_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_august_BC01.cladeReads.."	"kraken2_16s_classification_august_BC02.cladeReads.."	"kraken2_16s_classification_august_BC03.cladeReads.."	"kraken2_16s_classification_august_BC04.cladeReads.."	"kraken2_16s_classification_august_BC05.cladeReads.."	"kraken2_16s_classification_august_BC06.cladeReads.."	"kraken2_16s_classification_august_BC07.cladeReads.."	"kraken2_16s_classification_august_BC08.cladeReads.."	"kraken2_16s_classification_august_BC09.cladeReads.."	"kraken2_16s_classification_august_BC10.cladeReads.."	"kraken2_16s_classification_august_BC11.cladeReads.."	"kraken2_16s_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1288	1288	941	365	817	178	307	304	199	420	316	326	1089	63.04	0.3995	1.925	45.23	63.04	0.02027	0.03511	0.04238	0.01176	52.5	0.2274	0.03809	2.358	"unclassified"
"root"	"-"	1	1709700	338990	50824	501	541	940602	934858	776015	1709727	410	149288	919460	47273	108.2	105.1	104	62.08	41.74	107.1	106.9	108.2	101	51.25	107.4	107.4	102.3	"root"
"Bacteria"	"D"	3	1709700	338983	50817	500	533	940596	934850	776008	1709723	406	149284	919447	47264	108.2	105.1	104	61.96	41.13	107.1	106.9	108.2	101	50.75	107.4	107.4	102.3	"root"
"Bacteroidetes"	"P"	905	452690	135822	16107	216	119	213699	262867	143107	1464	68	61258	452690	22401	52.9	42.13	32.95	26.77	9.182	24.34	30.06	19.95	0.0865	8.5	44.07	52.9	48.5	"Bacteria"
"Bacteroidia"	"C"	912	452420	135648	16077	216	119	213373	262532	142704	1459	68	61203	452422	22392	52.87	42.07	32.89	26.77	9.182	24.3	30.02	19.89	0.08621	8.5	44.03	52.87	48.48	"Bacteria>Bacteroidetes"
"Cytophagales"	"O"	24714	363300	70907	8292	42	45	79390	82147	77781	756	25	48319	363303	14744	42.45	21.99	16.96	5.204	3.472	9.042	9.394	10.84	0.04467	3.125	34.76	42.45	31.92	"Bacteria>Bacteroidetes>Bacteroidia"
"Spirosomaceae"	"F"	24794	355270	68941	7988	35	42	77296	79678	75267	729	24	47385	355266	14464	41.51	21.38	16.34	4.337	3.241	8.803	9.112	10.49	0.04307	3	34.09	41.51	31.31	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Pseudarcicella"	"G"	24809	339750	66165	7621	30	37	73779	75803	71942	695	21	45398	339750	13777	39.7	20.52	15.59	3.717	2.855	8.403	8.669	10.03	0.04107	2.625	32.66	39.7	29.83	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Arcicella"	"G"	24795	4934	919	106	NA	2	1047	1115	1001	9	1	672	4934	211	0.5766	0.285	0.2168	NA	0.1543	0.1192	0.1275	0.1395	0.0005318	0.125	0.4835	0.5766	0.4568	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Flectobacillus"	"G"	24801	2730	499	77	NA	1	602	684	559	4	1	358	2730	101	0.319	0.1548	0.1575	NA	0.07716	0.06856	0.07822	0.07792	0.0002363	0.125	0.2576	0.319	0.2187	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Runella"	"G"	24812	1333	262	33	3	NA	428	361	244	1	NA	216	1333	80	0.3717	0.08127	0.06751	0.3717	NA	0.04874	0.04128	0.03401	5.909e-05	NA	0.1554	0.1558	0.1732	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Dyadobacter"	"G"	24797	621	116	17	NA	NA	115	140	126	3	NA	64	621	30	0.07257	0.03598	0.03478	NA	NA	0.0131	0.01601	0.01756	0.0001773	NA	0.04605	0.07257	0.06495	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Lacihabitans"	"G"	24804	280	61	5	NA	NA	138	218	280	NA	NA	27	256	54	0.1169	0.01892	0.01023	NA	NA	0.01572	0.02493	0.03903	NA	NA	0.01943	0.02992	0.1169	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Larkinella"	"G"	24805	166	37	4	NA	NA	36	40	33	NA	NA	21	166	7	0.0194	0.01148	0.008183	NA	NA	0.0041	0.004574	0.0046	NA	NA	0.01511	0.0194	0.01515	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Spirosoma"	"G"	24813	167	30	7	NA	NA	36	35	36	NA	NA	23	167	10	0.02165	0.009305	0.01432	NA	NA	0.0041	0.004003	0.005018	NA	NA	0.01655	0.01951	0.02165	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"uncultured"	"G"	24815	218	30	5	NA	NA	65	54	98	NA	NA	20	218	2	0.02547	0.009305	0.01023	NA	NA	0.007403	0.006175	0.01366	NA	NA	0.01439	0.02547	0.00433	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Emticicia"	"G"	24798	51	17	2	NA	NA	26	22	12	NA	NA	5	51	1	0.00596	0.005273	0.004091	NA	NA	0.002961	0.002516	0.001673	NA	NA	0.003597	0.00596	0.002165	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
