"name"	"taxRank"	"taxID"	"Max"	"BC01.cladeReads"	"BC02.cladeReads"	"BC03.cladeReads"	"BC04.cladeReads"	"BC05.cladeReads"	"BC06.cladeReads"	"BC07.cladeReads"	"BC08.cladeReads"	"BC09.cladeReads"	"BC10.cladeReads"	"BC11.cladeReads"	"BC12.cladeReads"	"Max.1"	"BC01.cladeReads.."	"BC02.cladeReads.."	"BC03.cladeReads.."	"BC04.cladeReads.."	"BC05.cladeReads.."	"BC06.cladeReads.."	"BC07.cladeReads.."	"BC08.cladeReads.."	"BC09.cladeReads.."	"BC10.cladeReads.."	"BC11.cladeReads.."	"BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	4757	2186	708	226	520	3997	4757	2470	3040	230	677	3770	856	38.29	0.6424	1.368	26.1	38.29	0.4249	0.5087	0.3182	0.1778	27.71	0.4525	0.4099	1.77	"unclassified"
"root"	"-"	1	1706900	338092	51057	640	838	936783	930408	773849	1706886	600	148927	916016	47506	99.82	99.36	98.63	73.9	61.71	99.58	99.49	99.68	99.82	72.29	99.55	99.59	98.23	"root"
"cellular organisms"	"-"	131567	1706900	338092	51057	640	838	936783	930408	773849	1706886	600	148927	916016	47506	99.82	99.36	98.63	73.9	61.71	99.58	99.49	99.68	99.82	72.29	99.55	99.59	98.23	"root"
"Bacteria"	"D"	2	1706900	338028	51039	639	832	936550	930187	773719	1706870	598	148906	915934	47496	99.82	99.34	98.6	73.79	61.27	99.55	99.47	99.67	99.82	72.05	99.53	99.58	98.21	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	1066100	133882	25035	221	412	468735	395792	430677	1066134	365	72446	414917	19195	62.35	39.34	48.36	25.52	30.34	49.82	42.32	55.48	62.35	43.98	48.43	45.11	39.69	"cellular&nbsp;organisms>Bacteria"
"Alphaproteobacteria"	"C"	28211	92582	48070	6638	31	78	69282	44489	92582	7494	41	24451	37076	4696	16.34	14.13	12.82	3.58	5.744	7.364	4.757	11.93	0.4383	4.94	16.34	4.031	9.71	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Rhodobacterales"	"O"	204455	52204	24609	3580	14	28	37885	22281	52204	789	10	13836	17215	430	9.248	7.232	6.916	1.617	2.062	4.027	2.383	6.725	0.04614	1.205	9.248	1.872	0.8891	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria"
"Rhodobacteraceae"	"F"	31989	51621	24339	3544	14	28	37487	22018	51621	560	10	13704	17015	415	9.16	7.153	6.846	1.617	2.062	3.985	2.354	6.649	0.03275	1.205	9.16	1.85	0.8581	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales"
"Rhodobacter"	"G"	1060	23359	10844	1587	4	11	15508	8650	23359	199	2	6629	7975	173	4.431	3.187	3.066	0.4619	0.81	1.648	0.925	3.009	0.01164	0.241	4.431	0.867	0.3577	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae"
"Rhodobacter sp. CZR27"	"S"	2033869	9932	5420	829	1	6	7203	3665	9932	82	NA	2906	3323	71	1.942	1.593	1.601	0.1155	0.4418	0.7656	0.3919	1.279	0.004796	NA	1.942	0.3613	0.1468	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
