"name"	"taxRank"	"taxID"	"Max"	"BC01.cladeReads"	"BC02.cladeReads"	"BC03.cladeReads"	"BC04.cladeReads"	"BC05.cladeReads"	"BC06.cladeReads"	"BC07.cladeReads"	"BC08.cladeReads"	"BC09.cladeReads"	"BC10.cladeReads"	"BC11.cladeReads"	"BC12.cladeReads"	"Max.1"	"BC01.cladeReads.."	"BC02.cladeReads.."	"BC03.cladeReads.."	"BC04.cladeReads.."	"BC05.cladeReads.."	"BC06.cladeReads.."	"BC07.cladeReads.."	"BC08.cladeReads.."	"BC09.cladeReads.."	"BC10.cladeReads.."	"BC11.cladeReads.."	"BC12.cladeReads.."	"lineage"
"Rhodobacter sp. CZR27"	"S"	2033869	9932	5420	829	1	6	7203	3665	9932	82	NA	2906	3323	71	2.347	2.025	2.02	0.2004	0.9146	1.005	0.5201	1.62	0.00485	NA	2.347	0.4456	0.1856	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter capsulatus"	"S"	1061	4593	2075	288	NA	1	2781	1668	4593	25	NA	1318	1466	32	1.064	0.7751	0.7018	NA	0.1524	0.388	0.2367	0.749	0.001479	NA	1.064	0.1966	0.08364	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter sphaeroides"	"S"	1063	6459	1884	264	1	3	3602	2176	6459	24	2	1724	2182	48	1.392	0.7038	0.6433	0.2004	0.4573	0.5025	0.3088	1.053	0.00142	0.409	1.392	0.2926	0.1255	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Rhodobacter sp. LPB0142"	"S"	1850250	430	199	20	NA	NA	239	179	430	2	NA	123	177	3	0.09934	0.07434	0.04874	NA	NA	0.03334	0.0254	0.07012	0.0001183	NA	0.09934	0.02374	0.007841	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Rhodobacter"
"Defluviimonas alba"	"S"	1335048	7507	3775	540	1	3	6479	3313	7507	57	2	1935	2401	51	1.563	1.41	1.316	0.2004	0.4573	0.9039	0.4701	1.224	0.003371	0.409	1.563	0.322	0.1333	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Defluviimonas"
"Celeribacter marinus"	"S"	1397108	3743	2238	323	1	3	2969	1635	3743	38	1	931	1141	48	0.836	0.836	0.7871	0.2004	0.4573	0.4142	0.232	0.6104	0.002248	0.2045	0.7519	0.153	0.1255	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter manganoxidans"	"S"	1411902	329	142	18	NA	NA	276	200	329	1	1	49	80	1	0.2045	0.05305	0.04386	NA	NA	0.03851	0.02838	0.05365	5.915e-05	0.2045	0.03957	0.01073	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter ethanolicus"	"S"	1758178	17	6	NA	NA	NA	12	10	17	NA	NA	7	6	NA	0.005653	0.002241	NA	NA	NA	0.001674	0.001419	0.002772	NA	NA	0.005653	0.0008046	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Celeribacter indicus"	"S"	1208324	10	4	NA	NA	NA	6	3	10	NA	NA	4	NA	NA	0.00323	0.001494	NA	NA	NA	0.0008371	0.0004257	0.001631	NA	NA	0.00323	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Celeribacter"
"Paracoccus aminophilus"	"S"	34003	2939	889	139	1	2	1575	950	2939	27	NA	879	1034	18	0.7099	0.3321	0.3387	0.2004	0.3049	0.2197	0.1348	0.4793	0.001597	NA	0.7099	0.1387	0.04705	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus zhejiangensis"	"S"	1077935	546	287	37	NA	2	422	245	546	14	NA	127	195	5	0.3049	0.1072	0.09016	NA	0.3049	0.05887	0.03477	0.08904	0.0008281	NA	0.1026	0.02615	0.01307	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus contaminans"	"S"	1945662	247	165	26	1	NA	202	101	247	2	NA	48	78	2	0.2004	0.06164	0.06336	0.2004	NA	0.02818	0.01433	0.04028	0.0001183	NA	0.03877	0.01046	0.005228	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus sp. CBA4604"	"S"	2065379	355	114	16	NA	1	294	220	355	12	NA	60	76	10	0.1524	0.04259	0.03899	NA	0.1524	0.04102	0.03122	0.05789	0.0007098	NA	0.04846	0.01019	0.02614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus sp. BM15"	"S"	1529068	162	89	16	NA	NA	134	67	162	2	NA	33	46	NA	0.03899	0.03325	0.03899	NA	NA	0.01869	0.009508	0.02642	0.0001183	NA	0.02665	0.006169	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus yeei"	"S"	147645	111	41	8	NA	NA	74	36	111	1	NA	24	23	1	0.01949	0.01532	0.01949	NA	NA	0.01032	0.005109	0.0181	5.915e-05	NA	0.01938	0.003084	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
"Paracoccus denitrificans"	"S"	266	76	34	4	NA	1	76	39	62	4	NA	34	30	1	0.1524	0.0127	0.009747	NA	0.1524	0.0106	0.005534	0.01011	0.0002366	NA	0.02746	0.004023	0.002614	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodobacterales>Rhodobacteraceae>Paracoccus"
