"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_august_BC01.cladeReads"	"kraken2_classification_august_BC02.cladeReads"	"kraken2_classification_august_BC03.cladeReads"	"kraken2_classification_august_BC04.cladeReads"	"kraken2_classification_august_BC05.cladeReads"	"kraken2_classification_august_BC06.cladeReads"	"kraken2_classification_august_BC07.cladeReads"	"kraken2_classification_august_BC08.cladeReads"	"kraken2_classification_august_BC09.cladeReads"	"kraken2_classification_august_BC10.cladeReads"	"kraken2_classification_august_BC11.cladeReads"	"kraken2_classification_august_BC12.cladeReads"	"lineage"
"unclassified"	"U"	0	1909	1349	651	263	559	1393	1909	1052	557	260	352	1297	768	"unclassified"
"root"	"-"	1	1709400	338929	51114	603	799	939387	933256	775267	1709369	570	149252	918489	47594	"root"
"cellular organisms"	"-"	131567	1709400	338929	51114	603	799	939387	933256	775267	1709369	570	149252	918489	47594	"root"
"Bacteria"	"D"	2	1709400	338914	51106	601	798	939344	933171	775199	1709367	569	149249	918472	47589	"cellular&nbsp;organisms"
"FCB group"	"-"	1783270	445360	132564	15829	185	154	206999	250353	141003	1087	83	60863	445356	22206	"cellular&nbsp;organisms>Bacteria"
"Bacteroidetes/Chlorobi group"	"-"	68336	445100	131826	15686	184	152	205434	249380	139964	1075	82	60787	445103	22195	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group"
"Bacteroidetes"	"P"	976	445000	131775	15674	184	151	205232	249162	139813	1074	82	60775	444995	22186	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group"
"Cytophagia"	"C"	768503	384840	86657	10085	80	66	114718	131504	94060	825	34	50686	384845	16282	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes"
"Cytophagales"	"O"	768507	384840	86657	10085	80	66	114718	131504	94060	825	34	50686	384845	16282	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia"
"Cytophagaceae"	"F"	89373	375180	77134	8894	57	57	93368	101991	83078	784	31	49424	375177	15282	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Pseudarcicella"	"G"	1664383	367170	70441	8168	40	48	80566	85868	76551	765	28	48337	367167	14707	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Pseudarcicella sp. HME7025"	"S"	2183547	367170	70441	8168	40	48	80566	85868	76551	765	28	48337	367167	14707	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Pseudarcicella"
"Spirosoma"	"G"	107	13394	5691	605	13	6	10700	13394	4945	7	2	602	4262	362	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Spirosoma pollinicola"	"S"	2057025	100	39	4	NA	1	88	100	36	NA	NA	3	29	6	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma rigui"	"S"	564064	39	8	1	NA	NA	14	30	23	NA	NA	8	39	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma aerolatum"	"S"	1211326	14	6	NA	NA	NA	8	9	8	NA	NA	3	14	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma montaniterrae"	"S"	1178516	10	3	1	NA	NA	10	6	5	NA	NA	NA	9	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Spirosoma radiotolerans"	"S"	1379870	4	1	NA	NA	NA	1	4	2	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"Fibrella"	"G"	861914	2005	356	52	1	NA	572	760	402	5	NA	227	2005	72	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Fibrella sp. ES10-3-2-2"	"S"	1834519	1984	352	50	1	NA	553	736	360	5	NA	227	1984	69	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella"
"Fibrella aestuarina"	"S"	651143	38	1	2	NA	NA	9	12	38	NA	NA	NA	15	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella"
"Fibrella aestuarina BUZ 2"	"-"	1166018	38	1	2	NA	NA	9	12	38	NA	NA	NA	15	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Fibrella>Fibrella&nbsp;aestuarina"
"Cytophaga"	"G"	978	841	262	26	NA	NA	633	841	559	3	NA	46	383	18	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Cytophaga hutchinsonii"	"S"	985	841	262	26	NA	NA	633	841	559	3	NA	46	383	18	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga"
"Cytophaga hutchinsonii ATCC 33406"	"-"	269798	841	262	26	NA	NA	633	841	559	3	NA	46	383	18	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Cytophaga>Cytophaga&nbsp;hutchinsonii"
"Leadbetterella"	"G"	319458	229	40	2	NA	1	114	162	229	NA	NA	11	123	38	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Leadbetterella byssophila"	"S"	316068	229	40	2	NA	1	114	162	229	NA	NA	11	123	38	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Leadbetterella"
"Leadbetterella byssophila DSM 17132"	"-"	649349	229	40	2	NA	1	114	162	229	NA	NA	11	123	38	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Leadbetterella>Leadbetterella&nbsp;byssophila"
"Runella"	"G"	105	209	37	5	3	1	209	130	28	1	NA	59	72	30	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Runella slithyformis"	"S"	106	50	13	NA	NA	NA	50	20	6	NA	NA	21	12	10	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Runella slithyformis DSM 19594"	"-"	761193	50	13	NA	NA	NA	50	20	6	NA	NA	21	12	10	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella>Runella&nbsp;slithyformis"
"Runella sp. SP2"	"S"	2268026	104	11	3	2	1	104	63	2	1	NA	31	26	12	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Runella sp. HYN0085"	"S"	2259595	18	3	1	NA	NA	18	7	4	NA	NA	1	17	3	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Runella"
"Dyadobacter"	"G"	120831	38	16	NA	NA	NA	30	38	13	NA	NA	3	21	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Dyadobacter fermentans"	"S"	94254	38	16	NA	NA	NA	30	38	13	NA	NA	3	21	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Dyadobacter"
"Dyadobacter fermentans DSM 18053"	"-"	471854	38	16	NA	NA	NA	30	38	13	NA	NA	3	21	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Dyadobacter>Dyadobacter&nbsp;fermentans"
"Arcticibacterium"	"G"	2173039	82	14	NA	NA	NA	44	82	41	NA	1	6	26	7	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae"
"Arcticibacterium luteifluviistationis"	"S"	1784714	82	14	NA	NA	NA	44	82	41	NA	1	6	26	7	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Arcticibacterium"
"Amoebophilaceae"	"F"	1501348	11507	3380	405	8	6	8217	11507	3955	12	1	367	2887	352	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales"
"Candidatus Cardinium"	"G"	273135	1953	786	81	1	1	1552	1953	735	2	NA	70	548	37	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae"
"Cardinium endosymbiont of Sogatella furcifera"	"S"	650378	1343	559	52	NA	1	1113	1343	510	1	NA	48	382	23	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Cardinium endosymbiont of Encarsia pergandiella"	"S"	249402	560	211	26	1	NA	402	560	198	1	NA	21	155	12	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Cardinium endosymbiont cEper1 of Encarsia pergandiella"	"-"	1231626	560	211	26	1	NA	402	560	198	1	NA	21	155	12	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium>Cardinium&nbsp;endosymbiont&nbsp;of&nbsp;Encarsia&nbsp;pergandiella"
"Candidatus Cardinium hertigii"	"S"	247481	28	8	1	NA	NA	26	28	20	NA	NA	NA	5	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Cardinium"
"Candidatus Amoebophilus"	"G"	281119	2472	302	57	1	2	1691	2472	913	2	NA	86	634	126	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae"
