"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_august_BC01.cladeReads"	"kraken2_16s_k21_classification_august_BC02.cladeReads"	"kraken2_16s_k21_classification_august_BC03.cladeReads"	"kraken2_16s_k21_classification_august_BC04.cladeReads"	"kraken2_16s_k21_classification_august_BC05.cladeReads"	"kraken2_16s_k21_classification_august_BC06.cladeReads"	"kraken2_16s_k21_classification_august_BC07.cladeReads"	"kraken2_16s_k21_classification_august_BC08.cladeReads"	"kraken2_16s_k21_classification_august_BC09.cladeReads"	"kraken2_16s_k21_classification_august_BC10.cladeReads"	"kraken2_16s_k21_classification_august_BC11.cladeReads"	"kraken2_16s_k21_classification_august_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_august_BC01.cladeReads.."	"kraken2_16s_k21_classification_august_BC02.cladeReads.."	"kraken2_16s_k21_classification_august_BC03.cladeReads.."	"kraken2_16s_k21_classification_august_BC04.cladeReads.."	"kraken2_16s_k21_classification_august_BC05.cladeReads.."	"kraken2_16s_k21_classification_august_BC06.cladeReads.."	"kraken2_16s_k21_classification_august_BC07.cladeReads.."	"kraken2_16s_k21_classification_august_BC08.cladeReads.."	"kraken2_16s_k21_classification_august_BC09.cladeReads.."	"kraken2_16s_k21_classification_august_BC10.cladeReads.."	"kraken2_16s_k21_classification_august_BC11.cladeReads.."	"kraken2_16s_k21_classification_august_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	1288	1288	941	365	817	178	307	304	199	420	316	326	1088	60.16	0.3785	1.818	42.15	60.16	0.01892	0.03283	0.03916	0.01164	50.6	0.2112	0.03544	2.25	"unclassified"
"root"	"-"	1	1709700	338990	50824	501	541	940602	934858	776015	1709727	410	149288	919460	47274	99.99	99.62	98.18	57.85	39.84	99.98	99.97	99.96	99.99	49.4	99.79	99.96	97.75	"root"
"Bacteria"	"D"	3	1709700	338983	50817	500	533	940596	934850	776008	1709723	406	149284	919447	47265	99.99	99.62	98.17	57.74	39.25	99.98	99.97	99.96	99.99	48.92	99.79	99.96	97.73	"root"
"Bacteroidetes"	"P"	905	452690	135821	16107	216	119	213699	262867	143107	1464	68	61258	452690	22402	49.22	39.91	31.12	24.94	8.763	22.72	28.11	18.43	0.08562	8.193	40.95	49.22	46.32	"Bacteria"
"Bacteroidia"	"C"	912	452420	135647	16077	216	119	213373	262532	142704	1459	68	61203	452422	22393	49.19	39.86	31.06	24.94	8.763	22.68	28.07	18.38	0.08533	8.193	40.91	49.19	46.3	"Bacteria>Bacteroidetes"
"Cytophagales"	"O"	24714	363300	70907	8292	42	45	79390	82147	77781	756	25	48319	363303	14745	39.5	20.84	16.02	4.85	3.314	8.439	8.784	10.02	0.04421	3.012	32.3	39.5	30.49	"Bacteria>Bacteroidetes>Bacteroidia"
"Spirosomaceae"	"F"	24794	355270	68941	7988	35	42	77296	79678	75267	729	24	47385	355266	14464	38.62	20.26	15.43	4.042	3.093	8.216	8.52	9.695	0.04263	2.892	31.67	38.62	29.91	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales"
"Pseudarcicella"	"G"	24809	339750	66165	7621	30	37	73779	75803	71942	695	21	45398	339750	13777	36.94	19.44	14.72	3.464	2.725	7.842	8.106	9.267	0.04065	2.53	30.35	36.94	28.49	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Arcicella"	"G"	24795	4934	919	106	NA	2	1047	1115	1001	9	1	672	4934	211	0.5364	0.2701	0.2048	NA	0.1473	0.1113	0.1192	0.1289	0.0005263	0.1205	0.4492	0.5364	0.4363	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Flectobacillus"	"G"	24801	2730	499	77	NA	1	602	684	559	4	1	358	2730	101	0.2968	0.1466	0.1487	NA	0.07364	0.06399	0.07314	0.07201	0.0002339	0.1205	0.2393	0.2968	0.2088	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Runella"	"G"	24812	1333	262	33	3	NA	428	361	244	1	NA	216	1333	80	0.3464	0.077	0.06375	0.3464	NA	0.04549	0.0386	0.03143	5.848e-05	NA	0.1444	0.1449	0.1654	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
"Dyadobacter"	"G"	24797	621	116	17	NA	NA	115	140	126	3	NA	64	621	30	0.06752	0.03409	0.03284	NA	NA	0.01222	0.01497	0.01623	0.0001754	NA	0.04278	0.06752	0.06203	"Bacteria>Bacteroidetes>Bacteroidia>Cytophagales>Spirosomaceae"
