SampleID,Time,Place,Reads_fraction,Species,Genus,Family,Phylum
april_BC01,april,BC01,0.1,706,386,186,27
april_BC01,april,BC01,0.1,693,379,173,24
april_BC01,april,BC01,0.1,707,390,184,26
april_BC01,april,BC01,0.1,699,380,171,22
april_BC01,april,BC01,0.1,709,404,195,22
april_BC01,april,BC01,0.1,704,384,182,23
april_BC01,april,BC01,0.1,729,396,190,23
april_BC01,april,BC01,0.1,692,383,192,30
april_BC01,april,BC01,0.1,691,385,180,26
april_BC01,april,BC01,0.1,714,397,188,24
april_BC01,april,BC01,0.2,1004,518,229,31
april_BC01,april,BC01,0.2,1010,514,230,33
april_BC01,april,BC01,0.2,1023,530,236,33
april_BC01,april,BC01,0.2,1012,518,237,32
april_BC01,april,BC01,0.2,980,515,220,30
april_BC01,april,BC01,0.2,1015,510,225,33
april_BC01,april,BC01,0.2,1028,530,227,30
april_BC01,april,BC01,0.2,974,517,233,31
april_BC01,april,BC01,0.2,1027,528,227,31
april_BC01,april,BC01,0.2,1011,535,240,32
april_BC01,april,BC01,0.3,1201,605,250,35
april_BC01,april,BC01,0.3,1245,613,250,36
april_BC01,april,BC01,0.3,1247,603,253,34
april_BC01,april,BC01,0.3,1216,616,255,34
april_BC01,april,BC01,0.3,1206,583,246,32
april_BC01,april,BC01,0.3,1211,621,255,35
april_BC01,april,BC01,0.3,1229,605,246,32
april_BC01,april,BC01,0.3,1247,605,253,35
april_BC01,april,BC01,0.3,1250,599,249,34
april_BC01,april,BC01,0.3,1221,626,258,32
april_BC01,april,BC01,0.4,1379,663,264,35
april_BC01,april,BC01,0.4,1391,668,266,35
april_BC01,april,BC01,0.4,1368,661,273,35
april_BC01,april,BC01,0.4,1373,655,263,34
april_BC01,april,BC01,0.4,1393,673,272,37
april_BC01,april,BC01,0.4,1386,682,271,35
april_BC01,april,BC01,0.4,1365,657,266,35
april_BC01,april,BC01,0.4,1372,662,271,35
april_BC01,april,BC01,0.4,1379,660,265,33
april_BC01,april,BC01,0.4,1396,678,271,36
april_BC01,april,BC01,0.5,1501,710,277,38
april_BC01,april,BC01,0.5,1518,706,279,36
april_BC01,april,BC01,0.5,1497,708,273,36
april_BC01,april,BC01,0.5,1498,707,272,35
april_BC01,april,BC01,0.5,1488,711,285,37
april_BC01,april,BC01,0.5,1483,711,275,37
april_BC01,april,BC01,0.5,1511,705,272,34
april_BC01,april,BC01,0.5,1545,716,282,35
april_BC01,april,BC01,0.5,1508,721,278,37
april_BC01,april,BC01,0.5,1483,708,271,36
april_BC01,april,BC01,0.6,1599,740,279,37
april_BC01,april,BC01,0.6,1615,747,293,37
april_BC01,april,BC01,0.6,1584,737,282,37
april_BC01,april,BC01,0.6,1561,736,288,37
april_BC01,april,BC01,0.6,1600,725,282,36
april_BC01,april,BC01,0.6,1596,743,281,38
april_BC01,april,BC01,0.6,1618,743,283,37
april_BC01,april,BC01,0.6,1631,748,281,37
april_BC01,april,BC01,0.6,1617,742,283,38
april_BC01,april,BC01,0.6,1600,738,280,35
april_BC01,april,BC01,0.7,1685,766,293,37
april_BC01,april,BC01,0.7,1678,767,290,37
april_BC01,april,BC01,0.7,1675,760,291,37
april_BC01,april,BC01,0.7,1668,757,285,35
april_BC01,april,BC01,0.7,1674,758,285,37
april_BC01,april,BC01,0.7,1704,769,288,37
april_BC01,april,BC01,0.7,1694,771,292,38
april_BC01,april,BC01,0.7,1659,750,287,37
april_BC01,april,BC01,0.7,1658,760,287,36
april_BC01,april,BC01,0.7,1687,771,291,38
april_BC01,april,BC01,0.8,1756,785,293,38
april_BC01,april,BC01,0.8,1755,793,299,38
april_BC01,april,BC01,0.8,1758,788,297,38
april_BC01,april,BC01,0.8,1770,788,297,38
april_BC01,april,BC01,0.8,1736,777,292,38
april_BC01,april,BC01,0.8,1746,783,296,38
april_BC01,april,BC01,0.8,1746,781,294,37
april_BC01,april,BC01,0.8,1737,787,297,38
april_BC01,april,BC01,0.8,1753,775,294,38
april_BC01,april,BC01,0.8,1764,777,295,37
april_BC01,april,BC01,0.9,1795,804,297,38
april_BC01,april,BC01,0.9,1815,802,297,38
april_BC01,april,BC01,0.9,1810,800,296,38
april_BC01,april,BC01,0.9,1811,804,295,38
april_BC01,april,BC01,0.9,1814,803,300,38
april_BC01,april,BC01,0.9,1784,801,297,37
april_BC01,april,BC01,0.9,1804,804,299,38
april_BC01,april,BC01,0.9,1801,806,299,38
april_BC01,april,BC01,0.9,1796,802,297,37
april_BC01,april,BC01,0.9,1813,802,295,38
april_BC01,april,BC01,1,1861,815,300,38
april_BC01,april,BC01,1,1861,815,300,38
april_BC01,april,BC01,1,1861,815,300,38
april_BC01,april,BC01,1,1861,815,300,38
april_BC01,april,BC01,1,1861,815,300,38
april_BC01,april,BC01,1,1861,815,300,38
april_BC01,april,BC01,1,1861,815,300,38
