"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_april_BC01.cladeReads"	"kraken2_classification_april_BC02.cladeReads"	"kraken2_classification_april_BC03.cladeReads"	"kraken2_classification_april_BC04.cladeReads"	"kraken2_classification_april_BC05.cladeReads"	"kraken2_classification_april_BC06.cladeReads"	"kraken2_classification_april_BC07.cladeReads"	"kraken2_classification_april_BC08.cladeReads"	"kraken2_classification_april_BC09.cladeReads"	"kraken2_classification_april_BC10.cladeReads"	"kraken2_classification_april_BC11.cladeReads"	"kraken2_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_classification_april_BC01.cladeReads.."	"kraken2_classification_april_BC02.cladeReads.."	"kraken2_classification_april_BC03.cladeReads.."	"kraken2_classification_april_BC04.cladeReads.."	"kraken2_classification_april_BC05.cladeReads.."	"kraken2_classification_april_BC06.cladeReads.."	"kraken2_classification_april_BC07.cladeReads.."	"kraken2_classification_april_BC08.cladeReads.."	"kraken2_classification_april_BC09.cladeReads.."	"kraken2_classification_april_BC10.cladeReads.."	"kraken2_classification_april_BC11.cladeReads.."	"kraken2_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	98	2	5	33	98	2	87	56	2	74	57	57	5	2.604	0.01898	0.04708	0.0165	0.03629	0.2532	0.05013	0.02707	0.0005534	0.03598	0.02055	0.03156	2.604	"unclassified"
"root"	"-"	1	361580	11451	11534	221240	302850	925	199903	231167	361580	231144	307518	200249	224	117.1	108.7	108.6	110.6	112.2	117.1	115.2	111.7	100	112.4	110.8	110.9	116.7	"root"
"cellular organisms"	"-"	131567	361580	11451	11534	221240	302850	925	199903	231167	361580	231144	307518	200249	224	117.1	108.7	108.6	110.6	112.2	117.1	115.2	111.7	100	112.4	110.8	110.9	116.7	"root"
"Bacteria"	"D"	2	361580	11451	11534	221239	302848	925	199899	231163	361580	231142	307516	200249	224	117.1	108.7	108.6	110.6	112.1	117.1	115.2	111.7	100	112.4	110.8	110.9	116.7	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	242030	7891	9696	156397	212417	559	87028	134249	221387	95518	242026	101498	110	91.3	74.88	91.3	78.19	78.66	70.76	50.15	64.9	61.26	46.45	87.24	56.19	57.29	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	198360	5869	8658	93250	71205	308	59424	105091	127	63214	198364	76193	57	81.53	55.69	81.53	46.62	26.37	38.99	34.24	50.8	0.03514	30.74	71.5	42.18	29.69	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	190870	5310	8461	74071	53459	289	56462	101448	119	61042	190871	71957	54	79.67	50.39	79.67	37.03	19.8	36.58	32.53	49.04	0.03293	29.68	68.8	39.84	28.12	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	159790	4267	8008	54102	40147	235	46717	90842	94	52149	159789	58164	45	75.4	40.49	75.4	27.05	14.87	29.75	26.92	43.91	0.02601	25.36	57.6	32.2	23.44	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Limnohabitans"	"G"	665874	53849	1308	2789	16039	14296	80	16990	35116	30	20628	53849	21470	17	26.26	12.41	26.26	8.018	5.294	10.13	9.79	16.98	0.008301	10.03	19.41	11.89	8.854	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	39569	846	1815	10359	8759	53	10690	22966	17	13147	39569	14148	10	17.09	8.028	17.09	5.179	3.244	6.709	6.16	11.1	0.004704	6.393	14.26	7.832	5.208	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. 103DPR2"	"S"	1678129	14124	460	965	5634	5487	26	6240	12037	12	7415	14124	7258	6	9.087	4.365	9.087	2.817	2.032	3.291	3.596	5.819	0.00332	3.606	5.091	4.018	3.125	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Acidovorax"	"G"	12916	33353	758	1322	10448	6395	43	7486	14179	22	8586	33353	9992	11	12.45	7.193	12.45	5.223	2.368	5.443	4.314	6.854	0.006087	4.175	12.02	5.532	5.729	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Acidovorax carolinensis"	"S"	553814	29217	662	1125	8854	5410	31	6365	11995	19	7461	29217	8661	10	10.59	6.282	10.59	4.426	2.003	3.924	3.668	5.798	0.005257	3.628	10.53	4.795	5.208	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae"	"S"	80867	3762	93	190	1478	927	12	1043	1999	2	1069	3762	1259	1	1.789	0.8825	1.789	0.7389	0.3433	1.519	0.601	0.9663	0.0005534	0.5198	1.356	0.697	0.5208	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. 1608163"	"S"	2478662	114	3	6	26	30	NA	24	41	NA	34	114	31	NA	0.0565	0.02847	0.0565	0.013	0.01111	NA	0.01383	0.01982	NA	0.01653	0.04109	0.01716	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Rhodoferax"	"G"	28065	13533	462	767	4779	3584	18	4365	9289	8	4129	13533	5599	3	7.222	4.384	7.222	2.389	1.327	2.278	2.515	4.49	0.002214	2.008	4.878	3.1	1.562	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rhodoferax ferrireducens"	"S"	192843	4226	124	182	1198	1145	5	1290	3054	3	1272	4226	1780	2	1.714	1.177	1.714	0.5989	0.424	0.6329	0.7433	1.476	0.0008301	0.6185	1.523	0.9854	1.042	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax antarcticus"	"S"	81479	3261	100	134	1097	768	3	826	1511	2	880	3261	1192	NA	1.262	0.9489	1.262	0.5484	0.2844	0.3797	0.476	0.7304	0.0005534	0.4279	1.175	0.6599	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax saidenbachensis"	"S"	1484693	256	12	15	174	71	1	79	103	NA	58	256	71	NA	0.1412	0.1139	0.1412	0.08699	0.02629	0.1266	0.04552	0.04979	NA	0.0282	0.09228	0.03931	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	207	10	21	110	79	NA	91	204	1	105	207	98	NA	0.1977	0.09489	0.1977	0.05499	0.02925	NA	0.05244	0.09862	0.0002767	0.05106	0.07462	0.05425	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Polaromonas"	"G"	52972	14415	395	863	4019	4899	30	4585	10161	6	5571	14415	5820	6	8.126	3.748	8.126	2.009	1.814	3.797	2.642	4.912	0.00166	2.709	5.196	3.222	3.125	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Polaromonas naphthalenivorans"	"S"	216465	6726	203	446	1683	1752	13	2037	4675	2	1932	6726	2623	2	4.2	1.926	4.2	0.8414	0.6488	1.646	1.174	2.26	0.0005534	0.9395	2.424	1.452	1.042	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. SP1"	"S"	2268087	7348	184	393	2210	2975	17	2399	5196	NA	3439	7348	3044	4	3.701	1.746	3.701	1.105	1.102	2.152	1.382	2.512	NA	1.672	2.649	1.685	2.083	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Polaromonas sp. JS666"	"S"	296591	340	7	23	125	171	NA	148	289	NA	199	340	152	NA	0.2166	0.06643	0.2166	0.06249	0.06332	NA	0.08528	0.1397	NA	0.09677	0.1226	0.08415	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Polaromonas"
"Variovorax"	"G"	34072	10712	316	533	4712	2708	18	3074	5977	6	3208	10712	3970	3	5.019	2.999	5.019	2.356	1.003	2.278	1.771	2.889	0.00166	1.56	3.861	2.198	1.562	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Variovorax boronicumulans"	"S"	436515	9342	260	453	3657	2359	16	2658	5210	6	2800	9342	3474	3	4.266	2.467	4.266	1.828	0.8736	2.025	1.532	2.519	0.00166	1.362	3.367	1.923	1.562	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PAMC 28711"	"S"	1795631	801	27	45	801	200	NA	220	355	NA	168	671	226	NA	0.4237	0.2562	0.4237	0.4004	0.07406	NA	0.1268	0.1716	NA	0.08169	0.2419	0.1251	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. HW608"	"S"	1034889	369	9	15	81	82	1	97	210	NA	115	369	137	NA	0.1412	0.08541	0.1412	0.04049	0.03037	0.1266	0.05589	0.1015	NA	0.05592	0.133	0.07584	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. PMC12"	"S"	2126319	236	12	16	38	46	NA	62	158	NA	104	236	94	NA	0.1507	0.1139	0.1507	0.019	0.01703	NA	0.03573	0.07638	NA	0.05057	0.08507	0.05204	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax paradoxus"	"S"	34073	134	7	4	134	20	NA	36	43	NA	20	93	38	NA	0.06699	0.06643	0.03766	0.06699	0.007406	NA	0.02074	0.02079	NA	0.009726	0.03352	0.02104	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Serpentinomonas"	"G"	2490452	6344	217	300	1656	1391	7	2016	3237	3	1928	6344	1992	1	2.825	2.059	2.825	0.8279	0.5151	0.8861	1.162	1.565	0.0008301	0.9375	2.287	1.103	0.5208	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Serpentinomonas mccroryi"	"S"	1458426	6255	216	299	1587	1348	7	1972	3175	1	1889	6255	1951	NA	2.815	2.05	2.815	0.7934	0.4992	0.8861	1.136	1.535	0.0002767	0.9186	2.255	1.08	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Serpentinomonas raichei"	"S"	1458425	88	1	1	68	43	NA	43	61	NA	39	88	40	NA	0.034	0.009489	0.009416	0.034	0.01592	NA	0.02478	0.02949	NA	0.01896	0.03172	0.02214	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Serpentinomonas"
"Hydrogenophaga"	"G"	47420	10709	318	684	3600	2764	18	3542	5284	2	3581	10709	3932	2	6.441	3.018	6.441	1.8	1.024	2.278	2.041	2.554	0.0005534	1.741	3.86	2.177	1.042	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Hydrogenophaga sp. PBC"	"S"	795665	8138	242	576	2882	2114	17	2843	4120	NA	2877	8138	3030	1	5.424	2.296	5.424	1.441	0.7828	2.152	1.638	1.992	NA	1.399	2.933	1.677	0.5208	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. RAC07"	"S"	1842537	461	11	28	169	111	NA	113	255	NA	125	461	182	NA	0.2637	0.1044	0.2637	0.08449	0.04111	NA	0.06511	0.1233	NA	0.06078	0.1662	0.1008	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga crassostreae"	"S"	1763535	524	11	14	144	160	NA	137	281	NA	156	524	186	NA	0.1889	0.1044	0.1318	0.07199	0.05925	NA	0.07894	0.1358	NA	0.07586	0.1889	0.103	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Curvibacter"	"G"	281915	2602	88	151	896	770	5	946	1812	1	977	2602	1121	NA	1.422	0.8351	1.422	0.4479	0.2851	0.6329	0.5451	0.8759	0.0002767	0.4751	0.9379	0.6206	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Curvibacter sp. AEP1-3"	"S"	1844971	2602	88	151	896	770	5	946	1812	1	977	2602	1121	NA	1.422	0.8351	1.422	0.4479	0.2851	0.6329	0.5451	0.8759	0.0002767	0.4751	0.9379	0.6206	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Curvibacter"
"Ramlibacter"	"G"	174951	2067	62	97	821	537	4	623	1155	1	644	2067	759	1	0.9134	0.5883	0.9134	0.4104	0.1989	0.5063	0.359	0.5583	0.0002767	0.3132	0.7451	0.4202	0.5208	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Ramlibacter tataouinensis"	"S"	94132	2067	62	97	821	537	4	623	1155	1	644	2067	759	1	0.9134	0.5883	0.9134	0.4104	0.1989	0.5063	0.359	0.5583	0.0002767	0.3132	0.7451	0.4202	0.5208	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Ramlibacter"
"Simplicispira"	"G"	352450	4201	110	111	4073	768	1	891	842	8	650	4201	889	NA	2.036	1.044	1.045	2.036	0.2844	0.1266	0.5134	0.407	0.002214	0.3161	1.514	0.4922	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Simplicispira suum"	"S"	2109915	4201	110	111	4073	768	1	891	842	8	650	4201	889	NA	2.036	1.044	1.045	2.036	0.2844	0.1266	0.5134	0.407	0.002214	0.3161	1.514	0.4922	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
