"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_april_BC01.cladeReads"	"kraken2_16s_k21_classification_april_BC02.cladeReads"	"kraken2_16s_k21_classification_april_BC03.cladeReads"	"kraken2_16s_k21_classification_april_BC04.cladeReads"	"kraken2_16s_k21_classification_april_BC05.cladeReads"	"kraken2_16s_k21_classification_april_BC06.cladeReads"	"kraken2_16s_k21_classification_april_BC07.cladeReads"	"kraken2_16s_k21_classification_april_BC08.cladeReads"	"kraken2_16s_k21_classification_april_BC09.cladeReads"	"kraken2_16s_k21_classification_april_BC10.cladeReads"	"kraken2_16s_k21_classification_april_BC11.cladeReads"	"kraken2_16s_k21_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_april_BC01.cladeReads.."	"kraken2_16s_k21_classification_april_BC02.cladeReads.."	"kraken2_16s_k21_classification_april_BC03.cladeReads.."	"kraken2_16s_k21_classification_april_BC04.cladeReads.."	"kraken2_16s_k21_classification_april_BC05.cladeReads.."	"kraken2_16s_k21_classification_april_BC06.cladeReads.."	"kraken2_16s_k21_classification_april_BC07.cladeReads.."	"kraken2_16s_k21_classification_april_BC08.cladeReads.."	"kraken2_16s_k21_classification_april_BC09.cladeReads.."	"kraken2_16s_k21_classification_april_BC10.cladeReads.."	"kraken2_16s_k21_classification_april_BC11.cladeReads.."	"kraken2_16s_k21_classification_april_BC12.cladeReads.."	"lineage"
"root"	"-"	1	361580	11453	11540	221273	302948	927	199990	231223	361582	231219	307575	200307	229	127.5	121.1	127.5	120.6	119.2	117.8	112.1	118.3	105	113	125.9	115.7	117.4	"root"
"Bacteria"	"D"	3	361580	11453	11540	221273	302948	927	199990	231223	361582	231219	307575	200307	229	127.5	121.1	127.5	120.6	119.2	117.8	112.1	118.3	105	113	125.9	115.7	117.4	"root"
"Proteobacteria"	"P"	2375	237370	7186	9160	130612	205325	513	68333	121439	221924	71202	237369	85171	103	101.2	75.97	101.2	71.21	80.82	65.18	38.3	62.15	64.46	34.79	97.13	49.21	52.82	"Bacteria"
"Gammaproteobacteria"	"C"	3303	221870	6800	9036	109337	122426	446	63069	111419	221868	66737	214401	81678	88	99.8	71.89	99.8	59.61	48.19	56.67	35.35	57.02	64.44	32.61	87.73	47.19	45.13	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	198330	5881	8626	93804	73163	306	58211	104417	343	61819	198328	75407	56	95.27	62.17	95.27	51.14	28.8	38.88	32.62	53.44	0.09963	30.2	81.15	43.57	28.72	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	191200	5458	8485	80026	61419	293	55987	101787	275	60309	191195	72893	52	93.72	57.7	93.72	43.63	24.17	37.23	31.38	52.09	0.07988	29.47	78.24	42.11	26.67	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Comamonas"	"G"	26384	15778	434	730	5990	4599	25	4589	8720	9	5036	15778	5686	4	8.063	4.588	8.063	3.266	1.81	3.177	2.572	4.462	0.002614	2.461	6.456	3.285	2.051	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	11999	380	528	5750	4834	27	3578	6299	26	3810	11999	4681	2	5.832	4.017	5.832	3.135	1.903	3.431	2.005	3.223	0.007552	1.862	4.91	2.704	1.026	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnohabitans"	"G"	26410	13053	375	744	4530	3728	22	4495	8595	13	5187	13053	5655	4	8.217	3.964	8.217	2.47	1.467	2.795	2.519	4.398	0.003776	2.534	5.341	3.267	2.051	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	13962	325	473	4939	3161	12	3130	5787	15	3373	13962	4431	2	5.713	3.436	5.224	2.693	1.244	1.525	1.754	2.961	0.004357	1.648	5.713	2.56	1.026	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
