"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_april_BC01.cladeReads"	"centrifuge_classification_april_BC02.cladeReads"	"centrifuge_classification_april_BC03.cladeReads"	"centrifuge_classification_april_BC04.cladeReads"	"centrifuge_classification_april_BC05.cladeReads"	"centrifuge_classification_april_BC06.cladeReads"	"centrifuge_classification_april_BC07.cladeReads"	"centrifuge_classification_april_BC08.cladeReads"	"centrifuge_classification_april_BC09.cladeReads"	"centrifuge_classification_april_BC10.cladeReads"	"centrifuge_classification_april_BC11.cladeReads"	"centrifuge_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_classification_april_BC01.cladeReads.."	"centrifuge_classification_april_BC02.cladeReads.."	"centrifuge_classification_april_BC03.cladeReads.."	"centrifuge_classification_april_BC04.cladeReads.."	"centrifuge_classification_april_BC05.cladeReads.."	"centrifuge_classification_april_BC06.cladeReads.."	"centrifuge_classification_april_BC07.cladeReads.."	"centrifuge_classification_april_BC08.cladeReads.."	"centrifuge_classification_april_BC09.cladeReads.."	"centrifuge_classification_april_BC10.cladeReads.."	"centrifuge_classification_april_BC11.cladeReads.."	"centrifuge_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	136	2	7	43	136	2	104	73	34	72	60	73	5	2.183	0.01746	0.06066	0.01943	0.04489	0.2157	0.052	0.03157	0.009403	0.03114	0.01951	0.03644	2.183	"unclassified"
"root"	"-"	1	361550	11451	11533	221230	302812	925	199886	231150	361548	231147	307515	200234	224	99.99	99.98	99.94	99.98	99.96	99.78	99.95	99.97	99.99	99.97	99.98	99.96	97.82	"root"
"cellular organisms"	"-"	131567	361550	11451	11533	221230	302812	925	199886	231150	361548	231147	307515	200234	224	99.99	99.98	99.94	99.98	99.96	99.78	99.95	99.97	99.99	99.97	99.98	99.96	97.82	"root"
"Bacteria"	"D"	2	361550	11451	11533	221221	302784	925	199869	231132	361548	231135	307495	200226	224	99.99	99.98	99.94	99.98	99.95	99.78	99.94	99.96	99.99	99.96	99.97	99.96	97.82	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	241410	7816	9584	154329	209798	568	89667	135268	221458	97730	241410	102600	113	83.05	68.24	83.05	69.75	69.25	61.27	44.84	58.5	61.25	42.27	78.49	51.22	49.34	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	195230	5799	8476	90859	70461	304	58064	103598	653	61644	195234	75014	53	73.45	50.63	73.45	41.06	23.26	32.79	29.03	44.8	0.1806	26.66	63.48	37.45	23.14	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	182350	4929	8040	63784	48991	270	52814	97344	481	57525	182351	68000	49	69.67	43.04	69.67	28.83	16.17	29.13	26.41	42.1	0.133	24.88	59.29	33.95	21.4	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	153420	4053	7476	48658	37567	224	43892	87371	142	49107	153419	55195	43	64.78	35.39	64.78	21.99	12.4	24.16	21.95	37.79	0.03927	21.24	49.88	27.56	18.78	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Limnohabitans"	"G"	665874	59157	1359	2792	16049	14503	82	17573	36638	42	21281	59157	22461	14	24.19	11.87	24.19	7.253	4.787	8.846	8.787	15.85	0.01162	9.204	19.23	11.21	6.114	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	50730	1107	2326	12924	11350	71	13809	29503	36	16955	50730	18229	9	20.16	9.666	20.16	5.841	3.747	7.659	6.905	12.76	0.009956	7.333	16.49	9.101	3.93	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. 103DPR2"	"S"	1678129	8426	251	466	3125	3153	11	3764	7135	6	4326	8426	4231	5	4.038	2.192	4.038	1.412	1.041	1.187	1.882	3.086	0.001659	1.871	2.739	2.112	2.183	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Rhodoferax"	"G"	28065	30102	1023	1861	11039	8121	47	10190	21246	23	9425	30102	12135	8	16.13	8.932	16.13	4.989	2.681	5.07	5.095	9.189	0.006361	4.076	9.787	6.058	3.493	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Rhodoferax saidenbachensis"	"S"	1484693	10455	423	669	4144	3091	14	3855	7808	8	3417	10455	4145	3	5.797	3.693	5.797	1.873	1.02	1.51	1.928	3.377	0.002212	1.478	3.399	2.069	1.31	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens"	"S"	192843	11692	369	685	3982	3034	20	3912	8187	9	3624	11692	4769	2	5.936	3.222	5.936	1.8	1.001	2.157	1.956	3.541	0.002489	1.567	3.801	2.381	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens T118"	"-"	338969	11692	369	685	3982	3034	20	3912	8187	9	3624	11692	4769	2	5.936	3.222	5.936	1.8	1.001	2.157	1.956	3.541	0.002489	1.567	3.801	2.381	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax>Rhodoferax&nbsp;ferrireducens"
"Rhodoferax antarcticus"	"S"	81479	4728	135	263	1676	1102	7	1427	3049	3	1392	4728	1983	2	2.279	1.179	2.279	0.7574	0.3638	0.7551	0.7135	1.319	0.0008297	0.602	1.537	0.99	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax koreense"	"S"	1842727	2535	76	184	980	684	4	772	1786	2	750	2535	973	1	1.594	0.6636	1.594	0.4429	0.2258	0.4315	0.386	0.7724	0.0005531	0.3244	0.8242	0.4858	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Acidovorax"	"G"	12916	19789	427	608	5685	2963	27	3391	6581	12	3946	19789	4868	7	6.434	3.728	5.269	2.569	0.9781	2.913	1.696	2.846	0.003319	1.707	6.434	2.43	3.057	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Acidovorax carolinensis"	"S"	553814	7594	144	161	2021	894	8	1046	1978	7	1209	7594	1594	NA	2.469	1.257	1.395	0.9134	0.2951	0.863	0.523	0.8555	0.001936	0.5229	2.469	0.7958	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax sp. T1"	"S"	1858609	4256	87	70	943	397	3	483	864	1	505	4256	736	2	1.384	0.7596	0.6066	0.4262	0.131	0.3236	0.2415	0.3737	0.0002766	0.2184	1.384	0.3674	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
