"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_april_BC01.cladeReads"	"kraken2_classification_april_BC02.cladeReads"	"kraken2_classification_april_BC03.cladeReads"	"kraken2_classification_april_BC04.cladeReads"	"kraken2_classification_april_BC05.cladeReads"	"kraken2_classification_april_BC06.cladeReads"	"kraken2_classification_april_BC07.cladeReads"	"kraken2_classification_april_BC08.cladeReads"	"kraken2_classification_april_BC09.cladeReads"	"kraken2_classification_april_BC10.cladeReads"	"kraken2_classification_april_BC11.cladeReads"	"kraken2_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_classification_april_BC01.cladeReads.."	"kraken2_classification_april_BC02.cladeReads.."	"kraken2_classification_april_BC03.cladeReads.."	"kraken2_classification_april_BC04.cladeReads.."	"kraken2_classification_april_BC05.cladeReads.."	"kraken2_classification_april_BC06.cladeReads.."	"kraken2_classification_april_BC07.cladeReads.."	"kraken2_classification_april_BC08.cladeReads.."	"kraken2_classification_april_BC09.cladeReads.."	"kraken2_classification_april_BC10.cladeReads.."	"kraken2_classification_april_BC11.cladeReads.."	"kraken2_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	98	2	5	33	98	2	87	56	2	74	57	57	5	2.183	0.01746	0.04333	0.01491	0.03235	0.2157	0.0435	0.02422	0.0005531	0.032	0.01853	0.02846	2.183	"unclassified"
"root"	"-"	1	361580	11451	11535	221240	302850	925	199903	231167	361580	231145	307518	200250	224	100	99.98	99.96	99.99	99.97	99.78	99.96	99.98	100	99.97	99.98	99.97	97.82	"root"
"cellular organisms"	"-"	131567	361580	11451	11535	221240	302850	925	199903	231167	361580	231145	307518	200250	224	100	99.98	99.96	99.99	99.97	99.78	99.96	99.98	100	99.97	99.98	99.97	97.82	"root"
"Bacteria"	"D"	2	361580	11451	11535	221239	302848	925	199899	231163	361580	231143	307516	200250	224	100	99.98	99.96	99.98	99.97	99.78	99.95	99.97	100	99.97	99.98	99.97	97.82	"cellular&nbsp;organisms"
"Proteobacteria"	"P"	1224	240830	7850	9675	155478	210380	557	85353	133094	221296	94175	240832	100563	109	83.84	68.54	83.84	70.27	69.44	60.09	42.68	57.56	61.2	40.73	78.3	50.2	47.6	"cellular&nbsp;organisms>Bacteria"
"Betaproteobacteria"	"C"	28216	197400	5844	8637	92589	70861	308	58365	104336	127	62304	197404	75695	57	74.84	51.03	74.84	41.84	23.39	33.23	29.18	45.12	0.03512	26.95	64.18	37.79	24.89	"cellular&nbsp;organisms>Bacteria>Proteobacteria"
"Burkholderiales"	"O"	80840	189210	5253	8406	72679	52659	286	55157	100342	117	59904	189211	71046	54	72.84	45.87	72.84	32.85	17.38	30.85	27.58	43.4	0.03236	25.91	61.52	35.47	23.58	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria"
"Comamonadaceae"	"F"	80864	157160	4175	7908	52042	39148	234	45178	89406	91	50756	157165	57053	45	68.53	36.45	68.53	23.52	12.92	25.24	22.59	38.67	0.02517	21.95	51.1	28.48	19.65	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales"
"Limnohabitans"	"G"	665874	48496	1187	2420	14028	12558	72	14965	30885	23	18243	48496	18913	15	20.97	10.36	20.97	6.34	4.145	7.767	7.483	13.36	0.006361	7.89	15.77	9.442	6.55	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Limnohabitans sp. 63ED37-2"	"S"	1678128	35519	765	1566	9011	7649	48	9364	20095	13	11567	35519	12400	9	13.57	6.679	13.57	4.072	2.525	5.178	4.682	8.691	0.003595	5.003	11.55	6.19	3.93	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. 103DPR2"	"S"	1678129	12822	421	845	4972	4859	24	5541	10678	10	6611	12822	6449	6	7.322	3.676	7.322	2.247	1.604	2.589	2.771	4.618	0.002766	2.859	4.169	3.22	2.62	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Acidovorax"	"G"	12916	25484	570	957	7404	4502	36	5309	10543	11	6100	25484	7249	8	8.293	4.977	8.293	3.346	1.486	3.883	2.655	4.56	0.003042	2.638	8.285	3.619	3.493	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Acidovorax carolinensis"	"S"	553814	5563	139	195	1567	983	5	1083	1978	3	1335	5563	1539	2	1.809	1.214	1.69	0.7082	0.3245	0.5394	0.5415	0.8555	0.0008297	0.5774	1.809	0.7683	0.8734	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae"	"S"	80867	2566	68	130	1011	652	7	708	1307	2	742	2566	863	1	1.127	0.5937	1.127	0.4569	0.2152	0.7551	0.354	0.5653	0.0005531	0.3209	0.8343	0.4308	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Acidovorax avenae subsp. avenae"	"-"	80870	2566	68	130	1011	652	7	708	1307	2	742	2566	863	1	1.127	0.5937	1.127	0.4569	0.2152	0.7551	0.354	0.5653	0.0005531	0.3209	0.8343	0.4308	0.4367	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae"
"Acidovorax avenae subsp. avenae ATCC 19860"	"-"	643561	146	1	5	82	23	1	25	53	NA	17	146	26	NA	0.1079	0.008731	0.04333	0.03706	0.007592	0.1079	0.0125	0.02292	NA	0.007352	0.04747	0.01298	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax>Acidovorax&nbsp;avenae>Acidovorax&nbsp;avenae&nbsp;subsp.&nbsp;avenae"
"Acidovorax sp. 1608163"	"S"	2478662	112	3	6	26	30	NA	24	40	NA	34	112	31	NA	0.05199	0.02619	0.05199	0.01175	0.009903	NA	0.012	0.0173	NA	0.0147	0.03641	0.01548	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
