"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_k21_classification_april_BC01.cladeReads"	"kraken2_16s_k21_classification_april_BC02.cladeReads"	"kraken2_16s_k21_classification_april_BC03.cladeReads"	"kraken2_16s_k21_classification_april_BC04.cladeReads"	"kraken2_16s_k21_classification_april_BC05.cladeReads"	"kraken2_16s_k21_classification_april_BC06.cladeReads"	"kraken2_16s_k21_classification_april_BC07.cladeReads"	"kraken2_16s_k21_classification_april_BC08.cladeReads"	"kraken2_16s_k21_classification_april_BC09.cladeReads"	"kraken2_16s_k21_classification_april_BC10.cladeReads"	"kraken2_16s_k21_classification_april_BC11.cladeReads"	"kraken2_16s_k21_classification_april_BC12.cladeReads"	"Max.1"	"kraken2_16s_k21_classification_april_BC01.cladeReads.."	"kraken2_16s_k21_classification_april_BC02.cladeReads.."	"kraken2_16s_k21_classification_april_BC03.cladeReads.."	"kraken2_16s_k21_classification_april_BC04.cladeReads.."	"kraken2_16s_k21_classification_april_BC05.cladeReads.."	"kraken2_16s_k21_classification_april_BC06.cladeReads.."	"kraken2_16s_k21_classification_april_BC07.cladeReads.."	"kraken2_16s_k21_classification_april_BC08.cladeReads.."	"kraken2_16s_k21_classification_april_BC09.cladeReads.."	"kraken2_16s_k21_classification_april_BC10.cladeReads.."	"kraken2_16s_k21_classification_april_BC11.cladeReads.."	"kraken2_16s_k21_classification_april_BC12.cladeReads.."	"lineage"
"unclassified"	"U"	0	9	1	8	1	1	8	1	NA	1	4	NA	3	9	3.93	0.008731	0.06932	0.0004519	0.0003301	0.863	5e-04	NA	0.0002766	0.00173	NA	0.001498	3.93	"unclassified"
"root"	"-"	1	361580	11452	11532	221272	302947	919	199989	231223	361581	231215	307575	200304	220	100	99.99	99.93	100	100	99.14	100	100	100	100	100	100	96.07	"root"
"Bacteria"	"D"	3	361580	11452	11532	221272	302947	919	199989	231223	361581	231215	307574	200304	220	100	99.99	99.93	100	100	99.14	100	100	100	100	100	100	96.07	"root"
"Proteobacteria"	"P"	2375	235090	7054	8958	124298	202108	487	65543	119109	221506	67180	235093	82505	97	77.63	61.59	77.63	56.17	66.71	52.54	32.77	51.51	61.26	29.05	76.43	41.19	42.36	"Bacteria"
"Gammaproteobacteria"	"C"	3303	221450	6641	8820	101409	113497	416	60205	108743	221449	62806	210662	79053	84	76.43	57.98	76.43	45.83	37.46	44.88	30.1	47.03	61.24	27.16	68.49	39.47	36.68	"Bacteria>Proteobacteria"
"Betaproteobacteriales"	"O"	26341	197780	5856	8527	92045	70622	306	57667	103978	140	60879	197781	74844	55	73.89	51.13	73.89	41.6	23.31	33.01	28.83	44.97	0.03872	26.33	64.3	37.36	24.02	"Bacteria>Proteobacteria>Gammaproteobacteria"
"Burkholderiaceae"	"F"	26352	188820	5302	8391	75117	55142	290	54948	100858	129	59284	188820	71958	52	72.71	46.29	72.71	33.95	18.2	31.28	27.48	43.62	0.03568	25.64	61.39	35.92	22.71	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Rhodoferax"	"G"	26446	23695	669	1211	7756	5898	36	7259	14873	9	7462	23695	8923	5	10.49	5.841	10.49	3.505	1.947	3.883	3.63	6.432	0.002489	3.227	7.704	4.455	2.183	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnohabitans"	"G"	26410	23936	616	1332	7268	6205	33	7407	14797	11	8406	23936	9114	8	11.54	5.379	11.54	3.285	2.048	3.56	3.704	6.399	0.003042	3.636	7.782	4.55	3.493	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Comamonas"	"G"	26384	16787	463	826	6175	4308	24	5002	9741	4	5323	16787	6158	5	7.158	4.043	7.158	2.791	1.422	2.589	2.501	4.213	0.001106	2.302	5.458	3.074	2.183	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Acidovorax"	"G"	26355	17152	428	555	5569	3049	21	3470	6427	9	3754	17152	4689	2	5.577	3.737	4.809	2.517	1.006	2.265	1.735	2.78	0.002489	1.624	5.577	2.341	0.8734	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Massilia"	"G"	26414	8682	288	271	3500	3404	9	2887	4247	8	3164	8682	4160	2	2.823	2.515	2.348	1.582	1.124	0.9709	1.444	1.837	0.002212	1.368	2.823	2.077	0.8734	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Aquabacterium"	"G"	26361	10428	234	245	3798	2773	8	2570	3106	6	2533	10428	3232	1	3.39	2.043	2.123	1.716	0.9153	0.863	1.285	1.343	0.001659	1.095	3.39	1.614	0.4367	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Burkholderia-Caballeronia-Paraburkholderia"	"G"	26368	5124	211	224	4311	2842	9	1628	2743	3	1645	5124	2232	2	1.948	1.842	1.941	1.948	0.9381	0.9709	0.814	1.186	0.0008297	0.7114	1.666	1.114	0.8734	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Variovorax"	"G"	26462	6224	183	318	2503	1718	8	1900	3792	9	1961	6224	2400	3	2.756	1.598	2.756	1.131	0.5671	0.863	0.95	1.64	0.002489	0.8481	2.024	1.198	1.31	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"uncultured"	"G"	26471	4833	157	198	2374	1592	10	1463	2401	2	1426	4833	1686	1	1.716	1.371	1.716	1.073	0.5255	1.079	0.7315	1.038	0.0005531	0.6167	1.571	0.8417	0.4367	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Delftia"	"G"	26388	5915	155	295	2076	1485	23	1716	3478	9	2110	5915	2179	2	2.556	1.353	2.556	0.9382	0.4902	2.481	0.858	1.504	0.002489	0.9126	1.923	1.088	0.8734	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polaromonas"	"G"	26436	6632	150	293	1986	2039	11	1901	4204	4	2261	6632	2301	1	2.539	1.31	2.539	0.8975	0.6731	1.187	0.9505	1.818	0.001106	0.9779	2.156	1.149	0.4367	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Polynucleobacter"	"G"	26437	2284	110	95	1154	1333	5	1153	1773	4	1136	1765	2284	1	1.14	0.9604	0.8232	0.5215	0.44	0.5394	0.5765	0.7668	0.001106	0.4913	0.5738	1.14	0.4367	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Hydrogenophaga"	"G"	26399	4836	101	156	1247	1129	9	1089	1809	3	1281	4836	1565	2	1.572	0.8819	1.352	0.5636	0.3727	0.9709	0.5445	0.7824	0.0008297	0.554	1.572	0.7813	0.8734	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelomonas"	"G"	26433	3476	99	185	1282	944	6	1081	2018	1	1251	3476	1278	1	1.603	0.8644	1.603	0.5794	0.3116	0.6472	0.5405	0.8728	0.0002766	0.541	1.13	0.638	0.4367	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Achromobacter"	"G"	26354	3146	93	125	1937	1384	5	979	1307	1	923	3146	1460	NA	1.083	0.812	1.083	0.8754	0.4568	0.5394	0.4895	0.5653	0.0002766	0.3992	1.023	0.7289	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Simplicispira"	"G"	26452	4066	92	162	1578	1036	3	1098	2269	1	1232	4066	1418	NA	1.404	0.8033	1.404	0.7131	0.342	0.3236	0.549	0.9813	0.0002766	0.5328	1.322	0.7079	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Diaphorobacter"	"G"	26390	2959	74	116	1070	717	4	687	1341	3	740	2959	940	2	1.005	0.6461	1.005	0.4836	0.2367	0.4315	0.3435	0.58	0.0008297	0.32	0.962	0.4693	0.8734	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
